"","Table 1.1: Number of schools by level of school education, 2018-19",,,,,,,,,,,,,,,,
"India/State /UT",Total,Primary,"UpperPrimary",Secondary,"HigherSecondary",,,,,,,,,,,,
"",India/,Upper,Higher,,,,,,,,,,,,,,
"",,,,Total,Primary,Secondary,,,,,,,,,,,
"",State /UT,Primary,Secondary,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),
"",India,,1551000,826982,443392,150604,130022,,,,,,,,,,
Andaman and Nicobar Islands,414,217,81,50,66,,,,,,,,,,,,
Andhra Pradesh,63621,39499,9427,12513,2182,,,,,,,,,,,,
Arunachal Pradesh,3793,2031,1299,302,161,,,,,,,,,,,,
Assam,66324,44519,12008,7568,2229,,,,,,,,,,,,
Bihar,89224,42733,37894,3666,4931,,,,,,,,,,,,
Chandigarh,229,20,41,72,96,,,,,,,,,,,,
Chhattisgarh,56274,32811,16370,2702,4391,,,,,,,,,,,,
Dadra and Nagar Haveli,346,168,131,23,24,,,,,,,,,,,,
Daman and Diu,140,50,42,24,24,,,,,,,,,,,,
Delhi,5703,2695,872,367,1769,,,,,,,,,,,,
Goa,1486,907,61,404,114,,,,,,,,,,,,
Gujarat,54581,12282,30065,4846,7388,,,,,,,,,,,,
Haryana,23534,9885,5500,3176,4973,,,,,,,,,,,,
Himachal Pradesh,18212,11252,2771,1726,2463,,,,,,,,,,,,
Jammu and Kashmir,28654,14652,9689,3091,1222,,,,,,,,,,,,
Jharkhand,45908,24453,16529,3351,1575,,,,,,,,,,,,
Karnataka,78233,25554,31802,15388,5489,,,,,,,,,,,,
Kerala,16701,7132,4680,1927,2962,,,,,,,,,,,,
Ladakh,1054,454,447,109,44,,,,,,,,,,,,
Lakshadweep,45,15,15,2,13,,,,,,,,,,,,
Madhya Pradesh,154064,86975,49622,8262,9205,,,,,,,,,,,,
Maharashtra,109942,52574,29922,17404,10042,,,,,,,,,,,,
Manipur,4844,2600,1084,914,246,,,,,,,,,,,,
Meghalaya,14669,9348,3553,1418,350,,,,,,,,,,,,
Mizoram,3913,1504,1540,683,186,,,,,,,,,,,,
Nagaland,2752,1190,800,577,185,,,,,,,,,,,,
Odisha,68717,34954,21850,9514,2399,,,,,,,,,,,,
Puducherry,739,280,83,197,179,,,,,,,,,,,,
Punjab,28637,13872,5122,4484,5159,,,,,,,,,,,,
Rajasthan,105883,38766,36463,10587,20067,,,,,,,,,,,,
Sikkim,1290,722,314,146,108,,,,,,,,,,,,
Tamil Nadu,59152,35970,9411,5828,7943,,,,,,,,,,,,
Telangana,42355,20753,7356,11847,2399,,,,,,,,,,,,
Tripura,4945,2578,1245,669,453,,,,,,,,,,,,
Uttar Pradesh,273235,161366,80624,12083,19162,,,,,,,,,,,,
Uttarakhand,23559,14338,5430,1341,2450,,,,,,,,,,,,
West Bengal,97828,77863,9249,3343,7373,,,,,,,,,,,,
"India/State /UT"
India/
State /UT
Total
Total
Primary
Primary
"UpperPrimary"
Upper
Primary
Secondary
Secondary
"HigherSecondary"
Higher
Secondary
