"India/State /UT",Number of teachers by Classes Taught – Others,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,359011,1912,2807,170505,15460,139272,4563,16627,1255,6610
Andaman and Nicobar Islands,4,0,4,0,0,0,0,0,0,0
Andhra Pradesh,880,0,8,277,1,531,7,0,0,56
Arunachal Pradesh,378,5,4,221,53,62,0,8,15,10
Assam,26187,18,110,15806,115,4199,285,4394,33,1227
Bihar,88466,591,702,17564,5813,60665,1296,1130,286,419
Chandigarh,445,49,29,155,13,164,23,5,7,0
Chhattisgarh,1088,0,0,711,76,295,0,3,2,1
Dadra and Nagar Haveli,9,3,0,6,0,0,0,0,0,0
Daman and Diu,26,0,0,10,2,2,0,5,4,3
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,55,0,0,12,1,12,2,18,2,8
Haryana,8908,162,48,5981,75,2405,71,95,31,40
Himachal Pradesh,3,0,0,3,0,0,0,0,0,0
Jammu and Kashmir,217,12,17,144,14,11,0,12,0,7
Jharkhand,63765,165,290,30176,4569,26355,643,1339,41,187
Karnataka,73,1,0,44,0,23,0,0,5,0
Kerala,13617,144,61,8332,193,3572,129,854,39,293
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6542,1,2,2167,20,4352,0,0,0,0
Maharashtra,5970,157,161,3752,128,1247,93,389,20,23
Manipur,1907,53,66,1076,305,383,2,22,0,0
Meghalaya,2090,22,151,765,116,259,77,507,13,180
Mizoram,585,25,18,160,57,53,0,184,0,88
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,19748,4,0,13599,528,3559,79,763,17,1199
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,4565,0,0,1819,0,1084,0,805,0,857
Rajasthan,7205,113,358,5286,123,1036,154,67,35,33
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4614,22,5,3510,114,726,137,58,17,25
Telangana,514,0,0,370,87,44,1,12,0,0
Tripura,1081,21,78,867,21,63,0,15,0,16
Uttar Pradesh,69298,286,656,43155,2958,17603,1109,2661,385,485
Uttarakhand,2595,58,39,1783,40,550,2,92,5,26
West Bengal,28176,0,0,12754,38,10017,453,3189,298,1427
