"India/State /UT",Pupil Teacher Ratio (PTR),,,
"","Primary(1 to 5)","Upper Primary(6-8)","Secondary (9-10)","HigherSecondary(11-12)"
(1),(3),(4),(5),(6)
India,27,19,19,27
Andaman and Nicobar Islands,13,10,9,9
Andhra Pradesh,25,17,16,40
Arunachal Pradesh,13,9,12,16
Assam,22,14,11,17
Bihar,56,20,52,60
Chandigarh,26,15,11,25
Chhattisgarh,20,18,18,15
Dadra and Nagar Haveli,28,21,27,31
Daman and Diu,30,23,15,16
Delhi,33,30,28,18
Goa,28,18,10,18
Gujarat,30,24,33,28
Haryana,24,17,13,13
Himachal Pradesh,16,9,8,10
Jammu and Kashmir,16,9,13,21
Jharkhand,31,23,34,55
Karnataka,21,17,17,33
Kerala,26,21,15,22
Ladakh,11,5,8,13
Lakshadweep,10,6,6,9
Madhya Pradesh,28,18,30,35
Maharashtra,26,27,21,37
Manipur,14,11,10,16
Meghalaya,20,14,12,21
Mizoram,17,8,10,14
Nagaland,13,8,11,19
Odisha,17,15,18,67
Puducherry,18,14,10,16
Punjab,25,23,14,17
Rajasthan,25,12,12,16
Sikkim,7,9,11,11
Tamil Nadu,21,16,13,21
Telangana,23,14,10,22
Tripura,15,18,16,10
Uttar Pradesh,31,25,29,41
Uttarakhand,19,18,14,19
West Bengal,30,28,19,28
