"India/State /UT",Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,157738,178019,335757,1315827,1222967,2538794,270360,221121,491481
Andaman and Nicobar Islands,21,41,62,500,845,1345,153,244,397
Andhra Pradesh,1645,1915,3560,31308,33890,65198,34325,26396,60721
Arunachal Pradesh,1619,1155,2774,3183,2900,6083,469,275,744
Assam,5558,6518,12076,62696,30155,92851,22606,14092,36698
Bihar,20197,10098,30295,183873,123781,307654,4170,1950,6120
Chandigarh,112,536,648,202,1065,1267,538,1986,2524
Chhattisgarh,5597,10353,15950,37299,25357,62656,2791,3401,6192
Dadra and Nagar Haveli,5,15,20,362,500,862,2,4,6
Daman and Diu,27,86,113,116,198,314,26,41,67
Delhi,0,0,0,10918,26951,37869,0,0,0
Goa,13,110,123,449,1648,2097,425,1200,1625
Gujarat,654,1890,2544,57253,68885,126138,566,760,1326
Haryana,2203,7309,9512,20665,27608,48273,10133,12079,22212
Himachal Pradesh,923,3375,4298,10329,9592,19921,6432,6323,12755
Jammu and Kashmir,2094,1875,3969,35851,30214,66065,1104,803,1907
Jharkhand,10100,5117,15217,42289,26618,68907,2361,1793,4154
Karnataka,5322,8791,14113,50523,74468,124991,5404,6509,11913
Kerala,228,1832,2060,14377,50426,64803,368,1692,2060
Ladakh,23,37,60,1513,1333,2846,41,28,69
Lakshadweep,51,62,113,69,61,130,41,46,87
Madhya Pradesh,1229,1942,3171,116418,115253,231671,655,753,1408
Maharashtra,13360,12827,26187,88384,67562,155946,18709,12349,31058
Manipur,1925,2411,4336,3663,3884,7547,1488,1216,2704
Meghalaya,241,509,750,7901,8105,16006,335,437,772
Mizoram,265,284,549,5294,3461,8755,8,0,8
Nagaland,614,802,1416,5276,5447,10723,375,330,705
Odisha,33037,26494,59531,30322,24946,55268,7412,4912,12324
Puducherry,141,733,874,401,956,1357,702,1370,2072
Punjab,0,0,0,16198,51238,67436,0,0,0
Rajasthan,29426,25745,55171,103407,65969,169376,66453,29889,96342
Sikkim,156,245,401,1291,1587,2878,167,254,421
Tamil Nadu,2638,9752,12390,40161,98302,138463,25891,43955,69846
Telangana,9024,18709,27733,8990,14513,23503,35971,30253,66224
Tripura,138,110,248,7754,3230,10984,102,58,160
Uttar Pradesh,8252,13788,22040,210088,149038,359126,13410,10116,23526
Uttarakhand,568,1966,2534,11308,12781,24089,2596,2216,4812
West Bengal,332,587,919,95196,60200,155396,4131,3391,7522
