"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,11679,7440,19119,111532,83678,195210,28089,18105,46194
Andaman and Nicobar Islands,0,0,0,4,15,19,0,1,1
Andhra Pradesh,0,0,0,694,576,1270,1520,1385,2905
Arunachal Pradesh,83,86,169,105,60,165,66,23,89
Assam,14,29,43,19709,6494,26203,359,107,466
Bihar,82,23,105,1361,507,1868,189,65,254
Chandigarh,6,13,19,1,9,10,14,70,84
Chhattisgarh,49,63,112,298,290,588,27,32,59
Dadra and Nagar Haveli,0,0,0,16,14,30,0,0,0
Daman and Diu,1,11,12,7,20,27,3,4,7
Delhi,0,0,0,342,1026,1368,0,0,0
Goa,2,20,22,290,1214,1504,309,955,1264
Gujarat,2,7,9,1112,1291,2403,3,2,5
Haryana,4,28,32,10,28,38,30,78,108
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,0,0,8,3,11,0,0,0
Jharkhand,124,121,245,1100,1076,2176,198,262,460
Karnataka,450,448,898,5906,4258,10164,495,358,853
Kerala,15,46,61,8450,21914,30364,46,138,184
Ladakh,0,0,0,7,0,7,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4,20,24,700,918,1618,2,6,8
Maharashtra,10176,5323,15499,42383,22678,65061,14730,5702,20432
Manipur,56,62,118,312,228,540,114,79,193
Meghalaya,3,13,16,2717,2306,5023,157,145,302
Mizoram,0,0,0,295,217,512,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,112,48,160,2681,429,3110,2559,754,3313
Puducherry,9,119,128,23,71,94,34,140,174
Punjab,0,0,0,214,628,842,0,0,0
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,0,0,0,31,27,58,3,6,9
Tamil Nadu,226,659,885,6072,11897,17969,4146,6470,10616
Telangana,100,152,252,84,163,247,218,514,732
Tripura,0,0,0,82,53,135,0,0,0
Uttar Pradesh,153,139,292,15535,4656,20191,2600,597,3197
Uttarakhand,2,9,11,761,433,1194,230,160,390
West Bengal,6,1,7,222,179,401,37,52,89
