"India/State /UT",Number of teachers in Other Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,359011,120846,164213,7444,28600,4135,5078,17418,7204,836,3237
Andaman and Nicobar Islands,4,4,0,0,0,0,0,0,0,0,0
Andhra Pradesh,880,277,531,0,57,7,0,0,0,0,8
Arunachal Pradesh,378,134,196,0,0,0,0,15,0,26,7
Assam,26187,15450,498,3533,787,755,3596,74,91,287,1116
Bihar,88466,12200,68029,23,3015,60,114,4618,51,187,169
Chandigarh,445,98,269,0,62,0,0,16,0,0,0
Chhattisgarh,1088,653,213,222,0,0,0,0,0,0,0
Dadra and Nagar Haveli,9,9,0,0,0,0,0,0,0,0,0
Daman and Diu,26,0,0,0,0,0,0,26,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,55,0,0,0,15,0,0,33,0,7,0
Haryana,8908,2709,5570,14,319,6,0,290,0,0,0
Himachal Pradesh,3,3,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,217,151,31,0,15,0,5,6,0,9,0
Jharkhand,63765,14968,40499,164,6346,583,146,939,8,17,95
Karnataka,73,18,38,0,6,11,0,0,0,0,0
Kerala,13617,3722,5344,27,2739,8,15,1717,15,15,15
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6542,2145,4331,64,2,0,0,0,0,0,0
Maharashtra,5970,2110,2739,9,733,98,127,112,21,5,16
Manipur,1907,654,1177,8,68,0,0,0,0,0,0
Meghalaya,2090,742,285,102,205,60,425,92,15,0,164
Mizoram,585,99,208,6,0,0,184,0,0,0,88
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,19748,6931,9255,115,1491,375,149,244,10,0,1178
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,4565,380,972,0,1029,11,10,1709,0,106,348
Rajasthan,7205,4823,1840,0,332,8,5,146,30,21,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4614,2286,1080,2,542,6,0,698,0,0,0
Telangana,514,230,251,0,33,0,0,0,0,0,0
Tripura,1081,922,84,0,31,0,0,44,0,0,0
Uttar Pradesh,69298,35486,16953,1200,9804,243,214,5051,193,142,12
Uttarakhand,2595,1445,677,323,24,3,88,0,0,14,21
West Bengal,28176,12197,3143,1632,945,1901,0,1588,6770,0,0
