"India/State/ UT",Enrolment – Others,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,599637,438240,1037877,2926636,2449729,5376365,846345,792989,1639334,3772981,3242718,7015699
Andaman and Nicobar Islands,16,13,29,3,5,8,0,0,0,3,5,8
Andhra Pradesh,0,0,0,11524,10486,22010,2266,3184,5450,13790,13670,27460
Arunachal Pradesh,391,364,755,1948,1525,3473,359,224,583,2307,1749,4056
Assam,13044,12758,25802,140502,134778,275280,16692,18132,34824,157194,152910,310104
Bihar,206993,130242,337235,787629,592813,1380442,256815,217149,473964,1044444,809962,1854406
Chandigarh,2380,1799,4179,2737,1790,4527,449,278,727,3186,2068,5254
Chhattisgarh,91,65,156,6464,4549,11013,1915,1558,3473,8379,6107,14486
Dadra and Nagar Haveli,32,30,62,49,41,90,0,0,0,49,41,90
Daman and Diu,0,0,0,183,0,183,40,0,40,223,0,223
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,243,275,518,178,179,357,421,454,875
Haryana,19242,14912,34154,59345,43525,102870,15654,11291,26945,74999,54816,129815
Himachal Pradesh,0,0,0,12,4,16,0,0,0,12,4,16
Jammu and Kashmir,471,407,878,1891,1038,2929,118,40,158,2009,1078,3087
Jharkhand,207032,148988,356020,507932,366924,874856,170364,127655,298019,678296,494579,1172875
Karnataka,5,4,9,329,409,738,95,118,213,424,527,951
Kerala,31091,26842,57933,83010,73172,156182,19104,16456,35560,102114,89628,191742
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,614,707,1321,51183,49138,100321,18196,17821,36017,69379,66959,136338
Maharashtra,15441,13817,29258,56988,47200,104188,14579,11037,25616,71567,58237,129804
Manipur,3766,3609,7375,7709,7102,14811,1624,1573,3197,9333,8675,18008
Meghalaya,4526,4276,8802,7127,7232,14359,1814,2381,4195,8941,9613,18554
Mizoram,673,669,1342,1181,1146,2327,256,288,544,1437,1434,2871
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,15677,11681,27358,92890,68304,161194,23775,16889,40664,116665,85193,201858
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,8529,7197,15726,21519,17247,38766,9563,8062,17625,31082,25309,56391
Rajasthan,2617,2496,5113,76750,71601,148351,10461,9816,20277,87211,81417,168628
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,15136,12440,27576,20840,16638,37478,5257,4055,9312,26097,20693,46790
Telangana,73,68,141,5484,5457,10941,754,1480,2234,6238,6937,13175
Tripura,1854,1493,3347,7210,5686,12896,784,218,1002,7994,5904,13898
Uttar Pradesh,8505,8509,17014,821517,781817,1603334,167601,178730,346331,989118,960547,1949665
Uttarakhand,2537,2230,4767,24448,20650,45098,5566,5250,10816,30014,25900,55914
West Bengal,38901,32624,71525,127989,119177,247166,102066,139125,241191,230055,258302,488357
