"India/State/ UT",Children With Special Needs (CWSN) enrolment,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1 to 12),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,137806,109982,247788,43271,35377,78648,1208866,902631,2111497
Andaman and Nicobar Islands,61,34,95,20,13,33,315,187,502
Andhra Pradesh,9559,7851,17410,1081,746,1827,58423,43826,102249
Arunachal Pradesh,117,121,238,28,33,61,1344,1301,2645
Assam,2287,2239,4526,587,487,1074,35701,29729,65430
Bihar,1951,2205,4156,487,574,1061,61161,47723,108884
Chandigarh,579,416,995,160,148,308,2939,1863,4802
Chhattisgarh,2494,2024,4518,1047,784,1831,23982,19105,43087
Dadra and Nagar Haveli,214,193,407,56,94,150,1132,1055,2187
Daman and Diu,16,12,28,1,1,2,98,59,157
Delhi,3210,2487,5697,1384,930,2314,14326,10610,24936
Goa,313,162,475,24,14,38,1320,742,2062
Gujarat,5725,3726,9451,2331,1832,4163,59400,41110,100510
Haryana,2773,2010,4783,698,665,1363,18015,12884,30899
Himachal Pradesh,945,826,1771,306,336,642,5145,4331,9476
Jammu and Kashmir,1732,1509,3241,479,467,946,15271,11451,26722
Jharkhand,1336,1637,2973,570,478,1048,33957,27274,61231
Karnataka,8194,6496,14690,1683,1807,3490,61165,46836,108001
Kerala,17845,11199,29044,8327,5376,13703,80103,56372,136475
Ladakh,83,131,214,44,88,132,555,672,1227
Lakshadweep,29,23,52,11,12,23,115,81,196
Madhya Pradesh,5660,3937,9597,2187,1469,3656,68528,53624,122152
Maharashtra,27202,21176,48378,6597,5485,12082,189733,136999,326732
Manipur,183,227,410,44,33,77,2454,2102,4556
Meghalaya,132,153,285,30,29,59,2508,1920,4428
Mizoram,385,556,941,111,159,270,2438,2313,4751
Nagaland,242,244,486,42,60,102,1533,1376,2909
Odisha,8895,7188,16083,15,11,26,64721,48247,112968
Puducherry,295,226,521,168,153,321,1295,986,2281
Punjab,5323,5420,10743,2273,3200,5473,42318,31908,74226
Rajasthan,5382,3759,9141,2558,1512,4070,42437,28931,71368
Sikkim,74,57,131,22,24,46,551,396,947
Tamil Nadu,6266,4427,10693,2889,2422,5311,64776,44665,109441
Telangana,3913,4075,7988,874,752,1626,25562,21874,47436
Tripura,322,244,566,83,50,133,2067,1533,3600
Uttar Pradesh,3858,3078,6936,2397,1994,4391,141930,102547,244477
Uttarakhand,369,370,739,227,195,422,3518,2678,6196
West Bengal,9842,9544,19386,3430,2944,6374,78030,63321,141351
