"India/State/ UT",Enrolment of age group - All ages,,,,,,,,
"",Upper Primary (1to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,33159087,31107939,64267026,20006747,18327824,38334571,13182632,12324185,25506817
Andaman and Nicobar Islands,9300,8957,18257,5971,5901,11872,4373,4658,9031
Andhra Pradesh,1083809,1010513,2094322,689777,646849,1336626,408240,410588,818828
Arunachal Pradesh,42616,45106,87722,23751,23906,47657,12159,12466,24625
Assam,895777,956005,1851782,464768,523369,988137,216046,204741,420787
Bihar,3259255,3377716,6636971,1559512,1601566,3161078,747069,675294,1422363
Chandigarh,35665,29790,65455,22505,19328,41833,22828,18053,40881
Chhattisgarh,768077,749245,1517322,453326,493101,946427,273896,305255,579151
Dadra and Nagar Haveli,10511,9251,19762,7255,6306,13561,3742,3742,7484
Daman and Diu,5554,4844,10398,3307,3013,6320,1791,1862,3653
Delhi,598198,525240,1123438,384367,346665,731032,249681,236592,486273
Goa,37453,34504,71957,25355,22817,48172,18778,19356,38134
Gujarat,1745148,1511660,3256808,1039052,767544,1806596,546399,453065,999464
Haryana,800210,656307,1456517,540210,427357,967567,325820,267744,593564
Himachal Pradesh,179424,161514,340938,133145,118986,252131,103292,97095,200387
Jammu and Kashmir,298216,270460,568676,171863,150854,322717,123040,108358,231398
Jharkhand,992493,1001063,1993556,480371,487238,967609,314449,304309,618758
Karnataka,1590525,1481692,3072217,937551,862714,1800265,459868,519122,978990
Kerala,757739,725904,1483643,524090,496186,1020276,410500,437828,848328
Ladakh,5716,5909,11625,3380,3733,7113,2137,2561,4698
Lakshadweep,1206,1308,2514,1079,1043,2122,1087,1118,2205
Madhya Pradesh,2223832,2007490,4231322,1336497,1152190,2488687,760517,666399,1426916
Maharashtra,3095100,2731600,5826700,1999833,1723380,3723213,1565517,1319251,2884768
Manipur,78849,76724,155573,42685,42296,84981,32841,30754,63595
Meghalaya,109540,122128,231668,51298,60052,111350,26683,31611,58294
Mizoram,34018,32438,66456,20816,20382,41198,11701,12677,24378
Nagaland,50339,49776,100115,27585,28361,55946,16054,16845,32899
Odisha,1106087,1020956,2127043,661926,631081,1293007,517795,558947,1076742
Puducherry,31400,30019,61419,21165,20426,41591,16153,18040,34193
Punjab,748335,621609,1369944,495877,404313,900190,377813,309725,687538
Rajasthan,2187909,1845666,4033575,1417353,1137762,2555115,1024441,770983,1795424
Sikkim,17431,17409,34840,12479,13837,26316,7247,9055,16302
Tamil Nadu,1616260,1521003,3137263,1050651,1001773,2052424,780679,904446,1685125
Telangana,865036,819005,1684041,546278,528056,1074334,357835,388376,746211
Tripura,99608,98075,197683,61548,62987,124535,29382,27778,57160
Uttar Pradesh,5449361,5165012,10614373,3367498,2837951,6205449,2437307,2086427,4523734
Uttarakhand,311273,281285,592558,198935,179907,378842,148008,144614,292622
West Bengal,2017817,2100756,4118573,1223688,1474594,2698282,827464,944450,1771914
