"India/State/ UT",Enrolment of age group 6-10 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(29),(30),(31),(32),(33),(34),(35),(36),(37)
India,58042653,53886860,111929513,54928717,50928496,105857213,3113936,2958364,6072300
Andaman and Nicobar Islands,14271,13640,27911,13424,12755,26179,847,885,1732
Andhra Pradesh,1821219,1649426,3470645,1598260,1407067,3005327,222959,242359,465318
Arunachal Pradesh,71892,69747,141639,66993,64857,131850,4899,4890,9789
Assam,1773661,1746147,3519808,1699396,1669227,3368623,74265,76920,151185
Bihar,6481813,6291871,12773684,6297656,6109580,12407236,184157,182291,366448
Chandigarh,46241,40900,87141,43527,38379,81906,2714,2521,5235
Chhattisgarh,1265563,1220623,2486186,1228533,1181378,2409911,37030,39245,76275
Dadra and Nagar Haveli,20250,18160,38410,19970,17926,37896,280,234,514
Daman and Diu,9056,8098,17154,8621,7641,16262,435,457,892
Delhi,903165,784951,1688116,821085,721835,1542920,82080,63116,145196
Goa,58785,55628,114413,57314,54313,111627,1471,1315,2786
Gujarat,2699522,2399901,5099423,2472330,2199410,4671740,227192,200491,427683
Haryana,1275265,1056102,2331367,1133330,922832,2056162,141935,133270,275205
Himachal Pradesh,290511,266509,557020,256503,234964,491467,34008,31545,65553
Jammu and Kashmir,516854,471246,988100,446675,408393,855068,70179,62853,133032
Jharkhand,1928936,1804202,3733138,1883071,1761390,3644461,45865,42812,88677
Karnataka,2831807,2634313,5466120,2570786,2367803,4938589,261021,266510,527531
Kerala,1204030,1152750,2356780,1125206,1077322,2202528,78824,75428,154252
Ladakh,9942,9769,19711,9187,9001,18188,755,768,1523
Lakshadweep,2469,2372,4841,2427,2314,4741,42,58,100
Madhya Pradesh,3491337,3223985,6715322,3307463,3051181,6358644,183874,172804,356678
Maharashtra,4844790,4309484,9154274,4699175,4168819,8867994,145615,140665,286280
Manipur,154170,147293,301463,143206,136816,280022,10964,10477,21441
Meghalaya,201270,199819,401089,195263,193245,388508,6007,6574,12581
Mizoram,54531,52874,107405,53430,51721,105151,1101,1153,2254
Nagaland,82001,78200,160201,79811,75867,155678,2190,2333,4523
Odisha,1477355,1398946,2876301,1464959,1386435,2851394,12396,12511,24907
Puducherry,51112,48299,99411,44791,42165,86956,6321,6134,12455
Punjab,898426,799490,1697916,894436,794661,1689097,3990,4829,8819
Rajasthan,3719558,3290885,7010443,3501284,3111764,6613048,218274,179121,397395
Sikkim,21734,20392,42126,20611,19316,39927,1123,1076,2199
Tamil Nadu,2448200,2303638,4751838,2445188,2300899,4746087,3012,2739,5751
Telangana,1470903,1391816,2862719,1339267,1234053,2573320,131636,157763,289399
Tripura,163673,158526,322199,161856,156742,318598,1817,1784,3601
Uttar Pradesh,11353612,10592629,21946241,10573528,9887139,20460667,780084,705490,1485574
Uttarakhand,525048,462935,987983,478023,420748,898771,47025,42187,89212
West Bengal,3859681,3711294,7570975,3772132,3628538,7400670,87549,82756,170305
