"India/State/ UT",Enrolment of age group 11-13 years,,,,,
"",All,Primary (1 to 5),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(38),(39),(40),(41),(42),(43)
India,33519863,31342208,64862071,3938441,3432908,7371349
Andaman and Nicobar Islands,8957,8686,17643,866,819,1685
Andhra Pradesh,1089595,1008128,2097723,76472,42485,118957
Arunachal Pradesh,42167,43422,85589,9554,9362,18916
Assam,852624,902853,1755477,70607,68953,139560
Bihar,3673343,3796206,7469549,171771,176873,348644
Chandigarh,35661,30617,66278,4088,3322,7410
Chhattisgarh,765822,746086,1511908,79219,61212,140431
Dadra and Nagar Haveli,12415,11074,23489,1801,1487,3288
Daman and Diu,5647,4949,10596,930,619,1549
Delhi,582435,498676,1081111,39178,34137,73315
Goa,37018,34240,71258,4688,3919,8607
Gujarat,1655826,1426012,3081838,140257,121192,261449
Haryana,796592,645508,1442100,91552,63362,154914
Himachal Pradesh,178482,160977,339459,6354,5022,11376
Jammu and Kashmir,282008,254081,536089,19325,17441,36766
Jharkhand,1029515,1021527,2051042,106902,103415,210317
Karnataka,1565128,1454161,3019289,51169,35067,86236
Kerala,760890,728438,1489328,47675,44950,92625
Ladakh,5703,6028,11731,964,1018,1982
Lakshadweep,1349,1430,2779,43,47,90
Madhya Pradesh,2219327,2012477,4231804,286252,255335,541587
Maharashtra,3016088,2664414,5680502,438935,361397,800332
Manipur,80245,78372,158617,9150,8628,17778
Meghalaya,116646,124404,241050,48686,48143,96829
Mizoram,34855,33167,68022,12213,10585,22798
Nagaland,51115,49540,100655,12318,11414,23732
Odisha,1150791,1068768,2219559,376119,335814,711933
Puducherry,31481,29989,61470,447,400,847
Punjab,758199,641040,1399239,334529,247582,582111
Rajasthan,2229740,1886541,4116281,384942,338788,723730
Sikkim,15482,15175,30657,3908,2858,6766
Tamil Nadu,1615390,1528118,3143508,297806,250834,548640
Telangana,855334,808377,1663711,90218,55103,145321
Tripura,97925,96247,194172,4686,4240,8926
Uttar Pradesh,5505963,5125034,10630997,474945,467246,942191
Uttarakhand,313805,279106,592911,32547,26870,59417
West Bengal,2046300,2118340,4164640,207325,212969,420294
