"","Table 3.2: Enrolment of students by school management and level of school education, 2018-19",,,,,,,,,,,,,,,,,,,,,,
"",,Enrolment – Government Schools,,,,,,,,,,,,,,,,,,,,,
"India/State /UT",,Total,,Pre- Primary,"Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,,
"",India/,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Pre- Primary,Primary,Secondary,,,,,,,,,,,,,,,,,
"",State /UT,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
"",India,,131113434,2397065,67539828,35131348,102671176,16992666,9052527,,,,,,,,,,,,,,
Andaman and Nicobar Islands,52745,3327,18869,13580,32449,9475,7494,,,,,,,,,,,,,,,,
Andhra Pradesh,3897043,0,1728840,1208496,2937336,785441,174266,,,,,,,,,,,,,,,,
Arunachal Pradesh,226114,1740,99776,63461,163237,39281,21856,,,,,,,,,,,,,,,,
Assam,5065520,266655,2670485,1215369,3885854,665701,247310,,,,,,,,,,,,,,,,
Bihar,19851353,1782,10652788,5654354,16307142,2650924,891505,,,,,,,,,,,,,,,,
Chandigarh,156895,7212,53998,43271,97269,27548,24866,,,,,,,,,,,,,,,,
Chhattisgarh,4120334,31609,1804732,1126590,2931322,729866,427537,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,58466,10,27915,13910,41825,10560,6071,,,,,,,,,,,,,,,,
Daman and Diu,20981,198,9627,5801,15428,3620,1735,,,,,,,,,,,,,,,,
Delhi,2377476,89180,859025,660942,1519967,478050,290279,,,,,,,,,,,,,,,,
Goa,44496,719,25197,8241,33438,5741,4598,,,,,,,,,,,,,,,,
Gujarat,5429274,11827,3232889,1977972,5210861,154914,51672,,,,,,,,,,,,,,,,
Haryana,2149543,12878,924414,588247,1512661,404225,219779,,,,,,,,,,,,,,,,
Himachal Pradesh,854569,5778,306196,210331,516527,175531,156733,,,,,,,,,,,,,,,,
Jammu and Kashmir,1318292,76987,551510,310411,861921,192823,186561,,,,,,,,,,,,,,,,
Jharkhand,4993773,116606,2673803,1343710,4017513,576046,283608,,,,,,,,,,,,,,,,
Karnataka,4951087,1318,2467673,1508618,3976291,662901,310577,,,,,,,,,,,,,,,,
Kerala,1682669,122211,541065,368494,909559,298772,352127,,,,,,,,,,,,,,,,
Ladakh,27237,4211,9055,5396,14451,4472,4103,,,,,,,,,,,,,,,,
Lakshadweep,12803,1128,4834,2514,7348,2122,2205,,,,,,,,,,,,,,,,
Madhya Pradesh,9285196,6339,4206916,2608598,6815514,1629154,834189,,,,,,,,,,,,,,,,
Maharashtra,5771908,107671,4151676,1191197,5342873,240833,80531,,,,,,,,,,,,,,,,
Manipur,201236,7242,117122,39112,156234,19611,18149,,,,,,,,,,,,,,,,
Meghalaya,478172,100354,255377,102099,357476,10301,10041,,,,,,,,,,,,,,,,
Mizoram,130744,8847,62708,32843,95551,17814,8532,,,,,,,,,,,,,,,,
Nagaland,179079,40994,73816,38191,112007,16939,9139,,,,,,,,,,,,,,,,
Odisha,5508288,53028,2776850,1678822,4455672,776951,222637,,,,,,,,,,,,,,,,
Puducherry,83589,6952,25732,20304,46036,15554,15047,,,,,,,,,,,,,,,,
Punjab,2475916,220378,901270,620838,1522108,422800,310630,,,,,,,,,,,,,,,,
Rajasthan,8490185,7744,4050889,2124045,6174934,1418538,888969,,,,,,,,,,,,,,,,
Sikkim,94513,5616,25786,26629,52415,22304,14178,,,,,,,,,,,,,,,,
Tamil Nadu,4589477,13902,1730662,1288147,3018809,863353,693413,,,,,,,,,,,,,,,,
Telangana,2823888,1453,1165093,867387,2032480,557543,232412,,,,,,,,,,,,,,,,
Tripura,571868,1707,252694,165046,417740,107165,45256,,,,,,,,,,,,,,,,
Uttar Pradesh,16896167,21111,12138764,4148001,16286765,360800,227491,,,,,,,,,,,,,,,,
Uttarakhand,968230,425,393744,246123,639867,186192,141746,,,,,,,,,,,,,,,,
West Bengal,15274308,1037926,6548038,3604258,10152296,2448801,1635285,,,,,,,,,,,,,,,,
"India/State /UT"
India/
State /UT
Pre- Primary
Pre- Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
