"India/State/ UT",Enrolment – All Types of Management,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,20006747,18327824,38334571,13182632,12324185,25506817,128857592,119480992,248338584,135350365,124943851,260294216
Andaman and Nicobar Islands,5971,5901,11872,4373,4658,9031,34892,34103,68995,39305,38195,77500
Andhra Pradesh,689777,646849,1336626,408240,410588,818828,4090935,3770964,7861899,4090935,3770964,7861899
Arunachal Pradesh,23751,23906,47657,12159,12466,24625,164741,164697,329438,173989,172889,346878
Assam,464768,523369,988137,216046,204741,420787,3429905,3500534,6930439,3703357,3750645,7454002
Bihar,1559512,1601566,3161078,747069,675294,1422363,12218880,12097229,24316109,12587272,12326062,24913334
Chandigarh,22505,19328,41833,22828,18053,40881,131100,111270,242370,145225,123665,268890
Chhattisgarh,453326,493101,946427,273896,305255,579151,2845769,2833412,5679181,2991766,2961588,5953354
Dadra and Nagar Haveli,7255,6306,13561,3742,3742,7484,43408,38887,82295,45277,40298,85575
Daman and Diu,3307,3013,6320,1791,1862,3653,20849,18601,39450,22155,19754,41909
Delhi,384367,346665,731032,249681,236592,486273,2192563,1951680,4144243,2335948,2080823,4416771
Goa,25355,22817,48172,18778,19356,38134,145591,136554,282145,160605,150919,311524
Gujarat,1039052,767544,1806596,546399,453065,999464,6200018,5281334,11481352,6354525,5401087,11755612
Haryana,540210,427357,967567,325820,267744,593564,3064502,2499675,5564177,3252060,2642425,5894485
Himachal Pradesh,133145,118986,252131,103292,97095,200387,719397,654738,1374135,774950,700801,1475751
Jammu and Kashmir,171863,150854,322717,123040,108358,231398,1159440,1047307,2206747,1335778,1202735,2538513
Jharkhand,480371,487238,967609,314449,304309,618758,3869580,3739214,7608794,4180695,3982728,8163423
Karnataka,937551,862714,1800265,459868,519122,978990,5850903,5503072,11353975,6177799,5772723,11950522
Kerala,524090,496186,1020276,410500,437828,848328,2951277,2865269,5816546,3232568,3129043,6361611
Ladakh,3380,3733,7113,2137,2561,4698,22588,23365,45953,28156,28514,56670
Lakshadweep,1079,1043,2122,1087,1118,2205,5842,5833,11675,6427,6376,12803
Madhya Pradesh,1336497,1152190,2488687,760517,666399,1426916,8263717,7447308,15711025,8580700,7704078,16284778
Maharashtra,1999833,1723380,3723213,1565517,1319251,2884768,11929343,10426690,22356033,12398763,10832930,23231693
Manipur,42685,42296,84981,32841,30754,63595,325531,312960,638491,360830,346109,706939
Meghalaya,51298,60052,111350,26683,31611,58294,449259,472202,921461,563584,581247,1144831
Mizoram,20816,20382,41198,11701,12677,24378,137060,132124,269184,156340,150478,306818
Nagaland,27585,28361,55946,16054,16845,32899,190136,186165,376301,235681,228015,463696
Odisha,661926,631081,1293007,517795,558947,1076742,4149850,3952481,8102331,4235833,4022997,8258830
Puducherry,21165,20426,41591,16153,18040,34193,121063,117979,239042,137747,133346,271093
Punjab,495877,404313,900190,377813,309725,687538,2872718,2391972,5264690,3282931,2737152,6020083
Rajasthan,1417353,1137762,2555115,1024441,770983,1795424,8907972,7559590,16467562,9502688,8017339,17520027
Sikkim,12479,13837,26316,7247,9055,16302,63425,63627,127052,73370,73099,146469
Tamil Nadu,1050651,1001773,2052424,780679,904446,1685125,6196134,5983223,12179357,6857526,6559165,13416691
Telangana,546278,528056,1074334,357835,388376,746211,3357148,3199553,6556701,3435507,3265710,6701217
Tripura,61548,62987,124535,29382,27778,57160,359075,351684,710759,375804,365572,741376
Uttar Pradesh,3367498,2837951,6205449,2437307,2086427,4523734,23043157,21087257,44130414,23247214,21242344,44489558
Uttarakhand,198935,179907,378842,148008,144614,292622,1223066,1102546,2325612,1294165,1158976,2453141
West Bengal,1223688,1474594,2698282,827464,944450,1771914,8106758,8415893,16522651,8972890,9223060,18195950
