"India/State/ UT",Enrolment – Government Aided,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,4192987,3731556,7924543,3091157,2856891,5948048,14259069,13270953,27530022,14485239,13493760,27978999
Andaman and Nicobar Islands,180,223,403,194,242,436,893,930,1823,917,966,1883
Andhra Pradesh,19211,23467,42678,26235,29233,55468,124888,138611,263499,124888,138611,263499
Arunachal Pradesh,1322,1284,2606,327,329,656,9502,8598,18100,9757,8847,18604
Assam,44797,55541,100338,27867,27106,54973,213711,244657,458368,213960,244922,458882
Bihar,25248,28772,54020,8426,9489,17915,86857,96817,183674,87559,97235,184794
Chandigarh,761,546,1307,2178,1009,3187,4726,3310,8036,4883,3542,8425
Chhattisgarh,9375,9635,19010,7044,7935,14979,44844,44055,88899,45286,44555,89841
Dadra and Nagar Haveli,258,187,445,0,0,0,1387,1046,2433,1387,1046,2433
Daman and Diu,633,521,1154,723,745,1468,2834,2377,5211,2834,2377,5211
Delhi,19692,15780,35472,15135,11823,26958,82870,75272,158142,83341,75794,159135
Goa,21173,19183,40356,15694,16579,32273,104414,99579,203993,114108,109253,223361
Gujarat,613949,488344,1102293,283140,269448,552588,990741,833499,1824240,992158,834854,1827012
Haryana,2686,1528,4214,1984,1337,3321,9808,6484,16292,10221,6725,16946
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,0,0,0,0,0,74,64,138,97,100,197
Jharkhand,19789,24443,44232,9729,11785,21514,153289,173011,326300,160501,180499,341000
Karnataka,258732,241344,500076,107941,109249,217190,803166,751557,1554723,807973,755958,1563931
Kerala,263414,251113,514527,185767,200192,385959,1267259,1265330,2532589,1342241,1338818,2681059
Ladakh,0,0,0,0,0,0,430,42,472,430,42,472
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,23636,17293,40929,21435,16543,37978,84009,71493,155502,85063,72427,157490
Maharashtra,1422520,1277990,2700510,1154544,1020485,2175029,5623884,5042996,10666880,5710627,5128758,10839385
Manipur,1701,1866,3567,668,923,1591,13759,14451,28210,14186,14855,29041
Meghalaya,30239,35738,65977,12091,16036,28127,156228,171416,327644,186007,199669,385676
Mizoram,4472,4796,9268,2233,2620,4853,10170,11027,21197,10170,11027,21197
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,200689,195908,396597,173441,178482,351923,467999,459071,927070,468323,459354,927677
Puducherry,2052,3533,5585,785,2027,2812,9854,17902,27756,10901,19343,30244
Punjab,30722,21541,52263,37901,21902,59803,129420,97774,227194,130504,99064,229568
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,297,544,841,189,515,704,1272,2332,3604,1325,2432,3757
Tamil Nadu,238496,250438,488934,181419,244794,426213,1091133,1206368,2297501,1092513,1207831,2300344
Telangana,6615,12804,19419,3285,5318,8603,41457,66074,107531,42282,67220,109502
Tripura,3800,2418,6218,4158,2851,7009,16406,11889,28295,16432,11920,28352
Uttar Pradesh,892113,715451,1607564,774951,620009,1394960,2600158,2248646,4848804,2600671,2249103,4849774
Uttarakhand,29202,24914,54116,25307,23387,48694,84724,80577,165301,85135,80927,166062
West Bengal,5213,4411,9624,6366,4498,10864,26903,23698,50601,28559,25686,54245
