"India/State /UT",Dropout  Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,4.6,4.3,4.5,4.3,5.1,4.7,18.7,17.1,17.9
Andaman and Nicobar Islands,0.8,1.2,1.0,0.0,0.4,0.0,26.2,18.0,22.2
Andhra Pradesh,0.0,0.0,0.0,1.3,0.9,1.1,17.5,15.2,16.4
Arunachal Pradesh,14.5,13.1,13.8,6.3,7.0,6.7,36.9,35.0,36.0
Assam,3.5,2.6,3.1,3.1,0.7,1.9,30.8,32.1,31.5
Bihar,8.7,6.8,7.8,12.7,12.1,12.4,27.4,29.5,28.5
Chandigarh,0.0,0.0,0.0,0.0,1.3,0.4,4.7,4.3,4.5
Chhattisgarh,3.3,3.5,3.4,7.8,6.3,7.0,24.2,15.6,19.8
Dadra and Nagar Haveli,0.0,0.0,0.0,2.2,2.4,2.3,23.1,17.5,20.5
Daman and Diu,0.0,0.3,0.0,0.9,0.0,0.1,23.9,19.3,21.7
Delhi,0.0,0.0,0.0,1.3,0.8,1.1,16.1,13.7,14.9
Goa,1.6,1.4,1.5,0.7,1.2,0.9,12.3,6.2,9.4
Gujarat,2.6,1.9,2.3,5.9,9.1,7.4,25.8,21.2,23.8
Haryana,0.0,0.0,0.0,1.7,2.3,1.9,15.7,13.7,14.8
Himachal Pradesh,0.2,0.5,0.3,0.2,0.3,0.3,8.9,6.7,7.8
Jammu and Kashmir,6.5,6.9,6.7,5.7,7.0,6.3,17.9,17.7,17.8
Jharkhand,6.2,4.6,5.4,10.7,9.7,10.2,22.1,22.4,22.3
Karnataka,0.0,0.0,0.0,0.0,0.5,0.2,26.4,20.2,23.4
Kerala,0.3,0.0,0.2,0.1,0.0,0.0,11.3,6.8,9.1
Ladakh,-,-,-,-,-,-,-,-,-
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,3.6,5.5,4.6
Madhya Pradesh,3.5,3.0,3.3,5.2,6.8,5.9,25.6,24.0,24.9
Maharashtra,1.1,1.1,1.1,1.8,2.6,2.2,13.7,12.8,13.3
Manipur,7.0,5.1,6.1,4.0,2.8,3.4,12.9,13.2,13.0
Meghalaya,18.4,15.3,16.9,10.9,8.2,9.5,20.9,18.3,19.5
Mizoram,8.0,7.1,7.5,3.8,2.3,3.1,11.2,10.1,10.6
Nagaland,11.6,11.2,11.4,6.4,2.8,4.6,25.7,22.5,24.1
Odisha,2.9,3.9,3.4,4.9,5.0,5.0,11.8,7.2,9.5
Puducherry,2.1,0.0,0.6,0.1,0.0,0.1,17.3,7.9,12.7
Punjab,1.4,1.3,1.4,2.9,2.9,2.9,13.0,9.6,11.5
Rajasthan,5.5,4.8,5.2,3.3,4.4,3.8,12.6,12.8,12.7
Sikkim,6.1,4.6,5.4,1.7,0.6,1.1,26.3,21.3,23.7
Tamil Nadu,0.8,1.6,1.2,0.2,0.9,0.6,17.7,8.1,13.0
Telangana,1.8,2.1,1.9,3.0,2.7,2.9,15.3,11.6,13.5
Tripura,3.6,2.5,3.1,5.0,3.6,4.3,29.4,29.7,29.6
Uttar Pradesh,9.5,9.9,9.7,3.2,8.4,5.7,15.5,15.6,15.5
Uttarakhand,3.8,3.5,3.7,4.0,3.4,3.7,12.3,9.5,11.0
West Bengal,4.0,2.9,3.5,3.6,0.0,1.5,19.4,19.6,19.5
