"India/State/ UT",Percentage of OBC enrolment to total enrolment,,,,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),"Higher Secondary (11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3 ),(4 ),(5 ),(6 ),(7 ),( 8),(9 ),(1 0),(11),(1 2),(1 3),( 14),(1 5),(1 6),(17),(1 8),(1 9)
India,44.46,44.87,44.66,44.93,45.44,45.18,44.62,45.07,44.84,45.6,45.03,45.33,44.6,44.65,44.62,44.77,45.02,44.89
Andaman and Nicobar Islands,22.88,22.38,22.63,24.03,24.68,24.35,23.31,23.26,23.29,25.57,25.5,25.54,24.38,25.59,25,23.83,23.97,23.9
Andhra Pradesh,51.44,51.47,51.45,50.59,50.87,50.73,51.13,51.25,51.19,51.31,50.83,51.08,52.52,51.12,51.82,51.3,51.16,51.23
Arunachal Pradesh,2.58,2.44,2.51,2.59,2.37,2.47,2.58,2.41,2.5,2.33,2.36,2.34,2.66,2.74,2.7,2.55,2.43,2.49
Assam,25.25,25.3,25.28,26.98,25.17,26.04,25.81,25.26,25.53,29.56,27.95,28.71,28.14,28.83,28.47,26.47,25.87,26.16
Bihar,60.83,61.92,61.36,64,64.98,64.5,61.87,62.97,62.42,63.11,63.25,63.18,58.36,58.09,58.23,61.81,62.74,62.27
Chandigarh,2.78,2.51,2.66,2.89,2.81,2.85,2.83,2.63,2.74,3.55,3.6,3.57,3.15,3.16,3.15,3.01,2.88,2.95
Chhattisgarh,44.77,45.07,44.92,46.43,46.71,46.57,45.37,45.67,45.52,48.58,48.61,48.6,49.14,49.44,49.3,46.25,46.59,46.42
Dadra and Nagar Haveli,4.54,3.47,4.03,4.17,3.64,3.92,4.42,3.53,4,4.27,3.79,4.05,5.56,4.52,5.04,4.49,3.66,4.1
Daman and Diu,25.88,28.23,26.97,29.19,32,30.5,27.05,29.56,28.22,37.41,40.46,38.86,47.29,46.99,47.14,30.43,33.07,31.67
Delhi,5.23,4.93,5.09,5.13,4.68,4.92,5.19,4.83,5.02,6.21,5.77,6,8.82,8.18,8.51,5.78,5.41,5.6
Goa,7.35,7.58,7.46,11.9,12.86,12.36,9.03,9.51,9.26,13.2,13.4,13.3,17.6,17.95,17.78,10.86,11.36,11.1
Gujarat,46.34,47.32,46.8,48.03,48.28,48.15,46.98,47.68,47.31,47.82,44.59,46.45,43.12,39.58,41.52,46.78,46.53,46.67
Haryana,30.41,30.55,30.47,30.15,30.58,30.34,30.32,30.56,30.42,29.58,29.23,29.43,28.14,28.03,28.09,29.95,30.06,30
Himachal Pradesh,13.1,12.89,13,13.66,13.25,13.47,13.31,13.02,13.17,14.64,14.24,14.45,16.05,15.64,15.85,13.95,13.63,13.8
Jammu and Kashmir,6.5,6.75,6.62,6.63,7.03,6.82,6.54,6.85,6.69,6.4,6.34,6.37,5.89,5.78,5.84,6.45,6.67,6.55
Jharkhand,44.67,45.5,45.07,46.71,48.63,47.67,45.33,46.56,45.93,48.81,49.92,49.37,42.99,43.88,43.43,45.57,46.78,46.17
Karnataka,61.03,61.1,61.07,60.17,60.81,60.48,60.72,61,60.86,62.98,64.19,63.56,67.1,68.68,67.94,61.59,62.22,61.89
Kerala,67.51,67.65,67.58,65.94,66.3,66.12,66.92,67.14,67.03,65.4,65.71,65.55,59.58,61,60.31,65.63,65.96,65.79
Ladakh,0.13,0.08,0.11,0.12,0.03,0.08,0.13,0.06,0.1,0.03,0,0.01,0,0,0,0.1,0.05,0.07
Lakshadweep,1.26,1.78,1.51,0.66,1.07,0.88,1.06,1.53,1.29,0.74,0.58,0.66,1.1,0.89,1,1.01,1.23,1.12
Madhya Pradesh,42.93,42.88,42.91,44.09,44.65,44.36,43.35,43.51,43.43,45.94,45.65,45.8,47.18,47.12,47.15,44.12,44.17,44.14
Maharashtra,32.57,32.36,32.47,32.95,32.91,32.93,32.71,32.56,32.64,34.36,34.1,34.24,35.26,35.15,35.21,33.32,33.15,33.24
Manipur,26.83,27.12,26.97,31.22,31.8,31.5,28.21,28.61,28.41,31.18,31.81,31.49,28.07,28.34,28.2,28.59,29.02,28.8
Meghalaya,0.67,0.67,0.67,0.99,0.71,0.84,0.76,0.69,0.72,1.12,0.84,0.97,1.21,0.76,0.96,0.83,0.71,0.77
Mizoram,0.31,0.3,0.31,0.28,0.31,0.3,0.3,0.31,0.3,0.09,0.07,0.08,0.19,0.18,0.18,0.26,0.26,0.26
Nagaland,2.52,2.28,2.4,2.18,2.1,2.14,2.4,2.22,2.31,2.33,1.74,2.03,2.04,1.84,1.94,2.36,2.11,2.24
Odisha,36.26,35.95,36.11,37.93,37.57,37.75,36.88,36.55,36.72,42,41.54,41.77,31.87,31.47,31.66,37.07,36.63,36.85
Puducherry,73.35,72.15,72.77,72.89,73.77,73.32,73.18,72.76,72.98,73.72,72.54,73.14,72.75,72.32,72.52,73.22,72.65,72.94
Punjab,14.48,15.02,14.73,15.78,16.52,16.11,14.97,15.58,15.25,16.41,17.17,16.75,16.59,17.63,17.06,15.43,16.11,15.74
Rajasthan,48,47.88,47.95,49.57,49.56,49.57,48.54,48.43,48.49,50.54,49.23,49.96,51.5,49.91,50.82,49.2,48.7,48.97
Sikkim,35.96,37.47,36.67,40.38,38.59,39.48,37.72,37.95,37.83,42.38,41.3,41.81,41.3,40.24,40.71,39.05,39,39.02
Tamil Nadu,71.42,71.21,71.32,70.85,70.68,70.77,71.21,71.01,71.11,71.69,71.25,71.48,73.51,72.44,72.93,71.58,71.27,71.43
Telangana,48.86,48.9,48.88,49.35,49.12,49.24,49.03,48.98,49.01,50.49,50.35,50.42,53.95,54.14,54.05,49.79,49.83,49.81
Tripura,16.64,17.34,16.99,18.46,18.96,18.71,17.32,17.95,17.63,20.02,19.93,19.97,24.26,24.71,24.48,18.35,18.84,18.59
Uttar Pradesh,54.1,54.65,54.37,52.48,53.15,52.8,53.59,54.17,53.87,53.97,53.63,53.81,53.9,53.79,53.85,53.68,54.06,53.86
Uttarakhand,30.8,31.02,30.9,25.35,26.29,25.8,28.87,29.31,29.07,21.71,22.68,22.17,19.84,20.83,20.33,26.61,27.11,26.85
West Bengal,13.12,13.12,13.12,18.37,18.81,18.59,14.87,15.11,14.99,18.62,19.41,19.05,19.12,19.88,19.52,15.87,16.4,16.14
