"India/State/ UT",Total Schools,Schools with drinking water facility,Schools with functional drinking water facility,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1551000,1083747,84623,326228,56402,1485623,1043557,80531,311585,49950,1415161,998808,78274,291503,46576
Andaman and Nicobar Islands,414,339,2,72,1,414,339,2,72,1,413,338,2,72,1
Andhra Pradesh,63621,45013,2346,15862,400,56918,38390,2341,15798,389,49254,33516,2015,13404,319
Arunachal Pradesh,3793,3179,64,503,47,2354,1818,59,437,40,1989,1510,45,396,38
Assam,66324,47223,5065,6084,7952,58948,44484,4207,5640,4617,57065,43306,4007,5486,4266
Bihar,89224,72630,698,6249,9647,88832,72364,696,6219,9553,88033,71802,686,6121,9424
Chandigarh,229,121,7,74,27,229,121,7,74,27,229,121,7,74,27
Chhattisgarh,56274,48671,434,6842,327,55853,48261,431,6836,325,50046,43205,407,6152,282
Dadra and Nagar Haveli,346,300,10,35,1,346,300,10,35,1,346,300,10,35,1
Daman and Diu,140,112,4,23,1,140,112,4,23,1,140,112,4,23,1
Delhi,5703,2784,253,2666,0,5703,2784,253,2666,0,5703,2784,253,2666,0
Goa,1486,833,514,139,0,1486,833,514,139,0,1486,833,514,139,0
Gujarat,54581,35202,5734,13641,4,54573,35194,5734,13641,4,54573,35194,5734,13641,4
Haryana,23534,14516,26,7913,1079,23476,14463,26,7910,1077,23453,14447,26,7904,1076
Himachal Pradesh,18212,15433,0,2778,1,18197,15419,0,2777,1,18134,15403,0,2730,1
Jammu and Kashmir,28654,23167,1,5439,47,27695,22251,1,5398,45,27202,21815,1,5342,44
Jharkhand,45908,35954,1177,1400,7377,44398,34911,1130,1368,6989,41722,32942,1016,1269,6495
Karnataka,78233,50184,7417,20604,28,77189,49954,7391,19821,23,77188,49953,7391,19821,23
Kerala,16701,5011,7195,3156,1339,16626,4957,7184,3150,1335,16477,4913,7140,3108,1316
Ladakh,1054,913,28,113,0,765,645,23,97,0,723,607,21,95,0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0
Madhya Pradesh,154064,122056,874,29182,1952,146947,118382,774,26120,1671,137248,113212,670,22181,1185
Maharashtra,109942,66033,23554,19400,955,108888,65190,23491,19260,947,106773,63645,23247,18949,932
Manipur,4844,3073,587,1003,181,4338,2672,527,967,172,4173,2568,505,932,168
Meghalaya,14669,7802,4181,2220,466,5531,2702,1879,758,192,4967,2391,1688,706,182
Mizoram,3913,2564,231,1025,93,3664,2388,224,967,85,3625,2360,222,959,84
Nagaland,2752,2007,0,745,0,1747,1214,0,533,0,1630,1122,0,508,0
Odisha,68717,55483,5770,4957,2507,68717,55483,5770,4957,2507,68180,55090,5705,4915,2470
Puducherry,739,423,33,283,0,739,423,33,283,0,739,423,33,283,0
Punjab,28637,19404,458,8495,280,28611,19382,454,8495,280,28603,19379,454,8491,279
Rajasthan,105883,67607,0,35776,2500,100528,62728,0,35448,2352,92502,58174,0,32257,2071
Sikkim,1290,854,19,417,0,1288,852,19,417,0,1287,852,19,416,0
Tamil Nadu,59152,37728,8355,12439,630,57033,36845,8075,11577,536,55593,35877,7814,11379,523
Telangana,42355,29822,707,11621,205,39688,27376,663,11451,198,37800,25720,649,11240,191
Tripura,4945,4309,46,343,247,3954,3397,42,316,199,3592,3082,41,296,173
Uttar Pradesh,273235,163142,8090,87433,14570,264546,159067,7854,83829,13796,244591,148321,7255,76364,12651
Uttarakhand,23559,16934,616,5519,490,21933,15530,587,5330,486,20936,14781,572,5117,466
West Bengal,97828,82876,127,11777,3048,93284,82281,126,8776,2101,88701,78665,121,8032,1883
