"India/State/ UT",% of Boys’ and Co-educational Schools with boy’s toilet facility,% of Boys’ and Co-educational Schools with functional boy’s toilet facility,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,94.68,95.23,90.76,95.66,84.28,89.44,88.93,88.43,92.89,80.63
Andaman and Nicobar Islands,99.27,99.11,100,100,100,98.06,97.63,100,100,100
Andhra Pradesh,90.42,88.77,58.76,99.52,92.16,61.01,48.74,53.97,95.62,87.39
Arunachal Pradesh,71.84,69.82,85.71,83.8,61.7,65.6,62.56,85.71,82.6,61.7
Assam,77.71,89.72,38.31,84.03,24.8,70.2,81.56,31.07,78.33,19.62
Bihar,97.75,97.61,96.8,98.46,98.38,96.8,96.56,96.04,98.1,97.75
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,98.96,98.82,99.21,99.91,99.06,83.1,81.69,87.89,93.06,73.9
Dadra and Nagar Haveli,99.71,99.67,100,100,100,99.71,99.67,100,100,100
Daman and Diu,99.25,99.06,100,100,100,99.25,99.06,100,100,100
Delhi,99.98,99.95,100,100,0,99.98,99.95,100,100,0
Goa,99.86,99.88,99.8,100,0,99.66,99.76,99.4,100,0
Gujarat,99.65,99.51,99.76,99.94,100,99.65,99.51,99.76,99.94,100
Haryana,98.7,97.97,100,99.81,99.63,98.05,96.93,100,99.73,99.54
Himachal Pradesh,97.54,97.35,0,98.56,100,96.58,96.35,0,97.84,100
Jammu and Kashmir,88.13,85.69,100,98.38,86.96,82.23,78.4,100,98.23,86.96
Jharkhand,97.7,98.39,83.3,97.18,96.55,94.72,95.68,77.92,95.73,92.34
Karnataka,94.1,93.36,98.68,94.3,77.78,90.47,89.2,96.78,91.35,74.07
Kerala,98.48,98,98.27,99.39,99.18,98.14,97.45,97.93,99.3,99.03
Ladakh,94.27,93.94,96,96.46,0,87.07,86.42,96,90.27,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,96.69,96.53,96.93,97.32,96.84,93.86,93.28,96.32,96.11,94
Maharashtra,96.01,94.31,98.53,98.69,97.85,91.34,87.29,97.59,97.36,96.67
Manipur,79.38,76.5,63,95.09,93.33,68.26,62.26,47.82,94.18,91.67
Meghalaya,72.53,79.02,71.85,53.38,60.94,63.17,68.33,62.37,48.66,52.58
Mizoram,89.02,90.12,90.83,86.13,86.02,84.14,84.07,86.03,84.38,78.49
Nagaland,90.98,89.64,0,94.61,0,87.85,85.55,0,94.07,0
Odisha,97.93,98.5,92.49,97.92,96.97,95.49,96.42,87.53,95.43,92.36
Puducherry,99.57,99.24,100,100,0,99.43,98.99,100,100,0
Punjab,99.77,99.85,91.24,100,100,94.75,93.12,90.55,98.51,99.25
Rajasthan,91.61,90.77,0,93.98,80.02,80.34,77.72,0,85.91,70.54
Sikkim,99.14,98.7,100,100,0,98.6,97.88,100,100,0
Tamil Nadu,96.91,97.2,94.36,97.75,95.39,95.59,95.27,94.11,97.52,94.59
Telangana,90.88,87.52,94.83,99,92.57,87.64,83.1,94.67,98.45,92
Tripura,88.77,89.11,97.83,95.89,71.26,74.64,74.07,91.3,92.08,57.49
Uttar Pradesh,95.21,96.4,93.78,93.58,92.33,92.23,93.11,91.83,91.17,88.82
Uttarakhand,95.09,94.16,95.13,97.94,94.78,88.94,86.24,93.57,96.39,92.28
West Bengal,98.72,99.85,99.08,92.78,91.28,96.87,98.68,96.33,86.89,86.67
