"India/State/ UT",Total Schools,Schools with hand wash facility,% of Schools with hand wash facility,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1551000,1083747,84623,326228,56402,1367728,959780,73741,290553,43654,88.18,88.56,87.14,89.06,77.4
Andaman and Nicobar Islands,414,339,2,72,1,407,332,2,72,1,98.31,97.94,100,100,100
Andhra Pradesh,63621,45013,2346,15862,400,51963,37171,1816,12684,292,81.68,82.58,77.41,79.96,73
Arunachal Pradesh,3793,3179,64,503,47,1062,615,45,374,28,28,19.35,70.31,74.35,59.57
Assam,66324,47223,5065,6084,7952,52340,42548,2691,4628,2473,78.92,90.1,53.13,76.07,31.1
Bihar,89224,72630,698,6249,9647,72553,58148,529,5634,8242,81.32,80.06,75.79,90.16,85.44
Chandigarh,229,121,7,74,27,229,121,7,74,27,100,100,100,100,100
Chhattisgarh,56274,48671,434,6842,327,52225,44733,420,6762,310,92.8,91.91,96.77,98.83,94.8
Dadra and Nagar Haveli,346,300,10,35,1,345,299,10,35,1,99.71,99.67,100,100,100
Daman and Diu,140,112,4,23,1,138,111,4,22,1,98.57,99.11,100,95.65,100
Delhi,5703,2784,253,2666,0,5701,2783,253,2665,0,99.96,99.96,100,99.96,0
Goa,1486,833,514,139,0,1485,833,514,138,0,99.93,100,100,99.28,0
Gujarat,54581,35202,5734,13641,4,50957,33591,4836,12527,3,93.36,95.42,84.34,91.83,75
Haryana,23534,14516,26,7913,1079,23159,14307,25,7773,1054,98.41,98.56,96.15,98.23,97.68
Himachal Pradesh,18212,15433,0,2778,1,17988,15223,0,2764,1,98.77,98.64,0,99.5,100
Jammu and Kashmir,28654,23167,1,5439,47,26835,21615,1,5178,41,93.65,93.3,100,95.2,87.23
Jharkhand,45908,35954,1177,1400,7377,37817,29309,924,1242,6342,82.38,81.52,78.5,88.71,85.97
Karnataka,78233,50184,7417,20604,28,73755,47356,7106,19269,24,94.28,94.36,95.81,93.52,85.71
Kerala,16701,5011,7195,3156,1339,16258,4841,7042,3078,1297,97.35,96.61,97.87,97.53,96.86
Ladakh,1054,913,28,113,0,487,384,21,82,0,46.2,42.06,75,72.57,0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,100,100,0,0,0
Madhya Pradesh,154064,122056,874,29182,1952,131819,102437,776,26806,1800,85.56,83.93,88.79,91.86,92.21
Maharashtra,109942,66033,23554,19400,955,106252,63105,23108,19098,941,96.64,95.57,98.11,98.44,98.53
Manipur,4844,3073,587,1003,181,3864,2448,487,812,117,79.77,79.66,82.96,80.96,64.64
Meghalaya,14669,7802,4181,2220,466,4020,2165,1221,489,145,27.4,27.75,29.2,22.03,31.12
Mizoram,3913,2564,231,1025,93,2676,1913,95,618,50,68.39,74.61,41.13,60.29,53.76
Nagaland,2752,2007,0,745,0,1256,808,0,448,0,45.64,40.26,0,60.13,0
Odisha,68717,55483,5770,4957,2507,68717,55483,5770,4957,2507,100,100,100,100,100
Puducherry,739,423,33,283,0,731,415,33,283,0,98.92,98.11,100,100,0
Punjab,28637,19404,458,8495,280,28352,19187,452,8434,279,99,98.88,98.69,99.28,99.64
Rajasthan,105883,67607,0,35776,2500,99581,62777,0,34661,2143,94.05,92.86,0,96.88,85.72
Sikkim,1290,854,19,417,0,1221,802,16,403,0,94.65,93.91,84.21,96.64,0
Tamil Nadu,59152,37728,8355,12439,630,55344,35517,7418,11835,574,93.56,94.14,88.79,95.14,91.11
Telangana,42355,29822,707,11621,205,35988,24908,569,10354,157,84.97,83.52,80.48,89.1,76.59
Tripura,4945,4309,46,343,247,3933,3393,43,297,200,79.53,78.74,93.48,86.59,80.97
Uttar Pradesh,273235,163142,8090,87433,14570,227718,136987,6831,72015,11885,83.34,83.97,84.44,82.37,81.57
Uttarakhand,23559,16934,616,5519,490,21784,15564,571,5172,477,92.47,91.91,92.69,93.71,97.35
West Bengal,97828,82876,127,11777,3048,88723,77506,105,8870,2242,90.69,93.52,82.68,75.32,73.56
