"India/State/ UT",Total Schools,Schools with computer facility,% of Schools with computer facility,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1551000,1083747,84623,326228,56402,535470,305524,47470,170307,12169,34.52,28.19,56.1,52.2,21.58
Andaman and Nicobar Islands,414,339,2,72,1,216,146,2,67,1,52.17,43.07,100,93.06,100
Andhra Pradesh,63621,45013,2346,15862,400,18371,6715,187,11430,39,28.88,14.92,7.97,72.06,9.75
Arunachal Pradesh,3793,3179,64,503,47,583,349,26,193,15,15.37,10.98,40.63,38.37,31.91
Assam,66324,47223,5065,6084,7952,9239,6457,293,2368,121,13.93,13.67,5.78,38.92,1.52
Bihar,89224,72630,698,6249,9647,9803,4052,101,2482,3168,10.99,5.58,14.47,39.72,32.84
Chandigarh,229,121,7,74,27,225,119,7,74,25,98.25,98.35,100,100,92.59
Chhattisgarh,56274,48671,434,6842,327,52402,47793,166,4360,83,93.12,98.2,38.25,63.72,25.38
Dadra and Nagar Haveli,346,300,10,35,1,252,214,6,31,1,72.83,71.33,60,88.57,100
Daman and Diu,140,112,4,23,1,130,104,4,21,1,92.86,92.86,100,91.3,100
Delhi,5703,2784,253,2666,0,5270,2611,214,2445,0,92.41,93.79,84.58,91.71,0
Goa,1486,833,514,139,0,725,146,452,127,0,48.79,17.53,87.94,91.37,0
Gujarat,54581,35202,5734,13641,4,38341,23254,4850,10235,2,70.25,66.06,84.58,75.03,50
Haryana,23534,14516,26,7913,1079,11272,4601,19,5999,653,47.9,31.7,73.08,75.81,60.52
Himachal Pradesh,18212,15433,0,2778,1,5915,3541,0,2374,0,32.48,22.94,0,85.46,0
Jammu and Kashmir,28654,23167,1,5439,47,6146,2993,1,3132,20,21.45,12.92,100,57.58,42.55
Jharkhand,45908,35954,1177,1400,7377,25766,22548,254,711,2253,56.13,62.71,21.58,50.79,30.54
Karnataka,78233,50184,7417,20604,28,71989,45734,6958,19269,28,92.02,91.13,93.81,93.52,100
Kerala,16701,5011,7195,3156,1339,14682,4530,6589,2595,968,87.91,90.4,91.58,82.22,72.29
Ladakh,1054,913,28,113,0,305,232,7,66,0,28.94,25.41,25,58.41,0
Lakshadweep,45,45,0,0,0,41,41,0,0,0,91.11,91.11,0,0,0
Madhya Pradesh,154064,122056,874,29182,1952,10102,4463,72,5509,58,6.56,3.66,8.24,18.88,2.97
Maharashtra,109942,66033,23554,19400,955,76686,39759,19382,16806,739,69.75,60.21,82.29,86.63,77.38
Manipur,4844,3073,587,1003,181,1331,407,38,786,100,27.48,13.24,6.47,78.36,55.25
Meghalaya,14669,7802,4181,2220,466,1796,627,662,417,90,12.24,8.04,15.83,18.78,19.31
Mizoram,3913,2564,231,1025,93,1825,957,175,639,54,46.64,37.32,75.76,62.34,58.06
Nagaland,2752,2007,0,745,0,1095,596,0,499,0,39.79,29.7,0,66.98,0
Odisha,68717,55483,5770,4957,2507,6763,6584,115,16,48,9.84,11.87,1.99,0.32,1.91
Puducherry,739,423,33,283,0,659,388,26,245,0,89.17,91.73,78.79,86.57,0
Punjab,28637,19404,458,8495,280,17985,10188,374,7200,223,62.8,52.5,81.66,84.76,79.64
Rajasthan,105883,67607,0,35776,2500,46946,20737,0,25582,627,44.34,30.67,0,71.51,25.08
Sikkim,1290,854,19,417,0,736,439,10,287,0,57.05,51.41,52.63,68.82,0
Tamil Nadu,59152,37728,8355,12439,630,30056,18027,2818,8865,346,50.81,47.78,33.73,71.27,54.92
Telangana,42355,29822,707,11621,205,13862,6527,211,7089,35,32.73,21.89,29.84,61,17.07
Tripura,4945,4309,46,343,247,703,449,25,188,41,14.22,10.42,54.35,54.81,16.6
Uttar Pradesh,273235,163142,8090,87433,14570,34108,6118,3030,23314,1646,12.48,3.75,37.45,26.66,11.3
Uttarakhand,23559,16934,616,5519,490,7880,3784,352,3536,208,33.45,22.35,57.14,64.07,42.45
West Bengal,97828,82876,127,11777,3048,11264,9294,44,1350,576,11.51,11.21,34.65,11.46,18.9
