"India/State/ UT",Projected population by age group – Scheduled Castes,,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,7967749,7260836,15228585,10826940,10036888,20863827,6584573,6121555,12706127
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,250086,234280,484366,351483,340403,691886,227635,226450,454085
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,74291,68749,143040,108774,103976,212751,74023,72107,146129
Bihar,952399,884362,1836761,1277966,1208915,2486882,706084,648387,1354470
Chandigarh,8524,7412,15936,12832,10746,23578,7850,6622,14472
Chhattisgarh,144490,136629,281119,187293,181260,368553,111204,108667,219871
Dadra and Nagar Haveli,233,242,475,333,282,615,210,210,420
Daman and Diu,205,174,378,283,286,569,219,194,414
Delhi,101020,88324,189345,142506,125531,268037,90103,80433,170536
Goa,812,800,1612,1200,1116,2316,709,710,1418
Gujarat,144721,124683,269404,203037,178504,381541,129111,115186,244298
Haryana,215232,188221,403453,292703,255248,547951,177831,154526,332357
Himachal Pradesh,52439,48774,101213,76870,72145,149016,48732,45392,94123
Jammu and Kashmir,23291,20964,44256,46990,39651,86641,34015,29338,63353
Jharkhand,189310,178684,367994,266362,256469,522830,156051,148607,304658
Karnataka,361265,337597,698862,499636,477530,977166,307331,293571,600901
Kerala,75543,72142,147685,107826,103811,211636,70531,67429,137960
Ladakh,5,1,7,9,4,14,6,5,11
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,530764,484441,1015204,684112,632132,1316244,408841,380562,789403
Maharashtra,408168,369099,777267,598725,553326,1152051,382729,353554,736283
Manipur,2660,2420,5080,4934,4666,9600,3293,3100,6394
Meghalaya,495,502,997,877,785,1662,595,574,1169
Mizoram,18,27,45,51,47,98,34,24,58
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,244089,231616,475705,339080,322790,661870,217951,209856,427807
Puducherry,6838,6562,13399,10776,10051,20827,6831,6512,13343
Punjab,286687,262825,549512,417717,375290,793007,267679,238036,505715
Rajasthan,586552,512239,1098791,778431,697793,1476224,462367,418990,881357
Sikkim,739,722,1461,1363,1298,2661,982,908,1890
Tamil Nadu,414555,384270,798825,600132,568608,1168740,375471,362654,738126
Telangana,154731,142334,297065,224341,213596,437937,150431,147859,298290
Tripura,16713,15545,32258,25893,24375,50268,18162,17317,35479
Uttar Pradesh,2102397,1871300,3973697,2634495,2378222,5012717,1540576,1392118,2932694
Uttarakhand,73041,63951,136992,105793,95571,201364,68264,62064,130328
West Bengal,545436,520946,1066382,824115,802461,1626575,538722,529594,1068316
