"India/State/ UT",Projected population by age group – Scheduled Tribes,,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,9761491,9347234,19108724,2382075,2258734,4640808,2283053,2192215,4475268
Andaman and Nicobar Islands,2200,1912,4112,642,571,1213,607,541,1147
Andhra Pradesh,208152,195356,403509,51573,48815,100388,49371,46158,95528
Arunachal Pradesh,93277,91970,185248,25907,26036,51944,23277,23778,47055
Assam,333793,321663,655455,92529,92621,185150,91550,94397,185946
Bihar,150971,145735,296706,36526,34976,71501,35110,33475,68585
Chandigarh,-,-,-,-,-,-,-,-,-
Chhattisgarh,714346,697247,1411593,171613,167340,338953,164715,164715,329430
Dadra and Nagar Haveli,22204,20423,42627,5239,4602,9841,4701,4205,8906
Daman and Diu,1413,1291,2704,370,340,711,487,387,875
Delhi,-,-,-,-,-,-,-,-,-
Goa,11322,10404,21726,3053,2682,5735,2943,2848,5791
Gujarat,809632,771531,1581163,195187,182673,377860,185005,169924,354929
Haryana,-,-,-,-,-,-,-,-,-
Himachal Pradesh,28365,26223,54588,7489,7154,14642,7619,7395,15013
Jammu and Kashmir,147479,133070,280549,34798,29043,63841,29871,24796,54667
Jharkhand,855011,832051,1687061,214639,213449,428088,204022,210135,414157
Karnataka,325218,313080,638298,87011,81899,168910,88287,79657,167945
Kerala,35137,33303,68440,7990,7921,15910,7394,7003,14398
Ladakh,21520,19365,40885,5615,5410,11025,5829,5411,11240
Lakshadweep,5117,5131,10248,1365,1314,2679,1349,1444,2793
Madhya Pradesh,1597018,1565063,3162082,362139,347238,709378,338441,330675,669117
Maharashtra,959494,894547,1854040,235461,212433,447895,228161,207345,435506
Manipur,111954,102100,214054,33097,30701,63798,32831,31973,64805
Meghalaya,249724,242647,492372,62562,61598,124160,62037,61340,123377
Mizoram,82785,79409,162195,21585,20749,42334,22621,22132,44754
Nagaland,161257,149535,310793,44539,41232,85772,43921,43085,87005
Odisha,868141,855713,1723853,194247,188608,382855,181488,178919,360407
Puducherry,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-
Rajasthan,965142,890218,1855359,223843,206523,430365,214563,203778,418340
Sikkim,16144,15718,31862,4741,4615,9356,5001,5054,10055
Tamil Nadu,62841,58430,121270,14905,13260,28165,13763,12238,26000
Telangana,282734,259105,541839,74596,67813,142409,70265,61956,132221
Tripura,98986,93866,192852,26739,24956,51696,26732,24486,51218
Uttar Pradesh,116961,110567,227528,26836,24309,51144,25658,23154,48812
Uttarakhand,23357,21314,44671,7067,6520,13587,7124,6897,14021
West Bengal,399793,389248,789042,108172,101330,209501,108313,102912,211226
