India/ State /UT,Total,Primary,Upper Primary,Secondary,Higher Secondary
(1),(2),(3),(4),(5),(6)
India,1507708,778842,443643,151489,133734
Andaman and Nicobar Islands,418,222,76,53,67
Andhra Pradesh,63824,39388,9282,12352,2802
Arunachal Pradesh,3666,1924,1276,309,157
Assam,65907,44175,11915,7567,2250
Bihar,90275,42712,38411,3843,5309
Chandigarh,229,20,41,71,97
Chhattisgarh,56303,32715,16393,2726,4469
Dadra and Nagar Haveli,346,166,133,23,24
Daman and Diu,137,49,40,23,25
Delhi,5669,2660,867,359,1783
Goa,1482,901,60,407,114
Gujarat,54629,12468,29716,4842,7603
Haryana,23699,9813,5503,3115,5268
Himachal Pradesh,18185,11195,2747,1739,2504
Jammu and Kashmir,28863,14792,9689,3132,1250
Jharkhand,45596,24207,16443,3333,1613
Karnataka,77166,24821,31270,15238,5837
Kerala,16665,7070,4691,1944,2960
Ladakh,1054,454,445,109,46
Lakshadweep,45,15,15,2,13
Madhya Pradesh,133379,68208,47623,8296,9252
Maharashtra,110229,52094,30042,17634,10459
Manipur,4663,2431,1046,939,247
Meghalaya,14730,9354,3566,1448,362
Mizoram,3924,1500,1530,697,197
Nagaland,2758,1187,800,582,189
Odisha,67020,33340,21719,9515,2446
Puducherry,741,277,80,194,190
Punjab,28775,13877,5223,4474,5201
Rajasthan,106240,38792,36414,10849,20185
Sikkim,1277,700,310,150,117
Tamil Nadu,58897,35621,9392,5788,8096
Telangana,42575,20752,7471,11921,2431
Tripura,4940,2562,1241,672,465
Uttar Pradesh,254352,138088,83855,12501,19908
Uttarakhand,23295,14006,5453,1355,2481
West Bengal,95755,76286,8865,3287,
