India/ State /UT,Number of Schools – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12),
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,1507708,778842,341915,101728,72089,47849,31551,59593,36344,21981,15816
Andaman and Nicobar Islands,418,222,75,1,50,3,0,47,16,4,0
Andhra Pradesh,63824,39388,9277,5,2257,10083,12,202,288,2,2310
Arunachal Pradesh,3666,1924,1222,54,259,48,2,69,49,39,0
Assam,65907,44175,4182,7733,3242,2363,1962,437,723,194,896
Bihar,90275,42712,38149,262,2511,214,1118,2234,91,2576,408
Chandigarh,229,20,41,0,71,0,0,93,3,1,0
Chhattisgarh,56303,32715,3067,13326,780,23,1923,1451,151,2857,10
Dadra and Nagar Haveli,346,166,132,1,11,0,12,9,1,13,1
Daman and Diu,137,49,4,36,10,0,13,9,4,10,2
Delhi,5669,2660,835,32,261,98,0,1223,556,4,0
Goa,1482,901,53,7,182,221,4,11,5,0,98
Gujarat,54629,12468,28890,826,976,75,3791,1790,290,4717,806
Haryana,23699,9813,3103,2400,1943,1171,1,2976,2286,4,2
Himachal Pradesh,18185,11195,799,1948,795,942,2,603,1882,10,9
Jammu and Kashmir,28863,14792,9565,124,2739,359,34,624,147,475,4
Jharkhand,45596,24207,16380,63,2317,583,433,537,461,296,319
Karnataka,77166,24821,30784,486,5063,1115,9060,707,123,1079,3928
Kerala,16665,7070,4042,649,1420,363,161,1421,1001,477,61
Ladakh,1054,454,436,9,82,25,2,11,7,27,1
Lakshadweep,45,15,14,1,2,0,0,4,5,4,0
Madhya Pradesh,133379,68208,34755,12868,4689,825,2782,5341,939,2961,11
Maharashtra,110229,52094,29915,127,10527,6126,981,6467,1235,162,2595
Manipur,4663,2431,1004,42,827,86,26,131,33,17,66
Meghalaya,14730,9354,233,3333,154,239,1055,51,46,63,202
Mizoram,3924,1500,446,1084,8,3,686,3,6,1,187
Nagaland,2758,1187,775,25,440,139,3,122,52,1,14
Odisha,67020,33340,19094,2625,3629,3629,2257,206,298,0,1942
Puducherry,741,277,79,1,160,34,0,125,52,8,5
Punjab,28775,13877,2569,2654,2744,1727,3,2876,2077,62,186
Rajasthan,106240,38792,36199,215,10701,136,12,19369,655,159,2
Sikkim,1277,700,310,0,145,5,0,108,9,0,0
Tamil Nadu,58897,35621,9295,97,1963,3820,5,3658,4405,19,14
Telangana,42575,20752,7471,0,6513,5408,0,377,377,0,1677
Tripura,4940,2562,1239,2,665,6,1,394,71,0,0
Uttar Pradesh,254352,138088,43685,40170,3225,4335,4941,4623,9665,5595,25
Uttarakhand,23295,14006,2300,3153,245,841,269,604,1715,142,20
West Bengal,95755,76286,1496,7369,483,2804,0,680,6620,2,
