India/ State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,304402,392055,696457,1156412,1062245,2218657,323056,267234,590290
Andaman and Nicobar Islands,84,149,233,366,643,1009,249,395,644
Andhra Pradesh,5638,8671,14309,29191,27479,56670,30692,25490,56182
Arunachal Pradesh,1878,1406,3284,2839,2718,5557,574,354,928
Assam,7079,7994,15073,59819,28833,88652,22438,14461,36899
Bihar,31701,17809,49510,171496,114984,286480,6132,2785,8917
Chandigarh,130,604,734,214,972,1186,527,1986,2513
Chhattisgarh,5424,10578,16002,36517,25090,61607,2428,3308,5736
Dadra and Nagar Haveli,42,81,123,330,461,791,17,28,45
Daman and Diu,28,74,102,103,204,307,26,36,62
Delhi,0,0,0,11295,27634,38929,0,0,0
Goa,27,146,173,397,1480,1877,511,1527,2038
Gujarat,2149,4745,6894,56390,66952,123342,974,1361,2335
Haryana,2944,10439,13383,21118,27836,48954,10220,13752,23972
Himachal Pradesh,1061,4121,5182,9731,9070,18801,7855,7729,15584
Jammu and Kashmir,1430,2081,3511,33950,28257,62207,915,831,1746
Jharkhand,15203,8319,23522,36989,22702,59691,3846,3182,7028
Karnataka,62709,85261,147970,12634,27047,39681,1492,2856,4348
Kerala,501,3471,3972,14127,51899,66026,630,2783,3413
Ladakh,152,117,269,1339,1161,2500,89,48,137
Lakshadweep,83,85,168,69,90,159,40,58,98
Madhya Pradesh,12718,14499,27217,107823,105765,213588,4158,4608,8766
Maharashtra,18944,21127,40071,81511,64157,145668,21871,15673,37544
Manipur,2152,2594,4746,3463,3513,6976,1848,1545,3393
Meghalaya,301,658,959,7826,8176,16002,389,563,952
Mizoram,296,332,628,5077,3385,8462,16,5,21
Nagaland,769,1128,1897,4875,4889,9764,540,498,1038
Odisha,37577,35313,72890,29341,22148,51489,9065,6573,15638
Puducherry,202,990,1192,344,863,1207,764,1574,2338
Punjab,0,2,2,14159,49962,64121,4,8,12
Rajasthan,43624,37245,80869,97063,63497,160560,68153,31165,99318
Sikkim,68,115,183,1199,1541,2740,409,504,913
Tamil Nadu,9849,50652,60501,23200,54518,77718,23596,46357,69953
Telangana,10217,22921,33138,9449,17158,26607,37507,33864,71371
Tripura,269,170,439,7390,3097,10487,216,115,331
Uttar Pradesh,22529,29761,52290,210183,153531,363714,19022,14083,33105
Uttarakhand,982,2948,3930,11154,12460,23614,2930,2608,5538
West Bengal,5642,5449,11091,43441,28073,71514,42913,24521,67434
