India/ State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,2797440,2141428,4938868,18386,24478,42864,135261,99148,234409,1150398,955348,2105746
Andaman and Nicobar Islands,1770,2735,4505,44,106,150,4,21,25,536,980,1516
Andhra Pradesh,103199,81573,184772,0,0,0,0,0,0,47083,39811,86894
Arunachal Pradesh,9475,6943,16418,11,3,14,99,71,170,3740,2776,6516
Assam,139513,79163,218676,31,39,70,1472,988,2460,64842,41411,106253
Bihar,244094,160841,404935,0,1,1,156,75,231,80630,66499,147129
Chandigarh,1466,3767,5233,2,93,95,0,11,11,510,1013,1523
Chhattisgarh,110993,65696,176689,1,14,15,32,32,64,52834,30595,83429
Dadra and Nagar Haveli,941,1177,2118,0,4,4,0,3,3,408,557,965
Daman and Diu,377,519,896,0,0,0,0,0,0,74,243,317
Delhi,31189,50618,81807,46,2027,2073,0,0,0,7443,16017,23460
Goa,718,2475,3193,0,6,6,0,0,0,206,1498,1704
Gujarat,106797,96153,202950,0,5,5,20,33,53,58286,57316,115602
Haryana,58130,43408,101538,0,20,20,12,5,17,22721,15251,37972
Himachal Pradesh,42130,27138,69268,22,42,64,167,135,302,12984,9671,22655
Jammu and Kashmir,64538,38289,102827,0,0,0,1028,1211,2239,23880,14505,38385
Jharkhand,87746,35513,123259,22,5,27,103,54,157,45561,18235,63796
Karnataka,107525,102977,210502,0,3,3,17,18,35,25875,23911,49786
Kerala,20049,55599,75648,29,2125,2154,5,33,38,5041,19647,24688
Ladakh,2504,2088,4592,35,16,51,61,77,138,490,753,1243
Lakshadweep,586,647,1233,0,36,36,0,1,1,164,207,371
Madhya Pradesh,209482,102824,312306,8,6,14,82,54,136,119200,58262,177462
Maharashtra,157096,99221,256317,12,66,78,138,125,263,112510,76600,189110
Manipur,9276,9725,19001,5,13,18,110,248,358,5654,5637,11291
Meghalaya,11171,12475,23646,29,84,113,501,813,1314,5452,6140,11592
Mizoram,7647,5176,12823,2,4,6,10,7,17,2360,2151,4511
Nagaland,10146,9416,19562,24,56,80,232,320,552,4411,4166,8577
Odisha,138146,100404,238550,0,0,0,0,0,0,63410,47805,111215
Puducherry,1763,3121,4884,0,142,142,9,11,20,520,1299,1819
Punjab,45290,76875,122165,152,519,671,2596,5050,7646,12618,25907,38525
Rajasthan,264040,131107,395147,41,31,72,1381,690,2071,91427,54191,145618
Sikkim,4802,5699,10501,37,646,683,2,3,5,2265,2256,4521
Tamil Nadu,79490,147816,227306,5,19,24,0,1,1,20897,59684,80581
Telangana,81747,70551,152298,7,9,16,424,452,876,29921,27088,57009
Tripura,27033,11359,38392,3,1,4,3,0,3,13014,4633,17647
Uttar Pradesh,297439,286032,583471,26,47,73,226,214,440,201324,206408,407732
Uttarakhand,34920,23896,58816,0,0,0,6,14,20,12062,12192,24254
West Bengal,284212,188412,472624,17792,18290,36082,126365,88378,214743,45,33,78
