India/ State /UT,Number of Teachers in Government Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12),
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,4938868,1788551,1305603,257183,222672,304471,73859,332725,495390,127479,30935
Andaman and Nicobar Islands,4505,754,742,9,793,54,0,1488,508,157,0
Andhra Pradesh,184772,70580,24105,0,4739,73673,0,2050,3686,0,5939
Arunachal Pradesh,16418,3645,6602,426,2225,614,25,960,981,940,0
Assam,218676,102750,20173,18528,15887,29223,3883,5171,15711,478,6872
Bihar,404935,130046,197210,1832,19619,407,3942,15384,806,34556,1133
Chandigarh,5233,79,315,0,2101,0,0,2685,30,23,0
Chhattisgarh,176689,82181,886,46804,756,45,8986,2425,535,34001,70
Dadra and Nagar Haveli,2118,393,1164,3,10,0,114,35,23,354,22
Daman and Diu,896,269,57,196,0,0,111,21,37,200,5
Delhi,81807,19384,69,387,689,2353,0,33538,25334,53,0
Goa,3193,1542,306,0,0,910,5,163,126,0,141
Gujarat,202950,27071,165411,1737,329,309,2342,1265,1655,2322,509
Haryana,101538,37446,105,11167,39,11259,0,1463,40055,4,0
Himachal Pradesh,69268,22795,37,6409,89,7013,0,806,32119,0,0
Jammu and Kashmir,102827,25004,41206,674,14249,4257,333,4149,2589,10314,52
Jharkhand,123259,40507,53091,73,15413,566,1777,3670,3414,3748,1000
Karnataka,210502,40055,112651,838,7306,6609,28044,1202,1215,7752,4830
Kerala,75648,14839,13424,548,4689,676,395,16369,18187,6437,84
Ladakh,4592,731,2193,50,656,258,25,103,95,464,17
Lakshadweep,1233,210,351,29,65,0,0,170,248,160,0
Madhya Pradesh,312306,136783,65400,28224,14525,4498,9329,21083,10905,21554,5
Maharashtra,256317,104324,128012,47,11650,2058,1043,7686,1214,40,243
Manipur,19001,7926,3680,46,4092,387,0,1186,843,620,221
Meghalaya,23646,12883,57,8683,262,705,9,388,524,40,95
Mizoram,12823,4480,41,5741,29,13,1837,103,84,0,495
Nagaland,19562,6238,6903,198,2395,2020,42,146,1589,31,0
Odisha,238550,76675,93246,4217,37903,14769,6892,1290,2760,0,798
Puducherry,4884,1457,522,14,642,498,0,178,1327,180,66
Punjab,122165,45414,74,11394,431,18031,0,4234,42205,41,341
Rajasthan,395147,63852,120826,659,38045,492,0,164412,5759,1102,0
Sikkim,10501,2242,2185,0,2376,46,0,3568,84,0,0
Tamil Nadu,227306,60121,48594,358,417,32022,12,3789,81950,32,11
Telangana,152298,48429,18469,0,9378,56421,0,5451,6307,0,7843
Tripura,38392,7636,9039,16,9509,59,0,10698,1435,0,0
Uttar Pradesh,583471,317184,167814,78577,512,119,3638,7792,6861,972,2
Uttarakhand,58816,23904,87,7939,115,4953,1075,1376,18429,899,39
West Bengal,472624,248722,556,21360,737,29154,0,6228,165760,5,102
