India/ State /UT,Number of teachers in Others Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12),
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,325783,114454,159718,6358,24094,2282,4917,10727,383,731,2119
Andaman and Nicobar Islands,3,3,0,0,0,0,0,0,0,0,0
Andhra Pradesh,567,174,355,0,23,3,0,0,0,0,12
Arunachal Pradesh,419,191,228,0,0,0,0,0,0,0,0
Assam,24754,14929,389,3296,490,732,3435,53,91,239,1100
Bihar,83759,11753,66705,20,1980,57,120,2744,40,179,161
Chandigarh,452,96,274,0,65,0,0,17,0,0,0
Chhattisgarh,1045,611,194,235,0,0,0,5,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,25,0,0,0,0,0,0,25,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,47,0,0,0,9,0,0,38,0,0,0
Haryana,7987,2393,5268,13,238,5,0,70,0,0,0
Himachal Pradesh,3,3,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,707,234,328,0,113,0,5,18,0,9,0
Jharkhand,61779,14138,41142,194,5310,489,127,248,2,21,108
Karnataka,59,14,4,0,25,16,0,0,0,0,0
Kerala,10307,3497,5379,24,1258,7,23,68,18,15,18
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6764,2199,4463,65,15,0,0,22,0,0,0
Maharashtra,5711,2112,2549,10,679,92,127,106,23,5,8
Manipur,1957,593,1324,6,34,0,0,0,0,0,0
Meghalaya,2528,1015,337,119,224,72,479,76,17,0,189
Mizoram,594,103,227,6,0,0,169,0,0,0,89
Nagaland,6,6,0,0,0,0,0,0,0,0,0
Odisha,10245,4487,4420,97,630,348,160,83,0,0,20
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,3864,491,1321,0,889,17,9,644,0,117,376
Rajasthan,7322,4863,1959,0,266,8,4,194,9,19,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4552,2431,1070,25,256,6,0,764,0,0,0
Telangana,479,230,236,0,13,0,0,0,0,0,0
Tripura,1216,1039,100,0,33,0,0,44,0,0,0
Uttar Pradesh,75181,37723,19090,1267,11118,277,158,5298,127,113,10
Uttarakhand,2346,1343,509,313,26,12,101,0,0,14,28
West Bengal,11105,7783,1847,668,400,141,0,210,56,0,0
