India/ State /UT,Children With Special Needs (CWSN) enrolment,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,695777,504807,1200584,395147,310767,705914,1090924,815574,1906498
Andaman and Nicobar Islands,134,64,198,108,68,176,242,132,374
Andhra Pradesh,27876,19943,47819,21725,17514,39239,49601,37457,87058
Arunachal Pradesh,837,724,1561,460,611,1071,1297,1335,2632
Assam,21767,18650,40417,7982,7916,15898,29749,26566,56315
Bihar,55411,42571,97982,24633,20346,44979,80044,62917,142961
Chandigarh,895,546,1441,1083,660,1743,1978,1206,3184
Chhattisgarh,10691,8617,19308,6417,5867,12284,17108,14484,31592
Dadra and Nagar Haveli,560,511,1071,352,316,668,912,827,1739
Daman and Diu,65,40,105,39,34,73,104,74,178
Delhi,5987,4472,10459,5656,4015,9671,11643,8487,20130
Goa,468,310,778,649,376,1025,1117,686,1803
Gujarat,27371,19522,46893,18796,13631,32427,46167,33153,79320
Haryana,8730,5741,14471,5968,4164,10132,14698,9905,24603
Himachal Pradesh,2150,1775,3925,1390,1310,2700,3540,3085,6625
Jammu and Kashmir,7352,5238,12590,3948,3077,7025,11300,8315,19615
Jharkhand,19031,14706,33737,9726,8661,18387,28757,23367,52124
Karnataka,29598,21511,51109,20457,16313,36770,50055,37824,87879
Kerala,34110,23654,57764,26677,19918,46595,60787,43572,104359
Ladakh,171,142,313,107,152,259,278,294,572
Lakshadweep,65,48,113,39,23,62,104,71,175
Madhya Pradesh,30639,24712,55351,25310,21077,46387,55949,45789,101738
Maharashtra,97464,65822,163286,49373,38652,88025,146837,104474,251311
Manipur,1713,1491,3204,465,421,886,2178,1912,4090
Meghalaya,1618,1198,2816,568,444,1012,2186,1642,3828
Mizoram,1030,771,1801,667,572,1239,1697,1343,3040
Nagaland,682,564,1246,431,434,865,1113,998,2111
Odisha,27549,19850,47399,20588,15361,35949,48137,35211,83348
Puducherry,675,538,1213,645,519,1164,1320,1057,2377
Punjab,19763,12715,32478,12131,8790,20921,31894,21505,53399
Rajasthan,30369,21760,52129,17436,12848,30284,47805,34608,82413
Sikkim,311,201,512,170,128,298,481,329,810
Tamil Nadu,46950,29372,76322,36079,25555,61634,83029,54927,137956
Telangana,12084,9483,21567,6988,6068,13056,19072,15551,34623
Tripura,1247,925,2172,884,721,1605,2131,1646,3777
Uttar Pradesh,125626,93965,219591,43802,34959,78761,169428,128924,298352
Uttarakhand,1823,1353,3176,853,746,1599,2676,2099,4775
West Bengal,42965,31302,74267,22545,18500,41045,65510,49802,115312
