India/ State /UT,Enrolment of age group < 6 years,,,,,,,,
"",All,Pre-Primary,Primary (1 to 5),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(20),(21),(22),(23),(24),(25),(26),(27),(28)
India,11153473,9824483,20977956,7316838,6239054,13555892,3836635,3585429,7422064
Andaman and Nicobar Islands,5214,5016,10230,4514,4242,8756,700,774,1474
Andhra Pradesh,270309,268549,538858,99762,86408,186170,170547,182141,352688
Arunachal Pradesh,23111,21184,44295,14928,13327,28255,8183,7857,16040
Assam,332225,308184,640409,262251,241951,504202,69974,66233,136207
Bihar,597949,434318,1032267,389897,255001,644898,208052,179317,387369
Chandigarh,16469,14319,30788,14408,12254,26662,2061,2065,4126
Chhattisgarh,226819,200987,427806,188516,165490,354006,38303,35497,73800
Dadra and Nagar Haveli,2193,1762,3955,2131,1698,3829,62,64,126
Daman and Diu,1830,1628,3458,1347,1139,2486,483,489,972
Delhi,252232,227184,479416,154020,139006,293026,98212,88178,186390
Goa,15020,13906,28926,13095,12172,25267,1925,1734,3659
Gujarat,432146,366862,799008,187559,148048,335607,244587,218814,463401
Haryana,362563,309956,672519,199876,153828,353704,162687,156128,318815
Himachal Pradesh,103293,91696,194989,65964,57207,123171,37329,34489,71818
Jammu and Kashmir,272333,245568,517901,177356,157395,334751,94977,88173,183150
Jharkhand,391616,312413,704029,309664,243066,552730,81952,69347,151299
Karnataka,420527,368936,789463,324243,269977,594220,96284,98959,195243
Kerala,383958,365628,749586,318867,302593,621460,65091,63035,128126
Ladakh,6313,5989,12302,5182,4956,10138,1131,1033,2164
Lakshadweep,606,596,1202,604,593,1197,2,3,5
Madhya Pradesh,731681,623626,1355307,500155,411394,911549,231526,212232,443758
Maharashtra,514163,449913,964076,469886,409846,879732,44277,40067,84344
Manipur,55739,52386,108125,38400,35851,74251,17339,16535,33874
Meghalaya,129835,125390,255225,115141,111027,226168,14694,14363,29057
Mizoram,22987,22077,45064,19429,18767,38196,3558,3310,6868
Nagaland,47954,45221,93175,45043,42355,87398,2911,2866,5777
Odisha,430135,421038,851173,175485,171436,346921,254650,249602,504252
Puducherry,23751,22141,45892,16622,15348,31970,7129,6793,13922
Punjab,460778,392598,853376,459971,391870,851841,807,728,1535
Rajasthan,1049733,871445,1921178,651998,509701,1161699,397735,361744,759479
Sikkim,11222,10526,21748,10270,9612,19882,952,914,1866
Tamil Nadu,1039756,952014,1991770,669077,590983,1260060,370679,361031,731710
Telangana,302148,295391,597539,147548,124617,272165,154600,170774,325374
Tripura,19561,16712,36273,18326,15480,33806,1235,1232,2467
Uttar Pradesh,1120441,961312,2081753,267753,204743,472496,852688,756569,1609257
Uttarakhand,119888,102350,222238,70098,57302,127400,49790,45048,94838
West Bengal,956975,895662,1852637,907452,848371,1755823,49523,47291,96814
