India/ State /UT,Enrolment of age group 16-17 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (6 to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(02),(03),(04),(05),(06),(07),(08),(09),(10)
India,11481646,10811609,22293255,7058,5379,12437,211614,188270,399884
Andaman and Nicobar Islands,3977,4143,8120,2,1,3,91,60,151
Andhra Pradesh,361776,352530,714306,339,245,584,5850,3405,9255
Arunachal Pradesh,11746,13068,24814,59,84,143,1489,1811,3300
Assam,218381,231085,449466,105,98,203,3980,4352,8332
Bihar,600290,580341,1180631,120,59,179,6579,7700,14279
Chandigarh,18050,15276,33326,4,2,6,250,128,378
Chhattisgarh,293442,330383,623825,62,31,93,5346,4149,9495
Dadra and Nagar Haveli,4027,3841,7868,11,4,15,167,99,266
Daman and Diu,2146,2068,4214,0,0,0,85,41,126
Delhi,218382,214090,432472,17,16,33,1658,2168,3826
Goa,15332,16597,31929,0,0,0,136,102,238
Gujarat,544647,449760,994407,110,116,226,6528,4597,11125
Haryana,297565,230671,528236,355,156,511,7200,4388,11588
Himachal Pradesh,82923,77389,160312,13,12,25,482,353,835
Jammu and Kashmir,89567,79205,168772,42,41,83,1829,1691,3520
Jharkhand,263766,272419,536185,250,175,425,7998,8615,16613
Karnataka,469827,496583,966410,99,67,166,3053,1864,4917
Kerala,371172,385185,756357,156,137,293,1947,1723,3670
Ladakh,2210,2328,4538,8,1,9,134,112,246
Lakshadweep,922,1024,1946,0,0,0,0,0,0
Madhya Pradesh,775287,687016,1462303,544,389,933,27701,21509,49210
Maharashtra,1399602,1231480,2631082,966,425,1391,15785,11145,26930
Manipur,27070,25867,52937,42,25,67,638,596,1234
Meghalaya,40612,46910,87522,279,272,551,6523,6536,13059
Mizoram,15179,15426,30605,54,31,85,1475,1134,2609
Nagaland,18014,19298,37312,87,91,178,1614,1695,3309
Odisha,319947,327820,647767,124,109,233,2886,2240,5126
Puducherry,11696,12270,23966,0,0,0,41,17,58
Punjab,394715,335141,729856,1,0,1,4796,3076,7872
Rajasthan,948268,756907,1705175,625,463,1088,27714,22892,50606
Sikkim,8948,9645,18593,216,29,245,960,773,1733
Tamil Nadu,493626,531725,1025351,0,0,0,550,345,895
Telangana,250943,272690,523633,0,0,0,7004,4339,11343
Tripura,32456,32383,64839,2,2,4,200,167,367
Uttar Pradesh,1916732,1636653,3553385,1017,1024,2041,40285,42891,83176
Uttarakhand,127593,123385,250978,122,75,197,2973,2560,5533
West Bengal,830810,989007,1819817,1227,1199,2426,15667,18997,34664
