India/ State /UT,Enrolment of age group 16-17 years,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(02),(03),(04),(05),(06),(07)
India,2971210,2611253,5582463,8291764,8006707,16298471
Andaman and Nicobar Islands,1478,1149,2627,2406,2933,5339
Andhra Pradesh,69338,40082,109420,286249,308798,595047
Arunachal Pradesh,3916,4159,8075,6282,7014,13296
Assam,70458,83784,154242,143838,142851,286689
Bihar,140544,156704,297248,453047,415878,868925
Chandigarh,3172,2336,5508,14624,12810,27434
Chhattisgarh,119101,125044,244145,168933,201159,370092
Dadra and Nagar Haveli,1379,1080,2459,2470,2658,5128
Daman and Diu,709,441,1150,1352,1586,2938
Delhi,52194,49023,101217,164513,162883,327396
Goa,4576,4215,8791,10620,12280,22900
Gujarat,139298,98791,238089,398711,346256,744967
Haryana,84856,53781,138637,205154,172346,377500
Himachal Pradesh,14158,11276,25434,68270,65748,134018
Jammu and Kashmir,20962,17586,38548,66734,59887,126621
Jharkhand,65581,77225,142806,189937,186404,376341
Karnataka,56544,37634,94178,410131,457018,867149
Kerala,53350,46374,99724,315719,336951,652670
Ladakh,801,835,1636,1267,1380,2647
Lakshadweep,36,43,79,886,981,1867
Madhya Pradesh,300928,255335,556263,446114,409783,855897
Maharashtra,450553,358694,809247,932298,861216,1793514
Manipur,3872,3724,7596,22518,21522,44040
Meghalaya,18378,21651,40029,15432,18451,33883
Mizoram,6844,7010,13854,6806,7251,14057
Nagaland,7162,7371,14533,9151,10141,19292
Odisha,22804,21156,43960,294133,304315,598448
Puducherry,991,1208,2199,10664,11045,21709
Punjab,102463,69815,172278,287455,262250,549705
Rajasthan,327361,266434,593795,592568,467118,1059686
Sikkim,4673,5022,9695,3099,3821,6920
Tamil Nadu,18956,10476,29432,474120,520904,995024
Telangana,70113,42326,112439,173826,226025,399851
Tripura,8546,8842,17388,23708,23372,47080
Uttar Pradesh,492042,426520,918562,1383388,1166218,2549606
Uttarakhand,36329,32135,68464,88169,88615,176784
West Bengal,196744,261972,458716,617172,706839,1324011
