India/ State /UT,Enrolment – Government Schools,,,,,,
"","Total(Pre-primaryto 12)","Pre-Primary","Primary(1 to 5)","UpperPrimary(6-8)","Elementary(1-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6),(7),(8)
India,130931634,2789038,66775098,34907124,101682222,17033843,9426531
Andaman and Nicobar Islands,51905,3636,18575,13323,31898,10331,6040
Andhra Pradesh,4042535,19873,1791045,1242286,3033331,785800,203531
Arunachal Pradesh,213421,5035,96787,58910,155697,33257,19432
Assam,5031895,243328,2639297,1240876,3880173,667732,240662
Bihar,19579263,690,10337794,5555551,15893345,2617610,1067618
Chandigarh,152561,7221,53029,42659,95688,25860,23792
Chhattisgarh,4000147,3503,1758045,1071423,2829468,722899,444277
Dadra and Nagar Haveli,61015,675,29196,13523,42719,10946,6675
Daman and Diu,22139,133,10384,5924,16308,3789,1909
Delhi,2409441,99622,862590,670598,1533188,475096,301535
Goa,43547,844,24871,8180,33051,5714,3938
Gujarat,5295130,7194,3259701,1818599,5078300,154088,55548
Haryana,2131579,10365,916738,566549,1483287,385059,252868
Himachal Pradesh,851783,26415,297782,205396,503178,165560,156630
Jammu and Kashmir,1271045,74842,534448,304657,839105,192558,164540
Jharkhand,4810045,99520,2521273,1315184,3836457,555389,318679
Karnataka,4906231,10879,2384192,1519562,3903754,678747,312851
Kerala,1725686,141693,557969,373060,931029,293835,359129
Ladakh,27072,3901,9149,5346,14495,4394,4282
Lakshadweep,12606,1197,5124,2519,7643,1777,1989
Madhya Pradesh,9119353,9593,4091553,2586081,6677634,1553179,878947
Maharashtra,5646319,103697,4043544,1183220,5226764,240234,75624
Manipur,199958,9242,113172,37872,151044,21019,18653
Meghalaya,478070,97645,256015,104228,360243,10649,9533
Mizoram,127509,9016,61320,32264,93584,16843,8066
Nagaland,174882,40703,71204,36928,108132,16760,9287
Odisha,5514876,344387,2702076,1629830,4331906,741875,96708
Puducherry,83809,7025,26642,20456,47098,15003,14683
Punjab,2686786,307163,950110,642950,1593060,451759,334804
Rajasthan,8521720,4082,4043344,2100020,6143364,1440407,933867
Sikkim,89876,5995,24189,24375,48564,22245,13072
Tamil Nadu,4593422,69465,1704663,1282722,2987385,848157,688415
Telangana,2837635,4776,1162385,868308,2030693,567633,234533
Tripura,562047,2544,249190,158834,408024,104587,46892
Uttar Pradesh,16857549,8840,12132357,4161359,16293716,342569,212424
Uttarakhand,941454,203,382804,233539,616343,181859,143049
West Bengal,15857323,1004096,6652541,3770013,10422554,2668624,
