India/ State /UT,Enrolment – All Types of Management,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,7316838,6239054,13555892,63251749,58434954,121686703,33427571,31445816,64873387,96679320,89880770,186560090
Andaman and Nicobar Islands,4514,4242,8756,15136,14470,29606,9188,8981,18169,24324,23451,47775
Andhra Pradesh,99762,86408,186170,1989042,1785425,3774467,1104938,1027165,2132103,3093980,2812590,5906570
Arunachal Pradesh,14928,13327,28255,86279,84360,170639,42012,44247,86259,128291,128607,256898
Assam,262251,241951,504202,1859437,1817268,3676705,926070,989181,1915251,2785507,2806449,5591956
Bihar,389897,255001,644898,6670180,6405013,13075193,3284500,3414018,6698518,9954680,9819031,19773711
Chandigarh,14408,12254,26662,49780,43927,93707,35114,29960,65074,84894,73887,158781
Chhattisgarh,188516,165490,354006,1356104,1295380,2651484,749495,731886,1481381,2105599,2027266,4132865
Dadra and Nagar Haveli,2131,1698,3829,22678,20445,43123,10412,9225,19637,33090,29670,62760
Daman and Diu,1347,1139,2486,10419,9123,19542,5635,4977,10612,16054,14100,30154
Delhi,154020,139006,293026,963919,847804,1811723,606032,533528,1139560,1569951,1381332,2951283
Goa,13095,12172,25267,64225,60158,124383,37374,34621,71995,101599,94779,196378
Gujarat,187559,148048,335607,2924486,2604636,5529122,1641988,1443069,3085057,4566474,4047705,8614179
Haryana,199876,153828,353704,1419217,1167256,2586473,802673,656764,1459437,2221890,1824020,4045910
Himachal Pradesh,65964,57207,123171,301616,274912,576528,177323,160415,337738,478939,435327,914266
Jammu and Kashmir,177356,157395,334751,571708,523143,1094851,299522,273567,573089,871230,796710,1667940
Jharkhand,309664,243066,552730,2005296,1880865,3886161,984010,1002898,1986908,2989306,2883763,5873069
Karnataka,324243,269977,594220,2829541,2614736,5444277,1606943,1520854,3127797,4436484,4135590,8572074
Kerala,318867,302593,621460,1270374,1213182,2483556,759893,726751,1486644,2030267,1939933,3970200
Ladakh,5182,4956,10138,11575,11318,22893,5872,6108,11980,17447,17426,34873
Lakshadweep,604,593,1197,2682,2442,5124,1246,1273,2519,3928,3715,7643
Madhya Pradesh,500155,411394,911549,3964545,3650180,7614725,2245498,2050635,4296133,6210043,5700815,11910858
Maharashtra,469886,409846,879732,5217559,4627949,9845508,3104825,2743209,5848034,8322384,7371158,15693542
Manipur,38400,35851,74251,170929,162926,333855,78799,77045,155844,249728,239971,489699
Meghalaya,115141,111027,226168,268514,263753,532267,112391,125756,238147,380905,389509,770414
Mizoram,19429,18767,38196,69715,65797,135512,34773,33256,68029,104488,99053,203541
Nagaland,45043,42355,87398,95273,91051,186324,49405,49747,99152,144678,140798,285476
Odisha,175485,171436,346921,1848635,1730184,3578819,1081649,1004415,2086064,2930284,2734599,5664883
Puducherry,16622,15348,31970,52467,49090,101557,32299,30361,62660,84766,79451,164217
Punjab,459971,391870,851841,1278715,1085375,2364090,774341,653197,1427538,2053056,1738572,3791628
Rajasthan,651998,509701,1161699,4347312,3891312,8238624,2201120,1876304,4077424,6548432,5767616,12316048
Sikkim,10270,9612,19882,25740,22909,48649,16540,16260,32800,42280,39169,81449
Tamil Nadu,669077,590983,1260060,2697221,2515659,5212880,1614679,1523484,3138163,4311900,4039143,8351043
Telangana,147548,124617,272165,1619171,1490983,3110154,886305,837755,1724060,2505476,2328738,4834214
Tripura,18326,15480,33806,166776,161814,328590,96571,95246,191817,263347,257060,520407
Uttar Pradesh,267753,204743,472496,12273346,11437593,23710939,5650853,5327142,10977995,17924199,16764735,34688934
Uttarakhand,70098,57302,127400,564902,497529,1062431,311342,280447,591789,876244,777976,1654220
West Bengal,907452,848371,1755823,4167235,4014987,8182222,2045941,2102069,4148010,6213176,6117056,12330232
