India/ State /UT,Enrolment – Government,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),"Primary to Higher Secondary(1-12)","Total (Pre-Primary to HigherSecondary)",,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,8196448,8837395,17033843,4442690,4983841,9426531,62361708,65780888,128142596,63753073,67178561,130931634
Andaman and Nicobar Islands,5246,5085,10331,2682,3358,6040,23991,24278,48269,25761,26144,51905
Andhra Pradesh,376252,409548,785800,92403,111128,203531,1946066,2076596,4022662,1955902,2086633,4042535
Arunachal Pradesh,15476,17781,33257,8991,10441,19432,97060,111326,208386,99466,113955,213421
Assam,300046,367686,667732,120494,120168,240662,2299957,2488610,4788567,2420488,2611407,5031895
Bihar,1278567,1339043,2617610,539224,528394,1067618,9521152,10057421,19578573,9521501,10057762,19579263
Chandigarh,13534,12326,25860,12200,11592,23792,75623,69717,145340,79284,73277,152561
Chhattisgarh,338465,384434,722899,196720,247557,444277,1933615,2063029,3996644,1935510,2064637,4000147
Dadra and Nagar Haveli,5549,5397,10946,3217,3458,6675,30230,30110,60340,30554,30461,61015
Daman and Diu,1879,1910,3789,859,1050,1909,10762,11244,22006,10819,11320,22139
Delhi,231110,243986,475096,137353,164182,301535,1111793,1198026,2309819,1157505,1251936,2409441
Goa,3025,2689,5714,2079,1859,3938,22147,20556,42703,22582,20965,43547
Gujarat,78728,75360,154088,26694,28854,55548,2648003,2639933,5287936,2651381,2643749,5295130
Haryana,187717,197342,385059,120330,132538,252868,1021622,1099592,2121214,1026480,1105099,2131579
Himachal Pradesh,84135,81425,165560,77216,79414,156630,411243,414125,825368,424359,427424,851783
Jammu and Kashmir,98253,94305,192558,85642,78898,164540,592656,603547,1196203,629176,641869,1271045
Jharkhand,260846,294543,555389,151049,167630,318679,2252763,2457762,4710525,2301720,2508325,4810045
Karnataka,335596,343151,678747,128545,184306,312851,2334054,2561298,4895352,2339512,2566719,4906231
Kerala,152503,141332,293835,174846,184283,359129,800924,783069,1583993,872394,853292,1725686
Ladakh,1925,2469,4394,1873,2409,4282,10182,12989,23171,12104,14968,27072
Lakshadweep,834,943,1777,943,1046,1989,5705,5704,11409,6309,6297,12606
Madhya Pradesh,787543,765636,1553179,426001,452946,878947,4465070,4644690,9109760,4469905,4649448,9119353
Maharashtra,121798,118436,240234,38508,37116,75624,2763008,2779614,5542622,2815237,2831082,5646319
Manipur,10105,10914,21019,9151,9502,18653,93691,97025,190716,98336,101622,199958
Meghalaya,4973,5676,10649,4661,4872,9533,189113,191312,380425,239057,239013,478070
Mizoram,8238,8605,16843,3771,4295,8066,60796,57697,118493,65441,62068,127509
Nagaland,7571,9189,16760,4528,4759,9287,63256,70923,134179,83794,91088,174882
Odisha,371714,370161,741875,45754,50954,96708,2588035,2582454,5170489,2762261,2752615,5514876
Puducherry,7091,7912,15003,6377,8306,14683,36677,40107,76784,40097,43712,83809
Punjab,231458,220301,451759,169122,165682,334804,1213495,1166128,2379623,1369633,1317153,2686786
Rajasthan,698328,742079,1440407,467151,466716,933867,4093730,4423908,8517638,4095771,4425949,8521720
Sikkim,10470,11775,22245,5908,7164,13072,41212,42669,83881,44266,45610,89876
Tamil Nadu,410556,437601,848157,297904,390511,688415,2180667,2343290,4523957,2214892,2378530,4593422
Telangana,269088,298545,567633,95302,139231,234533,1342414,1490445,2832859,1344808,1492827,2837635
Tripura,50552,54035,104587,23203,23689,46892,274437,285066,559503,275820,286227,562047
Uttar Pradesh,150168,192401,342569,87779,124645,212424,8171730,8676979,16848709,8176106,8681443,16857549
Uttarakhand,85743,96116,181859,63558,79491,143049,445007,496244,941251,445114,496340,941454
West Bengal,1201366,1467258,2668624,810652,951397,1762049,7189822,7663405,14853227,7689728,8167595,15857323
