India/ State /UT,Enrolment – Government Aided,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),"Primary to Higher Secondary(1-12)","Total (Pre-Primary to HigherSecondary)",,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,4113365,3665516,7778881,3026825,2841708,5868533,13951013,13063225,27014238,14194791,13303739,27498530
Andaman and Nicobar Islands,223,191,414,169,212,381,912,901,1813,941,930,1871
Andhra Pradesh,17743,22146,39889,24516,28613,53129,117272,132607,249879,117830,133173,251003
Arunachal Pradesh,1327,1436,2763,386,319,705,9506,9333,18839,9975,9775,19750
Assam,44615,55783,100398,27696,27777,55473,215685,245541,461226,215952,245834,461786
Bihar,25993,29324,55317,9087,13572,22659,86532,100995,187527,87041,101218,188259
Chandigarh,746,567,1313,2035,1023,3058,4634,3442,8076,4928,3762,8690
Chhattisgarh,8921,8564,17485,6685,7557,14242,41915,41343,83258,42184,41751,83935
Dadra and Nagar Haveli,258,170,428,0,0,0,1115,812,1927,1115,812,1927
Daman and Diu,617,473,1090,709,814,1523,2649,2343,4992,2649,2343,4992
Delhi,18731,15265,33996,14554,11742,26296,80452,73869,154321,81010,74433,155443
Goa,21417,19331,40748,15454,16576,32030,104451,100450,204901,112304,108049,220353
Gujarat,603806,492105,1095911,280798,276737,557535,969362,839603,1808965,970922,841064,1811986
Haryana,1464,1491,2955,1166,1539,2705,6223,6465,12688,6629,6821,13450
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,14,11,25,0,0,0,84,83,167,107,114,221
Jharkhand,22194,27753,49947,8343,9373,17716,150256,172636,322892,157842,180278,338120
Karnataka,258488,239054,497542,114124,113841,227965,793374,745521,1538895,797169,749157,1546326
Kerala,260097,247289,507386,192630,206588,399218,1280839,1274160,2554999,1374588,1366005,2740593
Ladakh,6,29,35,0,0,0,567,259,826,567,259,826
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,21979,15724,37703,20242,15429,35671,76939,66162,143101,78190,67095,145285
Maharashtra,1390115,1253047,2643162,1078564,994302,2072866,5463426,4952761,10416187,5550453,5038307,10588760
Manipur,1951,2057,4008,662,932,1594,14130,14834,28964,14655,15300,29955
Meghalaya,30576,36738,67314,12427,16432,28859,157554,174132,331686,187472,203226,390698
Mizoram,4537,5116,9653,2311,2627,4938,10315,11475,21790,10315,11475,21790
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,193175,187881,381056,178484,180274,358758,461079,449614,910693,461388,449960,911348
Puducherry,1985,3390,5375,701,1928,2629,9413,16579,25992,10304,17937,28241
Punjab,28186,21790,49976,33994,21513,55507,121019,96111,217130,122507,97717,220224
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,273,459,732,212,530,742,1307,2259,3566,1387,2436,3823
Tamil Nadu,230161,243494,473655,176964,236779,413743,1054099,1168038,2222137,1055641,1169667,2225308
Telangana,6024,11634,17658,2989,4687,7676,39109,61987,101096,40192,63710,103902
Tripura,3724,2415,6139,3943,2882,6825,15800,11784,27584,15851,11843,27694
Uttar Pradesh,881006,693165,1574171,785850,618870,1404720,2555429,2188556,4743985,2555904,2188970,4744874
Uttarakhand,29165,24449,53614,25686,24206,49892,84117,79495,163612,84449,79775,164224
West Bengal,3848,3175,7023,5444,4034,9478,21449,19075,40524,22330,20543,42873
