India/ State /UT,Adjusted Net Enrolment Rate (ANER),,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,96.3,98.4,97.3,80.9,82.4,81.6,93.6,95.3,94.4,59.7,60.3,60.0
"Andaman andNicobar Islands",73.4,77.8,75.5,65.3,69.0,67.1,73.5,77.3,75.3,50.4,61.0,55.4
Andhra Pradesh,96.7,95.2,95.9,84.9,85.2,85.0,95.6,93.4,94.5,67.1,70.5,68.7
Arunachal Pradesh,98.0,100,99.1,62.6,67.4,65.0,91.2,94.2,92.7,41.4,47.7,44.5
Assam,100,100,100,79.2,87.3,83.2,100,100,100,50.8,60.2,55.4
Bihar,89.4,92.8,91.0,79.4,86.5,82.9,87.2,92.0,89.5,44.0,46.4,45.1
Chandigarh,77.6,87.2,81.9,84.4,95.3,89.1,83.9,93.6,88.2,69.3,81.0,74.3
Chhattisgarh,92.1,92.4,92.2,77.1,78.3,77.7,89.7,90.1,89.9,57.7,63.1,60.3
"Dadra and NagarHaveli",85.4,90.6,87.8,70.5,74.0,72.1,88.5,92.4,90.3,64.8,72.7,68.3
Daman and Diu,77.3,82.7,79.8,69.8,78.2,73.7,82.0,87.2,84.4,47.2,63.2,53.9
Delhi,100,100,100,100,100,100,100,100,100,85.5,90.0,87.6
Goa,92.0,96.3,94.1,81.7,83.4,82.5,91.2,94.4,92.7,69.8,73.1,71.3
Gujarat,88.8,92.0,90.3,79.3,78.9,79.1,87.8,89.7,88.7,66.0,58.3,62.4
Haryana,95.8,96.5,96.1,87.7,88.1,87.9,97.3,97.2,97.3,71.1,70.5,70.8
Himachal Pradesh,100,100,100,92.3,94.4,93.5,100.0,100,100.0,83.2,86.0,84.5
"Jammu andKashmir",84.0,86.4,85.2,56.7,60.0,58.2,74.2,77.2,75.6,40.5,41.3,40.9
Jharkhand,96.0,96.5,96.2,75.3,78.6,77.0,91.5,92.9,92.2,46.6,48.1,47.3
Karnataka,100,100,100,96.3,96.3,96.3,100.0,100,100,78.6,79.3,79.0
Kerala,96.1,95.9,95.9,90.6,90.6,90.5,96.8,96.5,96.6,83.2,84.4,83.8
Ladakh,69.5,76.7,73.0,51.0,60.2,55.3,66.2,74.7,70.2,33.2,40.9,36.9
Lakshadweep,76.7,76.2,76.4,59.3,55.6,57.3,72.5,69.0,70.8,53.9,61.6,57.7
Madhya Pradesh,85.4,85.2,85.3,76.9,75.2,76.1,86.6,85.6,86.1,54.3,51.1,52.8
Maharashtra,100,100,100,85.0,85.1,85.1,99.2,99.9,99.5,66.9,67.2,67.0
Manipur,100,100,100,78.0,81.2,79.6,100,100,100,60.1,63.2,61.6
Meghalaya,100,100,100,64.7,74.9,69.7,100,100,100,39.8,50.0,44.8
Mizoram,100,100,100,71.7,74.1,72.9,100,100,100,52.2,59.9,55.9
Nagaland,78.8,81.9,80.3,51.3,56.0,53.6,74.3,78.2,76.2,36.9,41.8,39.3
Odisha,89.9,89.4,89.7,86.1,84.3,85.2,92.1,90.8,91.4,42.5,42.6,42.5
Puducherry,84.2,85.6,84.9,79.4,81.0,80.2,82.9,84.3,83.6,66.0,75.8,70.6
Punjab,100,100,100,97.5,100,99.1,100,100,100,87.8,93.4,90.3
Rajasthan,91.8,92.8,92.3,77.3,72.0,74.8,92.3,90.7,91.6,63.1,56.0,59.7
Sikkim,85.0,82.0,83.5,57.6,62.3,59.9,81.4,80.2,80.8,44.3,52.8,48.5
Tamil Nadu,98.9,100,99.6,94.6,95.5,95.1,97.6,98.6,98.1,81.4,87.8,84.6
Telangana,100,100,100,86.0,89.9,87.9,100,100,100,57.0,57.4,57.2
Tripura,100,100,100,85.7,89.2,87.4,100,100,100,72.6,77.6,75.0
Uttar Pradesh,96.1,100,98.4,73.1,74.2,73.6,90.3,93.8,91.9,52.2,48.2,50.3
Uttarakhand,100,100,100,85.0,86.1,85.5,100,100,100,69.6,71.2,70.3
West Bengal,100,100,100,77.0,81.7,79.3,99.4,100,100,62.2,75.8,
