India/ State /UT,% of Schools with CWSN friendly toilet,% of Schools with functional CWSN friendly toilet,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,21.65,20.89,20.86,25.34,14.34,20.66,19.79,20.2,24.52,13.81
"Andaman andNicobar Islands",21.05,21.93,0,17.81,0,20.57,21.35,0,17.81,0
Andhra Pradesh,5.86,3.95,3.36,11.53,6.62,5.22,3.22,3.27,11.06,6.62
Arunachal Pradesh,7.67,6.41,15.38,13.79,13.46,6.63,5.17,15.38,13.79,13.46
Assam,15.4,18.83,4.6,14.32,2.22,14.82,18.22,4.06,13.52,1.97
Bihar,13.02,11.38,14.29,21.73,18.61,12.68,11.07,13.87,21.21,18.22
Chandigarh,64.63,73.55,57.14,68.92,14.81,64.19,73.55,57.14,67.57,14.81
Chhattisgarh,51.93,54.13,31.09,39.16,26.5,43.99,45.06,29.7,38.33,25.55
"Dadra and NagarHaveli",89.6,99.67,100,16.67,0,89.6,99.67,100,16.67,0
Daman and Diu,57.66,65.14,0,30.43,100,56.93,64.22,0,30.43,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,3.78,1.93,5.61,7.97,0,3.51,1.57,5.42,7.97,0
Gujarat,26.46,35.16,11.09,10.82,0,26.37,35.04,11.04,10.79,0
Haryana,37.7,52.73,17.65,14.39,11.47,36.66,51.33,17.65,13.86,11.37
Himachal Pradesh,23.12,21.38,0,32.77,0,22.33,20.57,0,32.05,0
"Jammu andKashmir",3.56,1.52,100,11.87,9.82,3.39,1.36,100,11.66,9.82
Jharkhand,2.86,2.04,2.98,12.16,5.04,2.68,1.9,2.81,11.96,4.62
Karnataka,14.99,11.25,14,24.64,10.53,13.65,9.89,12.84,23.28,5.26
Kerala,15.76,29.48,9.75,10.51,8.76,14.43,26.23,9.13,10.21,8.33
Ladakh,1.42,0.99,0,5.36,0,1.33,0.88,0,5.36,0
Lakshadweep,22.22,22.22,0,0,0,22.22,22.22,0,0,0
Madhya Pradesh,5.46,3.14,6.46,12.95,3.24,5.19,2.96,6.08,12.42,3.09
Maharashtra,40.45,38.74,38.09,48.9,43.43,37.63,34.79,36.96,47.77,42.65
Manipur,7.18,3.55,2.22,19.11,13.9,6.78,3.09,1.88,18.92,12.83
Meghalaya,2.04,2,1.96,2.59,1.08,1.88,1.81,1.87,2.37,1.08
Mizoram,17.86,25.39,7.36,2.68,8.42,14.37,20.26,6.49,2.49,6.32
Nagaland,4.21,4.48,0,3.49,0,3.84,4.03,0,3.35,0
Odisha,57.69,60.77,37.03,54.07,44.44,56.75,59.75,36.41,53.57,43.27
Puducherry,37.92,45.02,21.21,29.37,0,36.84,43.13,21.21,29.37,0
Punjab,94.54,99.69,72.21,84.25,92.14,94.52,99.65,72.21,84.25,92.14
Rajasthan,18.04,8.59,0,36.1,13.23,16.45,7.75,0,33.15,11.17
Sikkim,9.71,12.46,5.26,4.18,0,8.93,11.4,5.26,3.93,0
Tamil Nadu,27.27,32.36,10.07,23.8,19.57,27.27,32.36,10.07,23.8,19.57
Telangana,2.67,2.37,1.71,3.47,3.8,2.44,2.07,1.71,3.41,2.72
Tripura,6.52,6.62,17.78,7.67,1.49,5.73,5.75,15.56,7.39,1.49
Uttar Pradesh,13.87,7.28,21.6,22.38,16.98,13.38,6.97,20.8,21.69,16.31
Uttarakhand,4.52,3.68,4.21,7.21,3.62,4.2,3.39,3.89,6.82,2.98
West Bengal,29.41,29.11,25.81,31.54,31.03,29.41,29.11,25.81,31.53,31.03
