India/ State /UT,Total Schools,Schools with CWSN friendly toilet,"Schools with functional CWSN friendlytoilet",,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1507708,1032570,84362,337499,53277,326435,215681,17598,85514,7642,311545,204392,17042,82752,7359
"Andaman andNicobar Islands",418,342,2,73,1,88,75,0,13,0,86,73,0,13,0
Andhra Pradesh,63824,45115,2234,16173,302,3743,1783,75,1865,20,3334,1452,73,1789,20
Arunachal Pradesh,3666,3056,65,493,52,281,196,10,68,7,243,158,10,68,7
Assam,65907,47157,5024,6074,7652,10152,8881,231,870,170,9769,8593,204,821,151
Bihar,90275,72610,721,7630,9314,11758,8264,103,1658,1733,11451,8036,100,1618,1697
Chandigarh,229,121,7,74,27,148,89,4,51,4,147,89,4,50,4
Chhattisgarh,56303,48547,431,7008,317,29239,26277,134,2744,84,24769,21874,128,2686,81
"Dadra and NagarHaveli",346,300,4,42,0,310,299,4,7,0,310,299,4,7,0
Daman and Diu,137,109,4,23,1,79,71,0,7,1,78,70,0,7,1
Delhi,5669,2767,250,2652,0,5669,2767,250,2652,0,5669,2767,250,2652,0
Goa,1482,827,517,138,0,56,16,29,11,0,52,13,28,11,0
Gujarat,54629,35040,5688,13898,3,14456,12321,631,1504,0,14406,12279,628,1499,0
Haryana,23699,14484,17,8195,1003,8934,7637,3,1179,115,8688,7435,3,1136,114
Himachal Pradesh,18185,15398,0,2786,1,4205,3292,0,913,0,4060,3167,0,893,0
"Jammu andKashmir",28863,23165,1,5585,112,1028,353,1,663,11,978,315,1,651,11
Jharkhand,45596,35931,1173,1522,6970,1303,732,35,185,351,1221,684,33,182,322
Karnataka,77166,49834,7244,20069,19,11565,5605,1014,4944,2,10532,4928,930,4673,1
Kerala,16665,5014,7193,3282,1176,2627,1478,701,345,103,2405,1315,657,335,98
Ladakh,1054,913,29,112,0,15,9,0,6,0,14,8,0,6,0
Lakshadweep,45,45,0,0,0,10,10,0,0,0,10,10,0,0,0
Madhya Pradesh,133379,99411,790,31201,1977,7278,3122,51,4041,64,6924,2941,48,3874,61
Maharashtra,110229,65886,23791,19654,898,44591,25527,9063,9611,390,41484,22920,8793,9388,383
Manipur,4663,2876,585,1015,187,335,102,13,194,26,316,89,11,192,24
Meghalaya,14730,7799,4180,2198,553,301,156,82,57,6,277,141,78,52,6
Mizoram,3924,2552,231,1046,95,701,648,17,28,8,564,517,15,26,6
Nagaland,2758,2011,0,746,1,116,90,0,26,0,106,81,0,25,0
Odisha,67020,53260,5839,6375,1546,38662,32366,2162,3447,687,38033,31823,2126,3415,669
Puducherry,741,422,33,286,0,281,190,7,84,0,273,182,7,84,0
Punjab,28775,19377,457,8623,318,27205,19317,330,7265,293,27197,19309,330,7265,293
Rajasthan,106240,67660,0,36056,2524,19163,5814,0,13015,334,17478,5245,0,11951,282
Sikkim,1277,851,19,407,0,124,106,1,17,0,114,97,1,16,0
Tamil Nadu,58897,37579,8328,12382,608,16064,12159,839,2947,119,16064,12159,839,2947,119
Telangana,42575,30001,702,11688,184,1135,710,12,406,7,1037,622,12,398,5
Tripura,4940,4275,45,352,268,322,283,8,27,4,283,246,7,26,4
Uttar Pradesh,254352,137638,8048,93750,14916,35275,10022,1738,20982,2533,34032,9589,1674,20336,2433
Uttarakhand,23295,16741,617,5467,470,1053,616,26,394,17,979,568,24,373,14
West Bengal,95755,83456,93,10424,1782,28163,24298,24,3288,553,28162,24298,24,3287,553
