India/ State /UT,"TotalSchools",Number of schools having drinking water facility within school premises –others,"No. of otherschools nothaving drinkingwater facilitywithin schoolpremises","% of otherschools havingdrinkingwater facilitywithin schoolpremises",,,,,,
"",,"Any sourceof drinkingwater","TapWater","PackedWater","HandPump",Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,53277,49188,19840,833,24794,1412,203,2106,4089,92.33
Andaman and Nicobar Islands,1,1,1,0,0,0,0,0,0,100
Andhra Pradesh,302,285,285,0,0,0,0,0,17,94.37
Arunachal Pradesh,52,51,32,0,9,4,3,3,1,98.08
Assam,7652,4715,185,46,3527,300,125,532,2937,61.62
Bihar,9314,9262,3789,116,5335,3,0,19,52,99.44
Chandigarh,27,27,27,0,0,0,0,0,0,100
Chhattisgarh,317,316,123,0,185,3,0,5,1,99.68
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0
Daman and Diu,1,1,1,0,0,0,0,0,0,100
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,3,3,2,0,1,0,0,0,0,100
Haryana,1003,1003,843,13,40,25,0,82,0,100
Himachal Pradesh,1,1,1,0,0,0,0,0,0,100
Jammu and Kashmir,112,110,97,0,4,2,1,6,2,98.21
Jharkhand,6970,6849,2329,144,3864,232,11,269,121,98.26
Karnataka,19,19,18,0,0,1,0,0,0,100
Kerala,1176,1173,500,33,32,568,7,33,3,99.74
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1977,1788,1156,23,310,25,10,264,189,90.44
Maharashtra,898,894,760,51,37,19,0,27,4,99.55
Manipur,187,178,55,23,10,13,2,75,9,95.19
Meghalaya,553,250,182,10,10,19,4,25,303,45.21
Mizoram,95,92,80,4,0,0,1,7,3,96.84
Nagaland,1,1,1,0,0,0,0,0,0,100
Odisha,1546,1545,854,147,508,17,1,18,1,99.94
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,318,318,263,0,8,1,0,46,0,100
Rajasthan,2524,2416,1666,20,263,108,20,339,108,95.72
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,608,608,576,13,5,1,0,13,0,100
Telangana,184,184,138,15,17,0,0,14,0,100
Tripura,268,223,105,0,80,12,0,26,45,83.21
Uttar Pradesh,14916,14687,4782,51,9633,20,0,201,229,98.46
Uttarakhand,470,467,245,1,196,4,0,21,3,99.36
West Bengal,1782,1721,744,123,720,35,18,81,61,96.58
