India/ State /UT,Total Schools,Schools with drinking water facility,"Schools with functional drinkingwater facility",,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1507708,1032570,84362,337499,53277,1464728,1002603,81179,331758,49188,1413789,969380,79541,317763,47105
"Andaman andNicobar Islands",418,342,2,73,1,418,342,2,73,1,418,342,2,73,1
Andhra Pradesh,63824,45115,2234,16173,302,57189,38687,2176,16041,285,56886,38465,2159,15978,284
"ArunachalPradesh",3666,3056,65,493,52,2821,2235,64,471,51,2342,1801,55,436,50
Assam,65907,47157,5024,6074,7652,59404,44667,4298,5724,4715,57373,43418,4072,5564,4319
Bihar,90275,72610,721,7630,9314,90083,72497,719,7605,9262,89656,72217,716,7560,9163
Chandigarh,229,121,7,74,27,229,121,7,74,27,229,121,7,74,27
Chhattisgarh,56303,48547,431,7008,317,55397,47657,429,6995,316,44296,38239,367,5448,242
"Dadra and NagarHaveli",346,300,4,42,0,346,300,4,42,0,346,300,4,42,0
Daman and Diu,137,109,4,23,1,137,109,4,23,1,137,109,4,23,1
Delhi,5669,2767,250,2652,0,5669,2767,250,2652,0,5669,2767,250,2652,0
Goa,1482,827,517,138,0,1482,827,517,138,0,1482,827,517,138,0
Gujarat,54629,35040,5688,13898,3,54621,35033,5688,13897,3,54621,35033,5688,13897,3
Haryana,23699,14484,17,8195,1003,23657,14442,17,8195,1003,23571,14412,17,8147,995
Himachal Pradesh,18185,15398,0,2786,1,18169,15383,0,2785,1,18141,15370,0,2770,1
"Jammu andKashmir",28863,23165,1,5585,112,27844,22180,1,5553,110,27332,21754,1,5467,110
Jharkhand,45596,35931,1173,1522,6970,44841,35329,1148,1515,6849,43771,34475,1112,1494,6690
Karnataka,77166,49834,7244,20069,19,77036,49711,7241,20065,19,73107,47151,6950,18990,16
Kerala,16665,5014,7193,3282,1176,16602,4961,7188,3280,1173,16499,4927,7156,3251,1165
Ladakh,1054,913,29,112,0,740,617,24,99,0,667,548,22,97,0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0
Madhya Pradesh,133379,99411,790,31201,1977,129916,97814,746,29568,1788,122557,94283,677,26199,1398
Maharashtra,110229,65886,23791,19654,898,109438,65167,23762,19615,894,107354,63641,23550,19283,880
Manipur,4663,2876,585,1015,187,4346,2639,533,996,178,4141,2490,513,964,174
Meghalaya,14730,7799,4180,2198,553,6207,3005,2075,877,250,5531,2601,1885,814,231
Mizoram,3924,2552,231,1046,95,3574,2254,229,999,92,3501,2211,227,977,86
Nagaland,2758,2011,0,746,1,1836,1261,0,574,1,1702,1153,0,548,1
Odisha,67020,53260,5839,6375,1546,67017,53258,5839,6375,1545,65000,51573,5669,6258,1500
Puducherry,741,422,33,286,0,741,422,33,286,0,741,422,33,286,0
Punjab,28775,19377,457,8623,318,28775,19377,457,8623,318,28775,19377,457,8623,318
Rajasthan,106240,67660,0,36056,2524,103470,65168,0,35886,2416,96917,61677,0,33075,2165
Sikkim,1277,851,19,407,0,1276,850,19,407,0,1276,850,19,407,0
Tamil Nadu,58897,37579,8328,12382,608,58897,37579,8328,12382,608,58897,37579,8328,12382,608
Telangana,42575,30001,702,11688,184,40708,28136,700,11688,184,39360,26935,686,11559,180
Tripura,4940,4275,45,352,268,3977,3383,41,330,223,3598,3051,40,308,199
Uttar Pradesh,254352,137638,8048,93750,14916,250690,135609,7952,92442,14687,241642,131181,7683,88648,14130
Uttarakhand,23295,16741,617,5467,470,22107,15675,597,5368,467,21186,14939,584,5216,447
West Bengal,95755,83456,93,10424,1782,95023,83096,91,10115,1721,95023,83096,91,10115,1721
