India/ State /UT,Total Schools,"Schools conducted medical checkups inlast academic year","% of Schools conducted medicalcheckups in last academic year",,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1507708,1032570,84362,337499,53277,1240634,920050,72801,222973,24810,82.29,89.1,86.3,66.07,46.57
"Andaman andNicobar Islands",418,342,2,73,1,413,340,2,70,1,98.8,99.42,100,95.89,100
Andhra Pradesh,63824,45115,2234,16173,302,55640,42238,2008,11285,109,87.18,93.62,89.88,69.78,36.09
Arunachal Pradesh,3666,3056,65,493,52,2235,1792,55,347,41,60.97,58.64,84.62,70.39,78.85
Assam,65907,47157,5024,6074,7652,50246,41163,3157,3259,2667,76.24,87.29,62.84,53.65,34.85
Bihar,90275,72610,721,7630,9314,62502,53067,340,4521,4574,69.24,73.08,47.16,59.25,49.11
Chandigarh,229,121,7,74,27,220,121,7,74,18,96.07,100,100,100,66.67
Chhattisgarh,56303,48547,431,7008,317,54107,47582,401,5841,283,96.1,98.01,93.04,83.35,89.27
"Dadra and NagarHaveli",346,300,4,42,0,345,300,4,41,0,99.71,100,100,97.62,0
Daman and Diu,137,109,4,23,1,137,109,4,23,1,100,100,100,100,100
Delhi,5669,2767,250,2652,0,4578,2388,153,2037,0,80.75,86.3,61.2,76.81,0
Goa,1482,827,517,138,0,1457,821,505,131,0,98.31,99.27,97.68,94.93,0
Gujarat,54629,35040,5688,13898,3,52703,34657,5542,12501,3,96.47,98.91,97.43,89.95,100
Haryana,23699,14484,17,8195,1003,21595,14197,13,6625,760,91.12,98.02,76.47,80.84,75.77
Himachal Pradesh,18185,15398,0,2786,1,17021,14729,0,2291,1,93.6,95.66,0,82.23,100
"Jammu andKashmir",28863,23165,1,5585,112,22239,17686,1,4481,71,77.05,76.35,100,80.23,63.39
Jharkhand,45596,35931,1173,1522,6970,31915,26800,858,982,3275,70,74.59,73.15,64.52,46.99
Karnataka,77166,49834,7244,20069,19,71749,49522,7211,15006,10,92.98,99.37,99.54,74.77,52.63
Kerala,16665,5014,7193,3282,1176,13849,4351,6264,2502,732,83.1,86.78,87.08,76.23,62.24
Ladakh,1054,913,29,112,0,706,590,22,94,0,66.98,64.62,75.86,83.93,0
Lakshadweep,45,45,0,0,0,42,42,0,0,0,93.33,93.33,0,0,0
Madhya Pradesh,133379,99411,790,31201,1977,109237,86984,634,20818,801,81.9,87.5,80.25,66.72,40.52
Maharashtra,110229,65886,23791,19654,898,103608,65085,21920,16024,579,93.99,98.78,92.14,81.53,64.48
Manipur,4663,2876,585,1015,187,3803,2379,479,820,125,81.56,82.72,81.88,80.79,66.84
Meghalaya,14730,7799,4180,2198,553,10229,5861,2926,1126,316,69.44,75.15,70,51.23,57.14
Mizoram,3924,2552,231,1046,95,3326,2323,214,722,67,84.76,91.03,92.64,69.02,70.53
Nagaland,2758,2011,0,746,1,1806,1350,0,455,1,65.48,67.13,0,60.99,100
Odisha,67020,53260,5839,6375,1546,61379,50397,5089,4837,1056,91.58,94.62,87.16,75.87,68.31
Puducherry,741,422,33,286,0,738,421,33,284,0,99.6,99.76,100,99.3,0
Punjab,28775,19377,457,8623,318,25111,19361,457,5132,161,87.27,99.92,100,59.52,50.63
Rajasthan,106240,67660,0,36056,2524,89341,60622,0,26798,1921,84.09,89.6,0,74.32,76.11
Sikkim,1277,851,19,407,0,1199,817,17,365,0,93.89,96,89.47,89.68,0
Tamil Nadu,58897,37579,8328,12382,608,56131,36579,8027,11025,500,95.3,97.34,96.39,89.04,82.24
Telangana,42575,30001,702,11688,184,36650,27502,565,8507,76,86.08,91.67,80.48,72.78,41.3
Tripura,4940,4275,45,352,268,4051,3564,41,266,180,82,83.37,91.11,75.57,67.16
Uttar Pradesh,254352,137638,8048,93750,14916,179149,121009,5262,47061,5817,70.43,87.92,65.38,50.2,39
Uttarakhand,23295,16741,617,5467,470,20853,16293,551,3668,341,89.52,97.32,89.3,67.09,72.55
West Bengal,95755,83456,93,10424,1782,70324,67008,39,2954,323,73.44,80.29,41.94,28.34,18.13
