India/ State /UT,"Number of Secondary andHigher Secondary Schools","Number of Secondary and Higher Secondaryschools having vocational courses underNSQF at secondary/ higher secondary level","Total enrolment under NSQF atsecondary/ higher secondary level",,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),8),(9),(10),(11),(12),(13),(14),(15),(16)
India,285223,112674,43564,123994,4991,11038,10992,46,0,0,1210649,1208485,2164,0,0
"Andaman and NicobarIslands",120,99,2,19,0,37,37,0,0,0,5770,5770,0,0,0
Andhra Pradesh,15154,7141,599,7392,22,437,437,0,0,0,62094,62094,0,0,0
Arunachal Pradesh,466,322,34,110,0,99,99,0,0,0,13939,13939,0,0,0
Assam,9817,4735,1142,3205,735,338,338,0,0,0,24166,24166,0,0,0
Bihar,9152,6294,308,1978,572,0,0,0,0,0,0,0,0,0,0
Chandigarh,168,100,7,57,4,22,22,0,0,0,3056,3056,0,0,0
Chhattisgarh,7195,4803,109,2282,1,546,546,0,0,0,79598,79598,0,0,0
Dadra and Nagar Haveli,47,29,4,14,0,4,4,0,0,0,340,340,0,0,0
Daman and Diu,48,28,4,15,1,5,5,0,0,0,225,225,0,0,0
Delhi,2142,1094,181,867,0,300,300,0,0,0,84941,84941,0,0,0
Goa,521,93,398,30,0,118,83,35,0,0,6191,4622,1569,0,0
Gujarat,12445,1783,5156,5503,3,122,117,5,0,0,5183,4991,192,0,0
Haryana,8383,3399,16,4935,33,1065,1065,0,0,0,125995,125995,0,0,0
Himachal Pradesh,4243,2852,0,1391,0,873,873,0,0,0,77928,77928,0,0,0
Jammu and Kashmir,4382,2582,1,1785,14,637,637,0,0,0,43033,43033,0,0,0
Jharkhand,4946,2895,183,1323,545,388,388,0,0,0,19088,19088,0,0,0
Karnataka,21075,6504,4400,10163,8,150,150,0,0,0,3633,3633,0,0,0
Kerala,4904,1296,1438,2065,105,101,101,0,0,0,8924,8924,0,0,0
Ladakh,155,123,1,31,0,17,17,0,0,0,1201,1201,0,0,0
Lakshadweep,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,17548,9417,277,7851,3,1199,1199,0,0,0,125678,125678,0,0,0
Maharashtra,28093,1927,16411,9613,142,583,583,0,0,0,51291,51291,0,0,0
Manipur,1186,455,90,639,2,62,62,0,0,0,6714,6714,0,0,0
Meghalaya,1810,124,734,750,202,22,22,0,0,0,1579,1579,0,0,0
Mizoram,894,325,157,363,49,29,29,0,0,0,3066,3066,0,0,0
Nagaland,771,315,0,456,0,26,26,0,0,0,1756,1756,0,0,0
Odisha,11961,5937,3955,1948,121,572,567,5,0,0,54842,54475,367,0,0
Puducherry,384,140,30,214,0,9,9,0,0,0,722,722,0,0,0
Punjab,9675,3784,366,5409,116,955,955,0,0,0,114288,114288,0,0,0
Rajasthan,31034,15137,0,15856,41,905,905,0,0,0,126825,126825,0,0,0
Sikkim,267,218,11,38,0,194,194,0,0,0,19463,19463,0,0,0
Tamil Nadu,13884,6245,1799,5810,30,120,120,0,0,0,37104,37104,0,0,0
Telangana,14352,6885,288,7175,4,194,194,0,0,0,38020,38020,0,0,0
Tripura,1137,991,34,105,7,80,79,1,0,0,853,817,36,0,0
Uttar Pradesh,32409,2612,4990,22690,2117,161,161,0,0,0,4788,4788,0,0,0
Uttarakhand,3836,2405,400,990,41,0,0,0,0,0,0,0,0,0,0
West Bengal,10604,9570,39,922,73,668,668,0,0,0,58355,58355,0,0,
