India/ State /UT,Projected population by age group – Scheduled Castes (SC),,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,17336829,16038784,33375614,4417132,4038974,8456106,4461794,4001256,8463050
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,572087,557801,1129887,153829,151701,305530,154804,149350,304154
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,180619,173114,353733,50197,49952,100149,52364,51015,103379
Bihar,1979885,1846321,3826207,438351,375597,813947,408195,338436,746631
Chandigarh,21156,17735,38891,5650,4713,10363,6109,4928,11036
Chhattisgarh,299942,290503,590444,75243,72361,147604,77120,73440,150560
Dadra and Nagar Haveli,555,502,1058,154,121,275,144,154,297
Daman and Diu,514,491,1004,162,123,284,193,127,320
Delhi,232849,205446,438295,64288,58381,122669,68391,62046,130437
Goa,1952,1864,3816,552,482,1033,535,528,1063
Gujarat,332808,292737,625546,89536,79642,169178,94067,84047,178114
Haryana,470458,409502,879960,120458,105045,225503,123710,105220,228930
Himachal Pradesh,123349,115464,238813,32608,30479,63087,33472,30533,64005
Jammu and Kashmir,77804,66517,144321,23036,19696,42732,24284,20295,44579
Jharkhand,418466,399226,817692,102204,94245,196448,98683,87928,186610
Karnataka,804286,765759,1570045,210664,196484,407148,211707,193191,404899
Kerala,177150,169964,347113,47592,45275,92868,45628,44097,89725
Ladakh,16,9,25,3,2,5,3,3,5
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,1100749,1018331,2119080,275428,248181,523609,280746,242674,523419
Maharashtra,971122,893701,1864823,262436,238567,501002,272482,241093,513575
Manipur,7956,7485,15441,2182,2055,4236,1919,1822,3741
Meghalaya,1423,1311,2734,383,337,720,424,380,804
Mizoram,82,68,150,11,19,30,19,16,35
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,550140,525159,1075299,145235,142910,288145,146272,143479,289750
Puducherry,18008,16911,34920,4674,4408,9083,4400,4275,8675
Punjab,674248,607186,1281434,184663,164006,348669,190219,162518,352738
Rajasthan,1242605,1114217,2356821,307445,273992,581437,308416,267556,575972
Sikkim,2271,2128,4399,653,553,1206,691,684,1375
Tamil Nadu,969670,921400,1891070,253524,245129,498653,255564,247282,502846
Telangana,369508,354411,723919,105383,102439,207822,108829,104133,212962
Tripura,42627,40219,82846,12378,11865,24243,14327,12978,27305
Uttar Pradesh,4183890,3764809,7948699,1037737,920322,1958059,1060210,921799,1982010
Uttarakhand,171248,153940,325189,44944,40814,85757,45676,40481,86157
West Bengal,1337385,1304554,2641939,365531,359077,724608,372193,364748,736941
