"","Table 1.1: Number of schools by level of school education, 2020-21",
"India/ State/UT",Total,Primary,"Upper Primary",Secondary,"Higher Secondary"
(1),(2),(3),(4),(5),(6)
India,1509136,774742,442928,151946,139520
Andaman and Nicobar Islands,417,221,75,53,68
Andhra Pradesh,63343,39000,9160,12114,3069
Arunachal Pradesh,3675,1923,1276,317,159
Assam,65203,43591,11789,7556,2267
Bihar,93459,42673,38452,3870,8464
Chandigarh,230,20,41,72,97
Chhattisgarh,56494,32766,16453,2732,4543
"Daman and Diu and
Dadra and Nagar Haveli",479,214,166,48,51
Delhi,5642,2629,856,357,1800
Goa,1481,895,60,411,115
Gujarat,54444,13639,28096,4822,7887
Haryana,23764,9774,5468,3075,5447
Himachal Pradesh,18145,11164,2722,1733,2526
Jammu and Kashmir,28930,14856,9669,3144,1261
Jharkhand,45319,23997,16361,3334,1627
Karnataka,76905,24737,31100,15295,5773
Kerala,16481,6959,4601,1948,2973
Ladakh,1056,454,441,112,49
Lakshadweep,45,20,10,2,13
Madhya Pradesh,133271,67968,47399,8470,9434
Maharashtra,110114,51639,29970,17727,10778
Manipur,4653,2426,1013,961,253
Meghalaya,14694,9313,3554,1452,375
Mizoram,3925,1496,1529,702,198
Nagaland,2719,1156,785,581,197
Odisha,64185,30377,21839,9519,2450
Puducherry,741,275,81,194,191
Punjab,28695,13813,5229,4386,5267
Rajasthan,107376,39575,36338,10903,20560
Sikkim,1263,687,310,149,117
Tamil Nadu,58904,35580,9433,5768,8123
Telangana,42917,20725,7638,12029,2525
Tripura,4934,2547,1230,688,469
Uttar Pradesh,256911,138145,85570,12727,20469
Uttarakhand,23169,13756,5483,1389,2541
West Bengal,95153,75732,8731,3306,7384
