"India/State /UT",Number of Schools – Private Unaided Recognized,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,340753,88843,108767,16910,44337,11125,8804,36575,7010,7666,10716
Andaman and Nicobar Islands,73,36,18,0,7,0,0,12,0,0,0
Andhra Pradesh,15792,3862,4465,121,1605,3881,0,23,0,0,1835
Arunachal Pradesh,496,138,243,0,89,0,0,23,0,3,0
Assam,6045,1054,1672,67,2328,58,189,268,25,52,332
Bihar,7923,633,5188,8,453,64,583,513,11,100,370
Chandigarh,75,5,12,0,14,0,0,43,1,0,0
Chhattisgarh,7131,1780,2920,91,740,12,31,1374,53,128,2
"Daman and Diu andDadra and Nagar Haveli",63,18,13,0,17,0,0,15,0,0,0
Delhi,2641,947,808,5,225,6,0,641,7,2,0
Goa,138,101,6,1,16,4,0,6,0,0,4
Gujarat,13834,1362,6538,288,900,22,772,1876,57,1410,609
Haryana,8235,729,2450,6,1890,29,1,3062,64,2,2
Himachal Pradesh,2753,580,771,0,790,0,1,584,8,12,7
Jammu and Kashmir,5649,1825,2019,0,1379,0,1,406,4,13,2
Jharkhand,1542,20,171,5,383,315,97,311,8,2,230
Karnataka,19915,3383,6242,147,4655,93,1998,665,16,93,2623
Kerala,3241,518,623,16,1045,20,19,889,41,27,43
Ladakh,112,25,55,0,26,1,0,5,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,31512,3196,20062,55,3364,35,127,4250,105,307,11
Maharashtra,19632,4953,4675,104,3061,1851,727,1908,353,140,1860
Manipur,1027,48,307,7,481,4,11,96,5,5,63
Meghalaya,2179,1115,166,136,117,26,453,30,6,24,106
Mizoram,1050,200,420,66,8,1,225,0,0,1,129
Nagaland,743,112,169,0,320,1,0,124,3,0,14
Odisha,6393,1325,2991,116,530,156,111,140,5,0,1019
Puducherry,286,39,32,0,104,0,0,108,1,0,2
Punjab,8893,861,2530,1,2593,10,2,2634,23,60,179
Rajasthan,36023,3285,16786,13,7057,69,10,8461,255,85,2
Sikkim,393,217,139,0,24,0,0,13,0,0,0
Tamil Nadu,12402,5776,801,8,1870,155,0,3490,282,7,13
Telangana,12023,537,4177,0,5810,235,0,45,1,0,1218
Tripura,360,148,98,0,79,1,0,34,0,0,0
Uttar Pradesh,96741,40811,17808,14866,1710,3928,3408,3507,5523,5154,26
Uttarakhand,5396,1832,2254,227,273,54,38,568,104,38,8
West Bengal,10042,7372,1138,556,374,94,0,451,49,1,7
