"India/State/UT",Number of Primary schools – Government Aided,,,
"",Total,"Having AWC inthe school campus","Having Pre-Primary Sections","Having AWC in the schoolcampus or Pre-PrimarySections"
(1),(2),(3),(4),(5)
India,43485,1856,11844,12992
Andaman and Nicobar Islands,2,0,2,2
Andhra Pradesh,1541,187,111,283
Arunachal Pradesh,67,0,21,21
Assam,16,0,12,12
Bihar,462,26,13,38
Chandigarh,6,0,5,5
Chhattisgarh,285,5,186,190
"Daman and Diu andDadra and Nagar Haveli",6,0,1,1
Delhi,159,0,10,10
Goa,281,3,230,233
Gujarat,251,`,39,48
Haryana,15,0,7,7
Himachal Pradesh,0,0,0,0
Jammu and Kashmir,1,0,1,1
Jharkhand,1009,52,613,623
Karnataka,2838,192,819,978
Kerala,5389,233,4375,4412
Ladakh,29,2,1,3
Lakshadweep,0,0,0,0
Madhya Pradesh,532,20,84,104
Maharashtra,18405,550,2502,2919
Manipur,502,18,79,94
Meghalaya,2527,202,2200,2239
Mizoram,0,0,0,0
Nagaland,0,0,0,0
Odisha,339,48,9,54
Puducherry,33,0,25,25
Punjab,325,4,49,52
Rajasthan,0,0,0,0
Sikkim,13,0,7,7
Tamil Nadu,6605,305,286,468
Telangana,461,0,36,36
Tripura,35,2,2,4
Uttar Pradesh,1231,5,58,62
Uttarakhand,62,1,14,14
West Bengal,58,1,47,47
