"India/State /UT",Number of Teachers – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,9696425,2494640,2486110,380023,1048751,441759,181934,1507937,719999,266211,169061
Andaman and Nicobar Islands,5451,946,945,0,861,60,0,1996,489,154,0
Andhra Pradesh,322187,99475,50852,692,28090,108490,0,2536,3646,0,28406
Arunachal Pradesh,24102,4960,9933,381,4113,656,21,1881,1146,1011,0
Assam,370341,126679,42407,46658,59557,32363,14800,14431,16812,1294,15340
Bihar,601519,145192,317925,1920,32615,1437,8602,41760,1353,42535,8180
Chandigarh,9722,261,700,0,2766,0,0,5821,152,22,0
Chhattisgarh,265328,92640,29383,46848,11787,169,9339,37411,1685,35972,94
"Daman and Diu andDadra and Nagar Haveli",4660,817,1369,192,473,0,209,886,137,554,23
Delhi,151933,26173,11221,455,6513,2689,0,77533,27215,134,0
Goa,13484,2893,432,38,4226,3177,13,627,37,0,2041
Gujarat,388805,37015,220953,3996,11779,517,12198,45603,3615,49022,4107
Haryana,242405,43070,28273,10055,23980,10500,0,86719,39751,34,23
Himachal Pradesh,103108,24872,6687,6385,10266,6946,8,15392,32347,134,71
Jammu and Kashmir,172129,36424,61866,664,38487,4136,321,17118,2690,10343,80
Jharkhand,220969,53688,96681,323,29847,5181,2687,20431,3969,3817,4345
Karnataka,454323,53507,171310,1503,86876,8122,63134,19501,1557,12721,36092
Kerala,274972,44368,53037,6296,30072,7510,1911,60823,50067,20319,569
Ladakh,6175,949,2673,54,1292,228,24,312,135,490,18
Lakshadweep,960,248,180,22,50,0,0,141,119,200,0
Madhya Pradesh,608411,151776,211163,27171,56312,4763,9942,109313,13692,24195,84
Maharashtra,766916,154829,218769,392,149186,32485,4649,162535,14491,1487,28093
Manipur,45221,10050,9688,219,15753,773,141,5552,1295,335,1415
Meghalaya,56150,24535,2073,13589,2321,2757,5539,1524,1141,882,1789
Mizoram,23688,6300,4451,6554,136,60,4174,103,96,11,1803
Nagaland,31805,6973,8696,163,7997,1707,41,4381,1600,31,216
Odisha,355974,84182,142871,7639,54154,29623,16253,8265,2709,0,10278
Puducherry,12788,1801,868,13,2900,433,0,5159,1335,194,85
Punjab,279074,51641,23567,10835,40070,18513,12,86916,44502,745,2273
Rajasthan,755673,84026,235230,616,110993,849,58,311933,9899,2050,19
Sikkim,14332,3598,3585,0,2803,54,0,4171,121,0,0
Tamil Nadu,571380,135210,72828,558,40293,38561,23,159206,124291,234,176
Telangana,320216,49566,52964,0,125487,53433,0,9649,6225,0,22892
Tripura,36534,8609,7033,9,8339,58,0,10993,1493,0,0
Uttar Pradesh,1487687,585883,350308,151684,36273,29895,26518,132094,119049,55753,230
Uttarakhand,123879,34391,21352,10057,4746,5485,1317,20685,24187,1524,135
West Bengal,574124,307093,13837,24042,7338,30129,0,24536,166951,14,184
