"India/State /UT",Number of teachers by Classes Taught – Others,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,313297,4308,12934,143417,29567,105089,3949,10687,721,2625
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,657,0,0,381,67,182,5,10,0,12
Arunachal Pradesh,425,11,28,240,58,88,0,0,0,0
Assam,23979,8,130,14636,98,3628,273,3943,25,1238
Bihar,81053,812,1455,18472,10030,48592,517,766,97,312
Chandigarh,336,47,20,116,25,92,25,3,8,0
Chhattisgarh,1033,2,4,670,55,302,0,0,0,0
"Daman and Diu and Dadraand Nagar Haveli",25,0,0,9,2,2,0,5,4,3
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,37,0,0,9,0,10,1,10,3,4
Haryana,7183,154,95,4554,452,1817,35,55,15,6
Himachal Pradesh,3,0,0,3,0,0,0,0,0,0
Jammu and Kashmir,751,39,68,316,70,194,8,46,0,10
Jharkhand,59110,767,1556,26191,8096,20724,716,926,15,119
Karnataka,55,0,2,13,7,16,8,9,0,0
Kerala,8769,361,86,5553,342,2164,62,158,15,28
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6295,10,20,2398,233,3619,10,1,3,1
Maharashtra,5077,184,166,3065,293,908,112,325,5,19
Manipur,1678,77,167,840,300,283,5,6,0,0
Meghalaya,2505,57,299,862,172,239,115,545,15,201
Mizoram,579,25,19,161,64,75,0,162,0,73
Nagaland,6,2,3,1,0,0,0,0,0,0
Odisha,10194,18,10,6362,2098,962,225,472,10,37
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,95,0,22,47,0,26,0,0,0,0
Rajasthan,7178,56,346,5219,356,961,128,54,37,21
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4167,530,151,2312,417,523,60,118,27,29
Telangana,437,1,26,274,112,22,2,0,0,0
Tripura,1169,44,121,866,39,63,12,10,2,12
Uttar Pradesh,76493,27,965,47565,5430,17362,1536,2772,388,448
Uttarakhand,2510,16,28,1692,87,526,6,118,4,33
West Bengal,11498,1060,7147,590,664,1709,88,173,48,19
