"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,16079,13488,29567,60674,44415,105089,2321,1628,3949
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,29,38,67,80,102,182,1,4,5
Arunachal Pradesh,22,36,58,54,34,88,0,0,0
Assam,59,39,98,2560,1068,3628,181,92,273
Bihar,6468,3562,10030,30152,18440,48592,354,163,517
Chandigarh,4,21,25,16,76,92,3,22,25
Chhattisgarh,24,31,55,110,192,302,0,0,0
"Daman and Diu andDadra and Nagar Haveli",2,0,2,2,0,2,0,0,0
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,1,9,10,1,0,1
Haryana,134,318,452,584,1233,1817,12,23,35
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,43,27,70,95,99,194,8,0,8
Jharkhand,4359,3737,8096,11284,9440,20724,458,258,716
Karnataka,2,5,7,7,9,16,3,5,8
Kerala,29,313,342,143,2021,2164,5,57,62
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,93,140,233,1361,2258,3619,2,8,10
Maharashtra,96,197,293,272,636,908,40,72,112
Manipur,134,166,300,165,118,283,5,0,5
Meghalaya,32,140,172,67,172,239,26,89,115
Mizoram,29,35,64,41,34,75,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,604,1494,2098,387,575,962,102,123,225
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,20,6,26,0,0,0
Rajasthan,214,142,356,609,352,961,91,37,128
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,57,360,417,62,461,523,14,46,60
Telangana,46,66,112,11,11,22,2,0,2
Tripura,23,16,39,53,10,63,12,0,12
Uttar Pradesh,3128,2302,5430,10985,6377,17362,944,592,1536
Uttarakhand,37,50,87,305,221,526,5,1,6
West Bengal,411,253,664,1248,461,1709,52,36,88
