"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,163511,149786,313297,836,3472,4308,5543,7391,12934,69332,74085,143417
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,254,403,657,0,0,0,0,0,0,131,250,381
Arunachal Pradesh,175,250,425,0,11,11,7,21,28,92,148,240
Assam,16408,7571,23979,2,6,8,83,47,130,10047,4589,14636
Bihar,48088,32965,81053,226,586,812,575,880,1455,9318,9154,18472
Chandigarh,27,309,336,0,47,47,1,19,20,3,113,116
Chhattisgarh,412,621,1033,1,1,2,4,0,4,273,397,670
"Daman and Diu andDadra and Nagar Haveli",25,0,25,0,0,0,0,0,0,9,0,9
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,11,26,37,0,0,0,0,0,0,2,7,9
Haryana,1600,5583,7183,4,150,154,18,77,95,804,3750,4554
Himachal Pradesh,1,2,3,0,0,0,0,0,0,1,2,3
Jammu and Kashmir,381,370,751,11,28,39,25,43,68,175,141,316
Jharkhand,28160,30950,59110,91,676,767,467,1089,1556,10863,15328,26191
Karnataka,19,36,55,0,0,0,0,2,2,4,9,13
Kerala,445,8324,8769,2,359,361,6,80,86,231,5322,5553
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2468,3827,6295,2,8,10,10,10,20,998,1400,2398
Maharashtra,1098,3979,5077,6,178,184,26,140,166,528,2537,3065
Manipur,634,1044,1678,2,75,77,19,148,167,305,535,840
Meghalaya,540,1965,2505,6,51,57,50,249,299,140,722,862
Mizoram,267,312,579,2,23,25,5,14,19,49,112,161
Nagaland,3,3,6,0,2,2,3,0,3,0,1,1
Odisha,2988,7206,10194,0,18,18,1,9,10,1569,4793,6362
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,56,39,95,0,0,0,11,11,22,25,22,47
Rajasthan,4432,2746,7178,9,47,56,184,162,346,3238,1981,5219
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,330,3837,4167,17,513,530,0,151,151,137,2175,2312
Telangana,194,243,437,0,1,1,9,17,26,126,148,274
Tripura,845,324,1169,20,24,44,65,56,121,648,218,866
Uttar Pradesh,46337,30156,76493,11,16,27,526,439,965,28468,19097,47565
Uttarakhand,1332,1178,2510,2,14,16,12,16,28,876,816,1692
West Bengal,5981,5517,11498,422,638,1060,3436,3711,7147,272,318,590
