"India/State /UT",Number of Teachers in Government Aided Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,808355,82524,106668,51212,90897,61365,49994,143594,134939,55147,32015
Andaman and Nicobar Islands,73,0,0,0,0,0,0,73,0,0,0
Andhra Pradesh,7526,2385,937,14,43,2655,0,0,25,0,1467
Arunachal Pradesh,987,89,211,0,354,0,0,333,0,0,0
Assam,35371,4,27,24082,104,1545,6302,163,433,16,2695
Bihar,3744,75,1519,74,428,439,433,26,280,382,88
Chandigarh,280,0,0,0,0,0,0,212,68,0,0
Chhattisgarh,2619,663,324,290,107,4,7,451,490,283,0
"Daman and Diu andDadra and Nagar Haveli",205,0,0,0,84,0,0,52,69,0,0
Delhi,4833,241,132,54,122,207,0,2753,1322,2,0
Goa,8470,526,46,28,3826,2229,6,0,0,0,1809
Gujarat,45489,405,1335,1236,7,83,6195,238,1080,34668,242
Haryana,410,5,0,0,40,6,0,355,4,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,17,0,0,0,17,0,0,0,0,0,0
Jharkhand,5611,950,2693,32,163,1216,61,103,182,39,172
Karnataka,45573,550,13267,122,995,374,22154,253,89,2381,5388
Kerala,116744,22997,27683,5587,2314,6587,1374,6364,30445,13333,60
Ladakh,77,52,11,0,14,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4790,740,885,141,88,20,131,1043,983,759,0
Maharashtra,293014,20362,40570,0,78833,19389,77,111025,8766,186,13806
Manipur,2634,1067,430,132,467,351,65,42,0,0,80
Meghalaya,17798,6572,101,4326,91,1728,3082,159,505,618,616
Mizoram,1816,0,0,509,0,0,974,0,0,0,333
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,32574,754,170,2875,141,14907,8840,0,5,0,4882
Puducherry,930,31,0,0,336,0,0,563,0,0,0
Punjab,5232,202,200,9,349,143,3,3215,1111,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,243,17,14,0,17,14,0,151,30,0,0
Tamil Nadu,78185,21396,12716,134,368,5313,11,3154,34976,117,0
Telangana,3599,1088,371,0,547,1243,0,0,0,0,350
Tripura,1144,19,6,0,63,0,0,797,259,0,0
Uttar Pradesh,82225,1003,2951,10869,914,2587,234,11238,50269,2144,16
Uttarakhand,5139,49,59,697,50,281,45,629,3099,219,11
West Bengal,1003,282,10,1,15,44,0,202,449,0,0
