"",,Enrolment – all types of management,,
"India/State/UT",Total (Pre-primary to 12),Pre-Primary, Primary (1-5), Upper Primary (6-8), Elementary (1-8), Secondary (9-10), Higher Secondary (11-12)
(1),(2),(3),(4),(5),(6),(7),(8)
India,264449987,10645526,122021291,65854199,187875490,39006375,26922596
Andaman and Nicobar Islands,73904,6878,27420,17959,45379,13144,8503
Andhra Pradesh,8410924,202338,3802343,2157288,5959631,1353221,895734
Arunachal Pradesh,347614,20028,169096,85587,254683,46831,26072
Assam,7582019,460270,3706238,1953646,5659884,1022018,439847
Bihar,26635416,487472,13728283,7028016,20756299,3519971,1871674
Chandigarh,260538,22455,91212,63824,155036,42560,40487
Chhattisgarh,5959031,264319,2656716,1472887,4129603,931272,633837
"Daman and Diu and Dadra and Nagar Haveli",128613,5372,58379,34439,92818,18701,11722
Delhi,4476633,248340,1749132,1153258,2902390,762436,563467
Goa,302123,20516,120779,71777,192556,50217,38834
Gujarat,11495841,187847,5382429,3082327,8464756,1841443,1001795
Haryana,5808640,206487,2498572,1443313,3941885,964279,695989
Himachal Pradesh,1427089,93774,555200,339892,895092,233750,204473
Jammu and Kashmir,2576358,294589,1091015,576755,1667770,337787,276212
Jharkhand,7915190,351984,3803579,2055203,5858782,1001965,702459
Karnataka,11856736,278311,5316103,3158190,8474293,1906216,1197916
Kerala,6379071,555992,2460558,1490417,3950975,1000618,871486
Ladakh,59253,10644,22982,12078,35060,7390,6159
Lakshadweep,13114,1083,5294,2457,7751,2244,2036
Madhya Pradesh,16242368,786123,7457339,4275073,11732412,2256402,1467431
Maharashtra,22511839,596932,9544410,5846586,15390996,3725214,2798697
Manipur,714126,66290,330829,155783,486612,91071,70153
Meghalaya,1178726,220230,541509,242417,783926,117787,56783
Mizoram,302839,34268,134048,69520,203568,40037,24966
Nagaland,450098,81610,181172,98469,279641,56636,32211
Odisha,7912588,152090,3549793,2142561,5692354,1325463,742681
Puducherry,263633,23095,101208,62953,164161,41507,34870
Punjab,6319048,739227,2350017,1456184,3806201,1016123,757497
Rajasthan,17857457,752811,8319838,4226917,12546755,2612747,1945144
Sikkim,137644,18955,47305,31267,78572,23499,16618
Tamil Nadu,12944501,899008,5161557,3110765,8272322,2043392,1729779
Telangana,6964553,233449,3031347,1794753,4826100,1121917,783087
Tripura,706003,28474,318457,184264,502721,107950,66858
Uttar Pradesh,46404506,411139,24126217,11124734,35250951,6079224,4663192
Uttarakhand,2426054,91989,1049611,594201,1643812,378668,311585
West Bengal,19405897,1791137,8531304,4238439,12769743,2912675,1932342
