"India/State/ UT",New Admissions in Class 1 – All types of management,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,19344199,4790694,1541003,3532904,10087384,2517042,820334,1792839,9256815,2273652,720669,1740065
Andaman and Nicobar Islands,3451,2255,792,100,1728,1159,399,42,1723,1096,393,58
Andhra Pradesh,716314,140595,92421,283525,373162,61010,47799,140257,343152,79585,44622,143268
Arunachal Pradesh,31310,5523,4297,2523,15921,2840,2272,1209,15389,2683,2025,1314
Assam,710236,233255,48069,136280,361517,119598,24814,68260,348719,113657,23255,68020
Bihar,2255644,77275,35178,227749,1184386,44551,20289,117061,1071258,32724,14889,110688
Chandigarh,14143,9409,2215,507,7446,4924,1167,273,6697,4485,1048,234
Chhattisgarh,438820,82550,12517,188309,224416,44148,6615,94383,214404,38402,5902,93926
"Daman and Diu andDadra and Nagar Haveli",10078,2212,1239,2057,5236,1225,708,983,4842,987,531,1074
Delhi,281358,157263,104400,18868,146937,79005,57431,10039,134421,78258,46969,8829
Goa,21071,9088,3684,2566,10723,4596,1881,1290,10348,4492,1803,1276
Gujarat,919692,137103,62877,379153,484450,76500,35526,193316,435242,60603,27351,185837
Haryana,406253,113121,40612,55957,221103,63850,22851,28367,185150,49271,17761,27590
Himachal Pradesh,84336,30304,4320,9209,44034,16259,2281,4601,40302,14045,2039,4608
Jammu and Kashmir,200948,91167,11046,4766,104528,47166,6059,2387,96420,44001,4987,2379
Jharkhand,486447,99726,23393,146201,251725,53911,13044,82987,234722,45815,10349,63214
Karnataka,866997,49741,12172,41952,444538,26463,6360,20815,422459,23278,5812,21137
Kerala,455832,268684,75443,34142,233253,137331,38773,17813,222579,131353,36670,16329
Ladakh,3223,1603,151,79,1586,803,76,39,1637,800,75,40
Lakshadweep,1133,118,900,0,581,65,457,0,552,53,443,0
Madhya Pradesh,881902,182904,20053,209153,459405,100707,10949,104422,422497,82197,9104,104731
Maharashtra,1645850,373601,168271,602513,852861,197391,89798,304815,792989,176210,78473,297698
Manipur,71915,25217,14838,13436,36802,13149,7755,6812,35113,12068,7083,6624
Meghalaya,124387,97316,19580,3325,63866,49856,10176,1751,60521,47460,9404,1574
Mizoram,31619,12867,3591,8724,16554,6739,1875,4598,15065,6128,1716,4126
Nagaland,31498,20746,2271,54,16100,10612,1192,32,15398,10134,1079,22
Odisha,613351,65148,334062,215283,314628,36506,171441,107301,298723,28642,162621,107982
Puducherry,15957,10106,2954,106,8051,5059,1573,50,7906,5047,1381,56
Punjab,423371,370919,52452,0,228105,200732,27373,0,195266,170187,25079,0
Rajasthan,1222319,160453,68349,183062,645398,90177,37547,91041,576921,70276,30802,92021
Sikkim,5845,3082,607,198,3071,1563,338,112,2774,1519,269,86
Tamil Nadu,990765,755116,4,78704,513506,394013,1,39606,477259,361103,3,39098
Telangana,479174,2771,75787,115815,251143,1492,40204,57924,228031,1279,35583,57891
Tripura,51798,6709,4074,19379,26265,3504,2068,9494,25533,3205,2006,9885
Uttar Pradesh,3205320,150683,111055,431252,1684381,84316,60807,219281,1520939,66367,50248,211971
Uttarakhand,159557,36118,20406,32034,85451,20143,11478,16095,74106,15975,8928,15939
West Bengal,1482285,1005946,106923,85923,764527,515679,56957,45383,717758,490267,49966,40540
