"India/State/ UT",New Admissions in Class 1 – Government,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,11184849,1740138,638816,3216833,5634246,864412,324299,1622944,5550603,875726,314517,1593889
Andaman and Nicobar Islands,1579,954,311,96,782,483,160,41,797,471,151,55
Andhra Pradesh,437855,49344,28453,204022,223126,18693,13286,98592,214729,30651,15167,105430
Arunachal Pradesh,21682,1830,2584,2404,10872,922,1332,1147,10810,908,1252,1257
Assam,521280,150395,32698,125038,260646,75052,16482,62571,260634,75343,16216,62467
Bihar,1810364,23122,9973,218872,927025,11758,5097,112215,883339,11364,4876,106657
Chandigarh,7012,3710,1678,507,3605,1874,879,273,3407,1836,799,234
Chhattisgarh,302212,2126,3341,179192,151587,1130,1769,89459,150625,996,1572,89733
"Daman and Diu andDadra and Nagar Haveli",6653,218,215,2042,3326,112,108,974,3327,106,107,1068
Delhi,121586,62715,43596,14896,57342,26349,22929,7816,64244,36366,20667,7080
Goa,4746,407,414,2221,2404,219,197,1126,2342,188,217,1095
Gujarat,571006,7406,4344,355423,288214,3746,2436,179954,282792,3660,1908,175469
Haryana,157872,10834,7931,48009,78141,5188,4016,23771,79731,5646,3915,24238
Himachal Pradesh,43272,8040,1795,8443,21536,4011,886,4170,21736,4029,909,4273
Jammu and Kashmir,105470,40250,2963,4197,52244,19747,1509,2087,53226,20503,1454,2110
Jharkhand,342360,34616,6817,139697,170836,17119,3495,79508,171524,17497,3322,60189
Karnataka,440201,2771,2652,39477,214488,1383,1352,19443,225713,1388,1300,20034
Kerala,108143,63408,15591,13174,55067,32155,7959,6887,53076,31253,7632,6287
Ladakh,1658,698,64,69,758,327,24,30,900,371,40,39
Lakshadweep,1133,118,900,0,581,65,457,0,552,53,443,0
Madhya Pradesh,523857,8470,4817,200225,261155,4203,2551,99528,262702,4267,2266,100697
Maharashtra,761674,41186,16002,544637,381482,20495,8247,273768,380192,20691,7755,270869
Manipur,30503,3941,6963,10794,15297,1955,3508,5447,15206,1986,3455,5347
Meghalaya,62425,46217,11658,2058,32139,23744,6067,1074,30286,22473,5591,984
Mizoram,18268,3765,2362,7898,9639,2001,1248,4168,8629,1764,1114,3730
Nagaland,13301,8324,1005,40,6616,4160,518,24,6685,4164,487,16
Odisha,471502,7663,250070,214586,234679,3832,124326,106952,236823,3831,125744,107634
Puducherry,5247,2943,1088,82,2588,1413,578,36,2659,1530,510,46
Punjab,195321,166151,29170,0,100846,86039,14807,0,94475,80112,14363,0
Rajasthan,609066,9524,13402,163120,299352,4787,6944,79795,309714,4737,6458,83325
Sikkim,2299,1196,250,167,1258,619,161,92,1041,577,89,75
Tamil Nadu,312061,180063,0,75541,156173,89789,0,38031,155888,90274,0,37510
Telangana,154249,215,11331,102957,77097,108,5877,51082,77152,107,5454,51875
Tripura,38549,1153,2283,18356,19086,607,1112,8943,19463,546,1171,9413
Uttar Pradesh,1787906,18508,31354,410125,910312,9519,16370,207614,877594,8989,14984,202511
Uttarakhand,54815,780,2871,25861,27268,409,1517,12720,27547,371,1354,13141
West Bengal,1137722,777077,87870,82607,576679,390399,46095,43606,561043,386678,41775,39001
