"India/State/ UT",New Admissions in Class 1 – Private Unaided Recognized,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,6602613,2586168,757422,207517,3645856,1413243,421168,113752,2956757,1172925,336254,93765
Andaman and Nicobar Islands,1775,1249,436,4,900,649,220,1,875,600,216,3
Andhra Pradesh,258030,87604,60859,71759,139861,40880,33107,37930,118169,46724,27752,33829
Arunachal Pradesh,7695,3043,907,87,4023,1588,504,47,3672,1455,403,40
Assam,137586,69262,12438,2762,74731,37654,6794,1431,62855,31608,5644,1331
Bihar,209630,33395,17580,2940,126478,20452,10675,1742,83152,12943,6905,1198
Chandigarh,5894,4857,402,0,3152,2589,219,0,2742,2268,183,0
Chhattisgarh,131553,79862,8669,7929,70192,42732,4572,4269,61361,37130,4097,3660
"Daman and Diu andDadra and Nagar Haveli",3238,1942,928,15,1799,1082,541,9,1439,860,387,6
Delhi,154468,93168,57299,3637,87393,52066,33051,2066,67075,41102,24248,1571
Goa,5107,2542,1181,7,2698,1310,635,5,2409,1232,546,2
Gujarat,340269,127942,57722,20766,191949,71907,32686,11858,148320,56035,25036,8908
Haryana,232725,96604,31316,7495,134195,55506,18060,4337,98530,41098,13256,3158
Himachal Pradesh,41062,22264,2525,766,22497,12248,1395,431,18565,10016,1130,335
Jammu and Kashmir,94157,50354,7972,544,51553,27131,4485,289,42604,23223,3487,255
Jharkhand,34613,17240,6138,611,19825,9795,3663,308,14788,7445,2475,303
Karnataka,372002,45222,8892,1282,202404,24243,4697,757,169598,20979,4195,525
Kerala,160751,99033,27354,1538,83695,51417,14502,784,77056,47616,12852,754
Ladakh,1482,895,56,1,764,466,24,1,718,429,32,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,346242,173411,14583,8095,192287,96006,8064,4481,153955,77405,6519,3614
Maharashtra,568190,232626,109661,18080,311510,127178,59768,10192,256680,105448,49893,7888
Manipur,32929,18977,5811,686,17161,10010,3182,368,15768,8967,2629,318
Meghalaya,25471,21829,2723,80,12979,11077,1454,38,12492,10752,1269,42
Mizoram,12883,8712,1211,813,6673,4539,615,418,6210,4173,596,395
Nagaland,18187,12414,1264,14,9479,6448,673,8,8708,5966,591,6
Odisha,121749,50096,71646,270,68742,28418,40331,147,53007,21678,31315,123
Puducherry,9386,6315,1519,2,4937,3274,908,1,4449,3041,611,1
Punjab,219154,196824,22330,0,122754,110667,12087,0,96400,86157,10243,0
Rajasthan,595030,149433,54131,19141,336711,84616,30192,10848,258319,64817,23939,8293
Sikkim,3470,1874,355,31,1775,939,177,20,1695,935,178,11
Tamil Nadu,564604,513891,0,107,301669,274550,0,63,262935,239341,0,44
Telangana,320073,2549,63357,12679,172180,1384,33827,6768,147893,1165,29530,5911
Tripura,9755,5031,1388,243,5262,2611,753,138,4493,2420,635,105
Uttar Pradesh,1169779,123083,72188,17405,647838,70269,40645,9766,521941,52814,31543,7639
Uttarakhand,95152,34419,16407,5239,53151,19245,9390,2887,42001,15174,7017,2352
West Bengal,298522,198206,16174,2489,162639,108297,9272,1344,135883,89909,6902,1145
