"India/State/ UT",Enrolment of age group 14-15 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(50),(51),(52),(53),(54),(55),(56),(57),(58)
India,18667624,17205305,35872929,70484,65648,136132,2860518,2633211,5493729
Andaman and Nicobar Islands,5793,5671,11464,17,13,30,1087,1036,2123
Andhra Pradesh,699938,653283,1353221,0,0,0,0,0,0
Arunachal Pradesh,23540,25495,49035,552,538,1090,7313,7949,15262
Assam,445905,508309,954214,1061,847,1908,75874,86648,162522
Bihar,1510714,1515054,3025768,2935,4153,7088,113347,120594,233941
Chandigarh,22747,19178,41925,54,11,65,4382,3386,7768
Chhattisgarh,429712,444224,873936,865,542,1407,103270,99164,202434
"Daman and Diu andDadra and Nagar Haveli",10266,9503,19769,93,62,155,3098,2651,5749
Delhi,371864,330501,702365,468,485,953,58297,60011,118308
Goa,24830,22656,47486,18,8,26,3514,3061,6575
Gujarat,916293,734957,1651250,1378,1169,2547,108244,89551,197795
Haryana,489101,392194,881295,3783,2486,6269,84170,58954,143124
Himachal Pradesh,113724,101749,215473,163,139,302,8915,7155,16070
Jammu and Kashmir,152340,133301,285641,551,441,992,18598,17134,35732
Jharkhand,470451,480868,951319,2770,2410,5180,84888,92848,177736
Karnataka,921192,855013,1776205,1363,775,2138,77887,56214,134101
Kerala,490938,469925,960863,712,468,1180,42448,37307,79755
Ladakh,3234,3463,6697,45,28,73,934,908,1842
Lakshadweep,1059,993,2052,0,0,0,33,27,60
Madhya Pradesh,1125312,1006707,2132019,6497,5832,12329,275090,250639,525729
Maharashtra,1898165,1665339,3563504,6139,3413,9552,486054,405712,891766
Manipur,43396,42946,86342,229,210,439,5046,5091,10137
Meghalaya,61556,71528,133084,3216,3214,6430,28911,33275,62186
Mizoram,20616,20955,41571,472,360,832,8995,8387,17382
Nagaland,28382,29690,58072,718,785,1503,8670,8998,17668
Odisha,347228,318129,665357,0,0,0,5831,0,5831
Puducherry,18438,18839,37277,1,2,3,835,1106,1941
Punjab,508623,411088,919711,1334,900,2234,603,470,1073
Rajasthan,1363715,1128874,2492589,10293,8376,18669,326322,283247,609569
Sikkim,10038,10286,20324,395,137,532,3565,3309,6874
Tamil Nadu,971219,958584,1929803,0,0,0,5,0,5
Telangana,458090,408312,866402,1450,852,2302,83198,50857,134055
Tripura,51433,53422,104855,70,48,118,8436,8042,16478
Uttar Pradesh,3141695,2674348,5816043,19277,23838,43115,546902,539383,1086285
Uttarakhand,189751,171177,360928,1229,897,2126,32030,28749,60779
West Bengal,1326326,1508744,2835070,2336,2209,4545,243726,261348,505074
