"India/State/ UT",Enrolment of age group >17 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(80),(81),(82),(83),(84),(85),(86),(87),(88)
India,2935338,2577492,5512830,0,0,0,24105,24306,48411
Andaman and Nicobar Islands,1140,966,2106,0,0,0,7,3,10
Andhra Pradesh,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,3796,4078,7874,0,0,0,164,191,355
Assam,57543,56864,114407,0,0,0,171,194,365
Bihar,139076,138629,277705,0,0,0,2692,3379,6071
Chandigarh,4375,3095,7470,0,0,0,5,4,9
Chhattisgarh,85448,94335,179783,0,0,0,374,164,538
"Daman and Diu andDadra and Nagar Haveli",1758,1458,3216,0,0,0,14,7,21
Delhi,55322,69687,125009,0,0,0,0,0,0
Goa,5667,4904,10571,0,0,0,13,9,22
Gujarat,88629,70124,158753,0,0,0,478,325,803
Haryana,77937,56277,134214,0,0,0,657,461,1118
Himachal Pradesh,14656,12734,27390,0,0,0,30,14,44
Jammu and Kashmir,36619,30436,67055,0,0,0,235,205,440
Jharkhand,99644,103357,203001,0,0,0,1008,1055,2063
Karnataka,97264,81369,178633,0,0,0,579,407,986
Kerala,59916,57262,117178,0,0,0,754,560,1314
Ladakh,1398,1234,2632,0,0,0,3,5,8
Lakshadweep,44,104,148,0,0,0,0,0,0
Madhya Pradesh,236382,213349,449731,0,0,0,2382,2275,4657
Maharashtra,483669,372931,856600,0,0,0,2721,1584,4305
Manipur,5033,4299,9332,0,0,0,28,30,58
Meghalaya,15351,18782,34133,0,0,0,515,473,988
Mizoram,5763,5887,11650,0,0,0,117,92,209
Nagaland,7041,6840,13881,0,0,0,220,235,455
Odisha,33649,25738,59387,0,0,0,0,0,0
Puducherry,1582,1535,3117,0,0,0,0,2,2
Punjab,87697,56853,144550,0,0,0,0,0,0
Rajasthan,311606,251975,563581,0,0,0,2356,1946,4302
Sikkim,4253,4897,9150,0,0,0,81,58,139
Tamil Nadu,13535,9172,22707,0,0,0,0,0,0
Telangana,167594,126503,294097,0,0,0,440,376,816
Tripura,7481,7206,14687,0,0,0,53,34,87
Uttar Pradesh,525346,440691,966037,0,0,0,6656,8431,15087
Uttarakhand,32228,31457,63685,0,0,0,216,172,388
West Bengal,166896,212464,379360,0,0,0,1136,1615,2751
