"India/State/ UT",Enrolment of age group - All ages,,,,,,,,
"",Pre-Primary to Higher Secondary,Pre-Primary,Primary (1 to 5),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,137435039,127014948,264449987,5703209,4942317,10645526,63529651,58491640,122021291
Andaman and Nicobar Islands,37434,36470,73904,3525,3353,6878,14028,13392,27420
Andhra Pradesh,4371872,4039052,8410924,107157,95181,202338,1995805,1806538,3802343
Arunachal Pradesh,171934,175680,347614,10444,9584,20028,85160,83936,169096
Assam,3749480,3832539,7582019,238439,221831,460270,1873589,1832649,3706238
Bihar,13567954,13067462,26635416,289413,198059,487472,7087578,6640705,13728283
Chandigarh,139130,121408,260538,11779,10676,22455,48303,42909,91212
Chhattisgarh,2994633,2964398,5959031,139981,124338,264319,1360383,1296333,2656716
"Daman and Diu andDadra and Nagar Haveli",67236,61377,128613,2906,2466,5372,30620,27759,58379
Delhi,2358431,2118202,4476633,128048,120292,248340,925377,823755,1749132
Goa,156113,146010,302123,10715,9801,20516,62280,58499,120779
Gujarat,6156492,5339349,11495841,103948,83899,187847,2847754,2534675,5382429
Haryana,3187935,2620705,5808640,115650,90837,206487,1367212,1131360,2498572
Himachal Pradesh,747625,679464,1427089,49681,44093,93774,290534,264666,555200
Jammu and Kashmir,1354407,1221951,2576358,155079,139510,294589,568559,522456,1091015
Jharkhand,4036707,3878483,7915190,197076,154908,351984,1969395,1834184,3803579
Karnataka,6100839,5755897,11856736,148714,129597,278311,2758532,2557571,5316103
Kerala,3240299,3138772,6379071,282674,273318,555992,1257560,1202998,2460558
Ladakh,29441,29812,59253,5551,5093,10644,11693,11289,22982
Lakshadweep,6750,6364,13114,547,536,1083,2707,2587,5294
Madhya Pradesh,8506740,7735628,16242368,430147,355976,786123,3883132,3574207,7457339
Maharashtra,11934392,10577447,22511839,317166,279766,596932,5030291,4514119,9544410
Manipur,363216,350910,714126,34214,32076,66290,169006,161823,330829
Meghalaya,578436,600290,1178726,112085,108145,220230,273092,268417,541509
Mizoram,153213,149626,302839,17430,16838,34268,69079,64969,134048
Nagaland,226175,223923,450098,41872,39738,81610,92336,88836,181172
Odisha,4076193,3836395,7912588,83030,69060,152090,1834628,1715165,3549793
Puducherry,135066,128567,263633,11987,11108,23095,52485,48723,101208
Punjab,3433529,2885519,6319048,395693,343534,739227,1271177,1078840,2350017
Rajasthan,9602734,8254723,17857457,421300,331511,752811,4402364,3917474,8319838
Sikkim,69453,68191,137644,9927,9028,18955,24993,22312,47305
Tamil Nadu,6621165,6323336,12944501,473190,425818,899008,2672562,2488995,5161557
Telangana,3601536,3363017,6964553,127166,106283,233449,1581978,1449369,3031347
Tripura,355215,350788,706003,15310,13164,28474,161299,157158,318457
Uttar Pradesh,24381823,22022683,46404506,230384,180755,411139,12527017,11599200,24126217
Uttarakhand,1281669,1144385,2426054,50739,41250,91989,559003,490608,1049611
West Bengal,9639772,9766125,19405897,930242,860895,1791137,4368140,4163164,8531304
