"",Enrolment – Private Unaided Recognized Schools,,,
"State",Total,"Pre-Primary","Primary (1 to 5)",Upper Primary (6-8),"Elementary (1-8)","Secondary (9-10)",Higher Secondary (11-12)
(1),(2),(3),(4),(5),(6),(7),(8)
India,95157082,7067697,43009553,21088676,64098229,13358678,10632478
Andaman and Nicobar Islands,22089,3686,10461,4519,14980,2229,1194
Andhra Pradesh,3505297,155391,1513040,755086,2268126,487271,594509
Arunachal Pradesh,88144,10934,48242,18193,66435,7760,3015
Assam,1647409,217987,769343,352177,1121520,196051,111851
Bihar,3389583,251240,1358751,677826,2036577,525993,575773
Chandigarh,91576,13222,33692,19922,53614,13317,11423
Chhattisgarh,1824071,260420,848537,375614,1224151,193257,146243
"Daman and Diu and Dadra and Nagar Haveli",37376,3680,18549,8323,26872,4495,2329
Delhi,1781795,148333,826330,409949,1236279,215941,181242
Goa,40382,7021,25468,4334,29802,2256,1303
Gujarat,4376834,181107,2093632,1131437,3225069,560507,410151
Haryana,3440885,183002,1458919,853291,2312210,547626,398047
Himachal Pradesh,579342,65415,263894,130391,394285,75547,44095
Jammu and Kashmir,1240551,221701,560838,272173,833011,136345,49494
Jharkhand,1355868,69743,351796,283838,635634,332103,318388
Karnataka,5317640,259174,2539417,1218694,3758111,679588,620767
Kerala,1735940,209567,847683,372078,1219761,196461,110151
Ladakh,29691,6129,13325,6591,19916,2948,698
Lakshadweep,0,0,0,0,0,0,0
Madhya Pradesh,7094440,766246,3303696,1719673,5023369,765407,539418
Maharashtra,6537755,394698,3200560,1444241,4644801,864493,633763
Manipur,461572,51300,187120,108466,295586,64944,49742
Meghalaya,263613,55510,122729,31796,154525,33662,19916
Mizoram,142674,23476,64786,29652,94438,13339,11421
Nagaland,278271,43033,112079,61604,173683,38972,22583
Odisha,1627444,109377,766314,330141,1096455,129083,292529
Puducherry,150076,14652,62581,34353,96934,20819,17671
Punjab,3235701,398095,1306947,737376,2044323,492121,301162
Rajasthan,8732616,748107,4073583,1946950,6020533,1098307,865669
Sikkim,47612,12855,23477,7123,30600,3004,1153
Tamil Nadu,5909228,805110,2679516,1137182,3816698,695775,591645
Telangana,3964350,227835,1840598,878916,2719514,515770,501231
Tripura,126502,21413,59285,26048,85333,13337,6419
Uttar Pradesh,22056925,392184,9588070,5007658,14595728,4110672,2958341
Uttarakhand,1282798,90303,618015,305672,923687,152104,116704
West Bengal,2741032,645751,1418280,387389,1805669,167174,122438
