"India/State/ UT",Enrolment – Government Aided,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,4069150,3631711,7700861,3068801,2847752,5916553,13655076,12791256,26446332,13855373,12990154,26845527
Andaman and Nicobar Islands,220,154,374,202,271,473,915,916,1831,936,936,1872
Andhra Pradesh,17522,21072,38594,29773,31139,60912,123665,133655,257320,124652,134702,259354
Arunachal Pradesh,1430,1433,2863,457,430,887,9688,9325,19013,10013,9612,19625
Assam,43709,53793,97502,29399,29244,58643,214787,242868,457655,215027,243131,458158
Bihar,28081,31703,59784,11102,15833,26935,90218,103973,194191,90566,104043,194609
Chandigarh,746,597,1343,1920,1021,2941,4530,3507,8037,4682,3665,8347
Chhattisgarh,7661,7769,15430,6481,7608,14089,38809,39131,77940,39130,39426,78556
"Daman and Diu andDadra and Nagar Haveli",872,676,1548,747,854,1601,3810,3265,7075,3810,3265,7075
Delhi,19375,15874,35249,14942,12347,27289,78533,73063,151596,79040,73558,152598
Goa,22317,19611,41928,16195,17019,33214,105585,100538,206123,112210,106674,218884
Gujarat,598201,503810,1102011,266676,269068,535744,942731,838853,1781584,943463,839545,1783008
Haryana,1170,1310,2480,1172,1479,2651,5325,5669,10994,5525,5849,11374
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,13,11,24,0,0,0,82,82,164,98,95,193
Jharkhand,22767,28329,51096,9373,10656,20029,145100,167678,312778,149585,172424,322009
Karnataka,259355,241753,501108,118171,115711,233882,771521,731386,1502907,773499,733281,1506780
Kerala,258444,247463,505907,191402,204882,396284,1289291,1281522,2570813,1380082,1371500,2751582
Ladakh,9,28,37,0,0,0,554,231,785,570,248,818
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,16726,13229,29955,17958,14099,32057,66511,58980,125491,67209,59546,126755
Maharashtra,1367048,1241027,2608075,1082409,1003425,2085834,5295006,4838369,10133375,5351547,4894885,10246432
Manipur,1832,1974,3806,617,916,1533,14315,14758,29073,14819,15270,30089
Meghalaya,30263,36978,67241,10988,15266,26254,157663,175449,333112,186721,203627,390348
Mizoram,4206,4956,9162,2143,2557,4700,9898,11268,21166,9898,11268,21166
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,204540,192973,397513,171835,178287,350122,466942,456479,923421,467106,456601,923707
Puducherry,1979,3338,5317,601,1827,2428,8956,15488,24444,9448,16242,25690
Punjab,25120,20211,45331,32577,21042,53619,112251,90439,202690,113411,91780,205191
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,295,531,826,249,531,780,1375,2451,3826,1466,2586,4052
Tamil Nadu,232576,243044,475620,182121,233258,415379,1047509,1147442,2194951,1048901,1148717,2197618
Telangana,5979,10755,16734,3505,5026,8531,36198,56567,92765,36845,57622,94467
Tripura,3412,2371,5783,4134,3025,7159,15296,11443,26739,15365,11506,26871
Uttar Pradesh,862880,658472,1521352,830940,622320,1453260,2497504,2081413,4578917,2497862,2081658,4579520
Uttarakhand,26103,22967,49070,24660,24129,48789,76735,75076,151811,76914,75270,152184
West Bengal,4299,3499,7798,6052,4482,10534,23773,19972,43745,24973,21622,46595
