"India/State/ UT",Percentage of all minority groups’ enrolment to total enrolment,,,,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),"Higher Secondary (11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3 ),(4 ),(5 ),(6 ),(7 ),(8),(9 ),(1 0),(11),(1 2),(1 3),(1 4),(1 5),(1 6),(17),(1 8),(1 9)
India,18.75,19.26,19,17.39,18.55,17.95,18.28,19.01,18.63,15.59,17.58,16.54,14.26,15.89,15.05,17.44,18.46,17.93
Andaman and Nicobar Islands,30.77,30.89,30.83,29.22,30.23,29.72,30.16,30.63,30.39,28.61,30.34,29.44,25.59,30.54,28.24,29.31,30.56,29.93
Andhra Pradesh,9.31,9.48,9.39,8.88,9.12,9,9.16,9.35,9.25,8.26,8.34,8.3,8.01,7.78,7.89,8.89,9,8.94
Arunachal Pradesh,41.22,41.38,41.3,41.91,42.2,42.06,41.45,41.66,41.56,41.41,41.76,41.59,40.25,42.66,41.51,41.35,41.76,41.56
Assam,46.79,46.81,46.8,42.55,45.96,44.32,45.37,46.51,45.94,33.71,38.63,36.33,27.39,27.62,27.51,42.67,44.16,43.43
Bihar,14.96,15.93,15.43,13.24,15.21,14.24,14.4,15.68,15.03,10.76,12.75,11.76,9.73,10.73,10.22,13.58,14.93,14.24
Chandigarh,14.63,14.59,14.61,15.14,15.28,15.21,14.84,14.87,14.86,15.8,15.93,15.86,17.12,17.79,17.43,15.4,15.56,15.47
Chhattisgarh,2.73,2.67,2.7,2.78,2.66,2.72,2.75,2.67,2.71,2.46,2.45,2.46,2.58,2.71,2.65,2.69,2.64,2.66
"Daman and Diu andDadra and Nagar Haveli",6.61,6.64,6.62,6.36,6.13,6.25,6.52,6.45,6.48,6.61,6.01,6.33,4.73,4.74,4.73,6.37,6.21,6.29
Delhi,17.74,19.29,18.47,17.56,19.46,18.45,17.67,19.36,18.46,16.29,18.8,17.47,13.67,16.77,15.19,16.9,18.9,17.85
Goa,27,28.64,27.8,29.38,30.88,30.1,27.89,29.47,28.66,28.57,30.32,29.38,26.08,28.05,27.07,27.78,29.41,28.57
Gujarat,9.94,10.38,10.15,9.72,10.05,9.88,9.86,10.26,10.05,8.43,8.67,8.54,6.85,7.8,7.29,9.35,9.8,9.56
Haryana,12.32,12.43,12.37,10.2,9.9,10.07,11.54,11.51,11.53,8.51,7.29,7.97,6.7,5.45,6.12,10.43,10.03,10.25
Himachal Pradesh,2.92,2.79,2.86,3.06,3.04,3.05,2.97,2.88,2.93,3,2.88,2.94,2.19,2.19,2.19,2.86,2.77,2.82
Jammu and Kashmir,63.6,65.71,64.61,61.07,63.43,62.2,62.72,64.93,63.78,60.16,62.8,61.39,60.67,61.99,61.28,62.08,64.27,63.12
Jharkhand,17.34,17.99,17.65,16.77,18.15,17.47,17.15,18.05,17.59,13.69,16.3,15.01,11.8,14.67,13.22,16.21,17.49,16.84
Karnataka,17.94,18.41,18.16,17.49,17.93,17.7,17.77,18.23,17.99,16.65,17.71,17.16,12.4,14.24,13.35,17.06,17.71,17.38
Kerala,50.38,50.48,50.43,49.58,49.82,49.7,50.08,50.23,50.15,49.17,49.11,49.14,43.04,44.79,43.93,48.91,49.19,49.05
Ladakh,93.35,92.94,93.15,93.89,94.31,94.1,93.53,93.42,93.48,95.48,95.06,95.26,96.04,97.74,96.98,94.11,94.28,94.19
Lakshadweep,99.52,99.57,99.55,99.39,99.57,99.47,99.48,99.57,99.52,99.57,99.81,99.69,99.13,98.91,99.02,99.44,99.5,99.47
Madhya Pradesh,5.45,5.65,5.55,5.11,5.52,5.31,5.33,5.6,5.46,4.05,4.82,4.41,3.88,4.92,4.38,5,5.43,5.2
Maharashtra,17.82,18.88,18.32,17.06,18.27,17.62,17.53,18.65,18.06,16.02,17.36,16.64,12.8,14.59,13.64,16.67,17.91,17.25
Manipur,53.33,53.62,53.47,47.9,48.26,48.08,51.61,51.89,51.75,46.38,46.66,46.52,40.76,43.15,41.94,49.71,50.2,49.95
Meghalaya,83.72,83.97,83.84,83.67,84.64,84.18,83.7,84.19,83.95,82.34,83.9,83.19,81.46,82.97,82.29,83.42,84.08,83.76
Mizoram,97.46,97.28,97.37,97.28,97.49,97.38,97.4,97.35,97.38,97.09,97.27,97.18,97.49,97.52,97.5,97.36,97.36,97.36
Nagaland,84.48,84.87,84.67,84.59,85.3,84.95,84.52,85.02,84.77,85.14,85.63,85.39,89.01,89.06,89.03,84.98,85.49,85.24
Odisha,4.97,5.04,5,4.72,4.87,4.79,4.87,4.98,4.92,4.31,4.67,4.49,4.57,5,4.79,4.75,4.93,4.84
Puducherry,12.07,12.67,12.36,11.31,13.32,12.28,11.78,12.92,12.33,10.53,12.53,11.5,11.07,11.97,11.53,11.47,12.71,12.07
Punjab,55.34,54.64,55.02,55.78,55.43,55.62,55.51,54.94,55.25,51.16,50.81,51,61.54,60.34,60.99,55.51,54.94,55.25
Rajasthan,10.87,10.73,10.81,9.29,9.08,9.19,10.34,10.18,10.26,7.96,7.64,7.82,6.4,6.33,6.37,9.5,9.38,9.45
Sikkim,37.8,35.45,36.69,35.68,37.24,36.45,36.98,36.18,36.6,35.01,37.81,36.46,34.42,35.51,35.02,36.29,36.41,36.35
Tamil Nadu,12.81,13.16,12.98,12.77,13.1,12.93,12.79,13.13,12.96,12.62,12.94,12.78,12.97,12.79,12.87,12.79,13.05,12.91
Telangana,16.75,17.15,16.94,16.86,17.69,17.26,16.79,17.35,17.06,16.12,16.95,16.52,14.55,14.6,14.58,16.43,16.95,16.68
Tripura,17.39,17.07,17.23,16.88,17.63,17.25,17.2,17.28,17.24,15.17,16.8,16,12.59,13.03,12.82,16.44,16.77,16.61
Uttar Pradesh,17.44,17.61,17.52,14.81,15.52,15.15,16.61,16.95,16.78,12.24,13.71,12.9,10.67,12.52,11.51,15.38,16.12,15.73
Uttarakhand,19.62,19.83,19.72,14.76,15.58,15.15,17.88,18.28,18.07,10.38,11.86,11.07,8.06,9.59,8.81,15.39,16.04,15.7
West Bengal,32.68,33.32,32.99,31.86,34.93,33.41,32.41,33.86,33.13,26.85,33.92,30.68,21.65,28.16,25.13,30.45,33.21,31.85
