"India/State /UT",Repetition Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.3
Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1
Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,1.3,1.5,1.4,1.3,1.1,1.2,0.6,0.4,0.5
Assam,0.1,0.0,0.0,0.1,0.1,0.1,0.6,0.7,0.6
Bihar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.5
Chhattisgarh,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
"Daman and Diu andDadra and Nagar Haveli",0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.4
Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.8
Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.4
Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haryana,0.1,0.1,0.1,0.0,0.0,0.0,0.6,0.4,0.5
Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
Jammu and Kashmir,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4
Jharkhand,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3
Karnataka,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2
Kerala,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Ladakh,0.2,0.0,0.1,0.1,0.0,0.1,0.4,0.4,0.4
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2
Maharashtra,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
Manipur,0.3,0.2,0.3,0.3,0.3,0.3,0.6,0.5,0.5
Meghalaya,1.5,1.0,1.2,1.8,1.4,1.6,3.8,3.3,3.5
Mizoram,0.2,0.1,0.2,0.2,0.1,0.2,3.0,3.3,3.2
Nagaland,2.3,2.0,2.1,3.3,2.7,3.0,6.4,5.4,5.9
Odisha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
Sikkim,0.1,0.1,0.1,0.0,0.0,0.0,2.1,1.3,1.7
Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tripura,0.1,0.1,0.1,0.2,0.2,0.2,0.8,1.0,0.9
Uttar Pradesh,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.3
Uttarakhand,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.3
West Bengal,0.1,0.4,0.2,0.0,0.0,0.0,1.8,2.4,2.1
