"India/State/ UT",Gross Enrolment Ratio (GER)  – Scheduled Castes,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,112.2,115.3,113.7,99.0,100.9,100.0,107.3,109.9,108.6,84.2,85.4,84.8,54.0,58.3,56.1
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andhra Pradesh,111.2,109.0,110.1,100.6,96.0,98.3,107.1,103.9,105.5,89.5,87.4,88.5,55.8,62.6,59.2
Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Assam,138.9,146.3,142.5,113.6,118.3,115.9,128.6,134.5,131.5,94.2,104.1,99.2,37.9,38.0,38.0
Bihar,117.9,120.0,118.9,92.7,99.2,95.8,109.0,112.6,110.7,67.0,77.2,71.7,36.8,41.1,38.7
Chandigarh,27.5,27.5,27.5,38.1,39.6,38.8,31.5,32.1,31.8,49.8,53.3,51.4,44.9,50.2,47.2
Chhattisgarh,104.0,104.0,104.0,100.3,101.9,101.1,102.6,103.3,102.9,90.0,98.3,94.1,53.2,64.3,58.6
"Daman and Diu andDadra and Nagar Haveli",122.6,122.4,122.5,127.9,113.0,120.7,124.8,118.5,121.8,109.0,132.7,119.3,74.9,91.5,82.5
Delhi,57.6,62.0,59.7,67.1,70.0,68.5,61.2,65.1,63.1,75.3,80.4,77.7,48.1,60.1,53.8
Goa,62.2,60.4,61.3,68.1,66.5,67.3,64.4,62.8,63.6,75.9,74.1,75.0,64.0,76.5,70.2
Gujarat,88.7,93.4,90.9,85.4,85.7,85.5,87.4,90.4,88.8,83.3,77.3,80.5,40.0,43.6,41.7
Haryana,100.4,105.2,102.6,97.8,103.0,100.3,99.4,104.4,101.7,104.4,106.8,105.6,55.6,67.6,61.1
Himachal Pradesh,100.9,102.9,101.9,97.3,100.1,98.6,99.5,101.8,100.6,104.3,103.2,103.8,77.8,85.0,81.2
Jammu and Kashmir,121.9,127.6,124.5,80.3,83.6,81.8,102.4,107.1,104.6,71.0,73.5,72.2,49.9,52.7,51.2
Jharkhand,108.4,110.1,109.2,90.9,96.4,93.6,101.9,104.9,103.4,57.4,64.2,60.7,38.5,41.6,40.0
Karnataka,102.7,103.1,102.9,103.5,103.8,103.7,103.0,103.4,103.2,91.2,89.8,90.5,49.9,56.2,52.9
Kerala,99.4,99.2,99.3,94.0,94.2,94.1,97.3,97.2,97.2,96.1,94.5,95.3,92.0,96.0,94.0
Ladakh,112.8,408.4,208.3,80.7,187.2,127.3,100.4,296.0,173.2,153.3,122.1,138.2,150.0,76.5,113.6
Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madhya Pradesh,92.6,94.5,93.5,96.2,94.9,95.6,93.9,94.6,94.3,77.3,73.3,75.4,43.6,44.2,43.9
Maharashtra,106.2,107.7,106.9,103.3,102.8,103.0,105.0,105.7,105.4,101.1,99.7,100.4,70.5,73.2,71.8
Manipur,158.9,163.5,161.1,112.1,118.9,115.4,138.9,144.4,141.6,99.7,108.0,103.7,94.4,102.0,98.1
Meghalaya,551.2,562.1,556.3,237.1,248.4,242.7,415.9,420.6,418.1,156.8,175.4,165.5,69.2,66.3,67.9
Mizoram,1354.9,1413.6,1382.7,624.5,917.5,746.1,1046.7,1232.1,1130.1,1274.3,712.3,912.9,137.5,190.1,161.4
Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Odisha,103.2,104.6,103.9,97.3,97.8,97.5,100.9,101.9,101.4,91.3,90.3,90.8,39.5,43.3,41.4
Puducherry,90.2,92.0,91.1,85.5,82.8,84.2,88.4,88.4,88.4,82.5,82.9,82.7,62.7,70.5,66.5
Punjab,110.2,110.0,110.1,106.5,107.1,106.8,108.8,108.9,108.8,95.3,93.6,94.5,74.9,82.1,78.2
Rajasthan,112.5,116.7,114.5,99.1,96.2,97.7,107.7,109.1,108.4,90.6,84.7,87.8,61.4,58.4,60.0
Sikkim,161.2,158.1,159.7,129.1,148.2,138.3,146.9,153.8,150.2,123.1,163.4,141.6,69.8,80.1,74.9
Tamil Nadu,103.5,105.0,104.2,100.6,99.5,100.0,102.4,102.8,102.6,97.9,97.0,97.5,70.0,84.6,77.2
Telangana,118.4,120.7,119.5,104.8,103.3,104.1,113.1,113.6,113.3,93.3,94.9,94.1,64.8,74.4,69.5
Tripura,132.9,140.5,136.5,102.1,104.2,103.1,119.3,124.4,121.8,88.2,93.1,90.6,47.5,52.4,49.9
Uttar Pradesh,120.8,127.9,124.2,101.5,106.8,104.0,114.1,120.4,117.1,70.6,66.9,68.9,49.5,48.9,49.2
Uttarakhand,113.6,119.1,116.2,101.2,105.6,103.3,108.7,113.7,111.1,100.0,102.7,101.3,69.3,83.6,76.0
West Bengal,133.2,132.0,132.6,102.5,102.0,102.3,121.1,120.0,120.5,100.6,113.6,107.1,61.0,67.3,64.1
